low,up,y_test
3.2423701,4.6708097,3.0
3.2231467,4.7351694,4.3333335
3.2243934,4.677514,3.0
3.607142,4.8568044,4.3333335
3.4098058,4.778643,4.0
3.2681162,4.686169,4.3333335
3.3176694,4.7526793,4.0
2.9529433,4.794897,4.3333335
2.9005427,4.747245,4.0
2.968249,5.0,4.3333335
1.7581737,4.8996162,5.0
3.5788531,4.77189,4.0
2.9318023,5.0,4.6666665
1.6825362,4.9786897,2.6666667
2.9876401,4.7764544,3.0
2.3807893,4.774935,2.6666667
4.0888743,4.9549117,4.6666665
3.5114906,4.769437,4.6666665
3.319729,5.0,4.0
3.6276822,4.790913,4.3333335
2.7936635,5.0,4.3333335
2.6381617,4.8191776,4.0
3.6281672,4.7971554,4.0
3.005781,4.782815,3.6666667
3.5522256,4.8540654,4.6666665
3.4270234,4.774446,4.0
2.2277799,4.789631,3.0
3.5594049,4.8104444,4.6666665
3.363548,4.762726,3.6666667
2.9328656,4.7302103,4.6666665
3.2438836,4.6600957,3.3333333
3.70091,4.766909,4.3333335
1.7239166,4.928709,4.6666665
2.76672,4.6295304,4.0
3.6287804,4.8927,4.6666665
3.272128,4.77071,4.3333335
3.2822132,4.7648315,4.3333335
2.8670013,4.73473,4.0
3.2315025,4.6734967,3.3333333
2.618342,4.756963,3.3333333
2.5640032,4.707611,4.6666665
3.378677,5.0,4.3333335
3.2301042,5.0,4.6666665
3.5094576,4.756505,3.6666667
3.3447456,4.7313137,4.3333335
3.155921,4.821694,3.6666667
3.2930503,4.7166133,4.0
3.2524533,4.691567,4.0
3.3172235,4.7777367,3.6666667
3.6550674,4.800684,4.0
2.7876875,5.0,5.0
2.7851257,4.71602,4.6666665
3.8370826,4.749424,4.6666665
3.091713,4.9160604,2.6666667
3.1488972,5.0,4.6666665
1.6819162,4.97951,3.6666667
3.6736102,4.780474,4.3333335
2.7740378,5.0,3.6666667
2.7094622,4.6206813,4.3333335
3.3230255,4.7809396,4.6666665
2.8469663,4.9081,2.6666667
3.6417475,4.8238506,3.0
2.7506928,4.682188,3.3333333
2.6462016,4.775651,4.6666665
3.7747521,4.7923484,4.3333335
1.6819162,4.97951,4.6666665
2.5591843,4.553517,4.0
2.0049257,4.8169045,4.6666665
2.8603554,4.7389207,3.3333333
2.5472999,4.6046667,3.0
3.355525,4.73627,4.3333335
3.3221314,4.656398,4.0
3.5477896,4.7760153,4.3333335
3.515114,4.791328,4.3333335
3.388078,4.7878237,4.0
3.261188,4.7305927,4.3333335
2.9909894,4.7781487,3.0
3.097619,5.0,4.6666665
3.220056,4.848356,4.3333335
3.487999,5.0,4.0
3.335573,4.671015,4.6666665
3.4310465,4.7756195,3.6666667
3.871292,4.880726,4.6666665
3.3948197,4.837685,3.6666667
2.7642093,5.0,4.3333335
3.6710927,4.782892,4.6666665
2.3426054,4.777564,3.0
2.608933,4.773016,4.0
3.346298,4.7934866,3.6666667
2.9649415,5.0,5.0
3.404499,4.7608376,4.0
3.233421,4.7250853,3.6666667
3.8676388,4.7722263,4.3333335
2.4388075,4.472154,3.0
3.0709667,4.9731884,4.6666665
3.187362,4.7699156,4.3333335
3.2953572,4.726232,4.3333335
3.4050694,4.8152914,4.3333335
2.824031,4.925231,4.6666665
3.6252992,4.763213,4.6666665
3.6778426,4.792251,4.6666665
3.4793134,4.766708,3.6666667
2.884717,4.724629,3.3333333
1.8357215,4.852239,3.0
3.052667,5.0,4.0
3.1111393,4.8141856,4.6666665
2.4529772,4.7327905,3.3333333
3.6434917,4.8867006,4.6666665
3.428236,4.770815,3.6666667
2.9056857,5.0,4.6666665
2.534209,4.636323,3.3333333
2.4954152,4.516962,2.0
3.7514904,5.0,4.6666665
3.387641,4.748866,4.3333335
2.4332309,4.485424,4.6666665
3.5764241,4.7719226,4.3333335
3.7179775,4.7831583,4.6666665
3.111196,4.8140726,3.3333333
3.2643385,4.70454,4.6666665
2.82934,4.6832833,3.6666667
3.4209204,4.8089657,4.6666665
2.9512913,4.767187,3.3333333
3.7716644,4.791461,4.6666665
3.3925269,4.7884893,4.0
3.045682,4.8639283,4.6666665
3.4912577,4.778533,4.6666665
3.613939,4.824351,4.3333335
3.2719426,4.653925,4.6666665
2.8761249,4.7375584,4.0
3.1129246,4.826883,4.3333335
1.7870572,4.876813,4.0
3.247991,4.743819,4.3333335
3.5161338,4.8126216,4.6666665
2.4624763,4.4541407,3.6666667
3.292911,4.716535,3.3333333
3.2457147,4.665615,3.6666667
2.1903486,4.793926,4.6666665
3.2573833,4.6652102,4.3333335
2.945149,5.0,4.6666665
3.5813785,4.8023887,4.6666665
1.7650248,4.893797,4.0
3.7803438,4.755034,4.6666665
3.2229762,4.934563,3.0
3.4044635,4.7607946,3.6666667
3.255774,4.699398,3.6666667
3.5631108,4.785111,4.3333335
3.6065545,4.8125043,4.6666665
3.2910633,4.6517653,4.3333335
2.91886,4.756079,4.3333335
2.8895884,4.713676,2.6666667
3.221114,4.6761036,4.3333335
2.8867931,4.7390027,4.3333335
3.1818333,4.72572,4.6666665
3.376845,4.769488,4.3333335
3.6915421,4.857178,5.0
