low,up,y_test
1.6441735,3.6856518,4.3333335
2.5691442,4.8467755,3.0
3.0886703,4.742509,4.0
2.002428,4.1237383,4.0
2.6268144,4.963647,3.0
3.2372289,4.8740067,4.0
2.1462817,4.358933,3.6666667
1.0032953,3.1318674,2.6666667
2.3701754,4.5997987,2.3333333
2.989832,4.767321,4.3333335
3.2110069,4.9027643,4.0
2.4781203,4.746418,2.3333333
2.9188728,4.6700416,4.0
2.751465,4.77106,4.3333335
2.7659445,4.8011975,3.0
2.751076,4.6323047,3.3333333
1.2674869,3.4146342,2.6666667
3.2628932,4.942655,5.0
3.2794821,4.814929,3.6666667
2.9203682,4.8626666,4.3333335
3.0975482,4.8808866,4.0
2.1216476,4.32302,4.3333335
2.8185263,4.625544,3.3333333
2.5818176,4.562711,3.6666667
2.7462363,4.8012266,3.3333333
4.051023,5.0,5.0
2.863734,4.6223245,3.6666667
1.9896653,4.071128,2.6666667
3.8280866,5.0,4.0
2.5954669,4.6578484,3.6666667
1.4965296,3.6964822,2.3333333
2.7853532,4.720867,4.3333335
2.2871547,4.429296,3.6666667
1.922609,3.9315228,3.3333333
2.9269302,4.773523,4.3333335
1.0,2.6370459,1.0
2.7198749,4.719969,4.3333335
2.5215297,4.6059504,3.3333333
3.1708226,4.83948,3.6666667
2.1285272,4.3254414,4.3333335
2.2818952,4.5049458,4.0
2.8424535,4.6212363,3.6666667
2.8169553,4.701827,3.0
2.9271426,4.8701544,4.6666665
3.1480875,4.8155713,4.3333335
1.1798059,3.3623223,2.0
2.937551,4.705407,4.3333335
3.176968,4.8436866,3.0
1.0996165,3.3198438,2.0
2.9682932,4.669513,4.3333335
2.2944837,4.417548,4.3333335
2.7954009,4.8567677,4.3333335
3.1950402,4.8826194,3.6666667
2.8344626,4.8982267,3.6666667
2.0250857,4.1684484,2.0
3.1083355,4.9606915,3.6666667
3.01327,5.0,4.6666665
2.9553666,4.6710687,3.0
2.3119411,4.541311,3.0
2.9513965,5.0,3.0
3.408989,4.8840113,3.6666667
1.0,2.4572458,1.0
2.7955818,4.604722,4.3333335
3.008228,4.873341,4.0
1.0,3.08217,3.6666667
3.4080749,4.9309573,4.3333335
2.544311,4.7136216,3.6666667
2.5559187,4.4266057,3.3333333
2.8006659,4.533239,2.6666667
2.9714189,4.7568274,3.3333333
2.8855627,4.9284744,4.0
1.7446109,3.8876886,1.6666666
1.8838913,4.000268,3.0
3.1783686,4.860512,4.3333335
1.9542801,4.206462,3.6666667
1.7402524,3.846744,3.3333333
1.2273332,3.4596686,1.0
2.7766056,4.6597805,4.3333335
1.3989805,3.475111,3.3333333
3.1842506,4.8475065,4.6666665
2.1332955,4.413014,3.3333333
2.8001275,4.6078835,3.3333333
2.8868723,4.633907,3.6666667
3.0669289,4.789231,4.6666665
2.8896923,4.6542306,2.3333333
2.9707103,5.0,4.6666665
2.0983686,4.331737,3.3333333
2.5807707,4.6157618,4.6666665
1.0,3.0332656,2.0
2.9846432,4.693552,3.6666667
2.9862487,4.700494,4.6666665
2.0354276,4.0641994,3.3333333
1.8560567,4.0967755,2.3333333
2.0214086,4.2769065,4.0
2.9681554,4.96984,4.6666665
2.9256363,4.6713166,3.6666667
2.9541514,4.637951,3.3333333
3.026045,4.867187,4.3333335
2.971767,4.770145,3.3333333
2.9818525,4.6655164,3.6666667
3.1183655,4.8061075,4.0
2.8478239,4.6242003,4.6666665
1.5031735,3.6220102,4.0
2.9273767,4.7100525,4.6666665
1.7636352,3.8450823,2.0
2.3905046,4.5830326,3.6666667
3.2049491,4.9372606,4.0
2.421913,4.4154553,4.3333335
1.0,2.4208183,2.0
1.0,1.9198318,1.0
1.2113872,3.4224367,1.3333334
2.8978004,4.6727643,3.6666667
2.9000583,4.740799,3.0
2.8649275,4.9167004,4.3333335
2.7475865,4.824273,4.6666665
2.6759815,4.727278,4.6666665
