low,up,y_test
3.7826767,4.718893,4.3333335
3.6787086,4.6775994,4.6666665
3.9718046,4.7851734,4.0
3.8984592,4.7630854,4.6666665
4.091859,4.8660717,4.3333335
4.0039005,4.8262863,4.3333335
3.919522,4.753573,4.3333335
3.6645336,4.683737,4.0
3.7725093,4.823161,3.6666667
3.1140337,4.786216,4.3333335
3.956091,4.8678503,4.3333335
4.199217,4.9320116,4.6666665
3.919862,4.831413,4.6666665
2.395411,4.493967,2.6666667
3.7782354,4.697563,4.3333335
2.6423266,4.496009,2.6666667
3.9620614,4.8439345,4.6666665
3.8852508,4.827487,4.6666665
3.7604802,4.7281885,3.6666667
3.8305154,4.7243123,4.6666665
3.5269206,4.666727,4.3333335
3.8308709,4.7485256,4.3333335
4.0447083,4.8412848,4.0
3.8319943,4.7024403,4.0
3.659905,4.767133,4.6666665
4.0343184,4.828257,4.0
2.2205603,4.4058247,2.6666667
3.9204178,4.822294,4.6666665
3.9860935,4.79478,4.0
3.5426822,4.729547,4.6666665
3.9458938,4.774141,4.0
3.7291121,4.751269,4.3333335
3.8724632,4.678673,4.6666665
3.9808872,4.9336195,4.0
4.1081624,4.8746285,4.6666665
3.963672,4.788742,4.6666665
3.5773606,4.6601253,4.3333335
3.8416228,4.708858,4.0
3.9152822,4.7451077,4.0
3.687224,4.683891,3.3333333
3.2777681,4.651992,4.6666665
3.638564,4.7263803,4.0
3.9556491,4.8288684,4.3333335
3.8751814,4.716924,3.3333333
3.9292717,4.789565,4.6666665
3.543752,4.669228,4.6666665
3.8620505,4.7523,4.6666665
3.8210583,4.735115,4.3333335
3.8984766,4.77975,4.3333335
3.902645,4.73473,4.3333335
3.7851431,4.8013783,4.6666665
3.6686883,4.7386117,4.6666665
4.033377,4.874644,4.6666665
2.7785282,4.5258737,4.0
3.9701252,4.8366995,4.3333335
2.541495,4.5038776,4.0
3.9950986,4.8143926,4.0
3.605842,4.6474347,3.3333333
3.7250006,4.6996098,4.3333335
3.9882045,4.846475,4.6666665
3.7503238,4.861424,3.6666667
3.7723565,4.750011,3.0
3.4300842,4.595621,4.6666665
3.887642,4.740241,4.6666665
3.9134483,4.8241253,4.3333335
4.0744276,4.943552,4.6666665
3.4452705,4.7126503,4.0
3.5725522,4.6986413,4.6666665
2.8048048,4.455712,3.3333333
3.2197201,4.574664,3.0
3.9680176,4.790534,4.6666665
3.521656,4.6232986,4.6666665
3.9194584,4.7903833,4.3333335
3.9213352,4.7642527,4.6666665
4.07843,4.882739,4.6666665
3.810209,4.698986,4.6666665
2.6873405,4.2074265,4.3333335
4.1062407,4.927708,4.6666665
3.9439218,4.789274,4.3333335
2.8837974,4.570837,4.0
3.8739274,4.714074,4.6666665
4.247991,4.964087,4.6666665
3.9347582,4.8191166,4.6666665
3.890805,4.7251544,4.3333335
2.6705215,4.4400954,4.3333335
3.9464898,4.785011,4.6666665
1.2997873,3.3159502,3.0
3.1053357,4.8813977,4.6666665
3.6670194,4.6778207,3.6666667
4.3731823,5.0,4.6666665
3.8886447,4.747642,4.3333335
3.67422,4.686266,4.6666665
3.9339051,4.8226733,5.0
2.6747398,4.418936,2.6666667
4.009177,4.8578377,4.6666665
3.9641657,4.8368416,4.6666665
4.006846,4.8158555,4.6666665
3.9204538,4.7572947,4.0
3.9275699,4.8221507,4.6666665
3.9869227,4.848168,4.6666665
3.9876547,4.799388,4.3333335
3.897573,4.746738,3.6666667
2.7387567,4.255132,3.6666667
2.6809886,4.359622,3.0
4.4416738,5.0,4.6666665
3.7228487,4.7493544,4.6666665
2.2442007,4.4197044,3.3333333
3.8362424,4.7383547,4.0
4.029943,4.82389,3.6666667
2.960912,4.679702,4.6666665
3.0070314,4.670311,3.0
