low,up,y_test
2.7370405,4.4231687,3.6666667
2.792412,3.9698527,4.0
3.2192094,4.554323,3.6666667
2.1082225,4.1194177,3.3333333
1.4962181,3.594308,1.3333334
3.0660377,4.8972044,3.6666667
2.0035648,3.809301,3.0
2.1824713,4.6024346,4.6666665
3.0742416,4.464499,3.6666667
2.4842267,4.2150583,3.6666667
3.0674872,4.5541034,4.6666665
1.8472861,3.8544035,3.0
2.714124,4.847687,3.3333333
3.3823805,4.880168,4.6666665
2.096212,4.0231695,3.3333333
3.2005568,4.4580574,4.6666665
3.0093653,4.45437,3.3333333
1.4352232,3.565205,1.6666666
2.9010534,4.3357387,3.6666667
2.9212527,4.3459196,3.6666667
2.5587273,4.354444,3.6666667
2.581452,4.4553475,4.0
2.4632864,4.675514,3.3333333
2.055993,3.8843527,3.3333333
2.3570566,4.205589,2.6666667
3.504982,4.9598494,4.3333335
2.790667,4.2378917,3.3333333
2.878671,4.123902,4.0
3.136552,4.7671423,5.0
3.2447152,4.803043,4.3333335
2.5061584,4.4662924,3.6666667
1.3614846,3.4967442,2.6666667
2.366332,4.6398597,3.6666667
3.4319239,4.680957,4.3333335
3.3052397,4.417048,3.6666667
2.7393336,3.941677,4.0
2.795508,4.486532,3.6666667
1.0,2.0390055,1.6666666
2.790217,3.995616,4.0
3.1389353,4.916305,2.6666667
2.9755676,4.4880223,4.0
2.5797505,3.9118547,3.6666667
1.8319666,3.8362591,3.3333333
3.4708602,4.716901,3.6666667
3.170714,4.5570865,3.6666667
2.585774,3.8852863,3.6666667
1.0771911,3.0533054,2.6666667
1.947945,4.323102,4.3333335
2.71139,4.500932,2.3333333
2.3508947,4.489891,3.0
1.4577398,3.6053786,2.3333333
3.3049784,4.878854,4.6666665
2.6478674,4.264413,4.0
3.5161629,5.0,5.0
3.1443048,4.595545,4.3333335
3.4765065,4.571682,4.3333335
3.4550376,4.5163145,4.3333335
1.3481675,3.4779487,2.3333333
3.0514228,4.60011,4.3333335
3.080447,4.2572794,4.3333335
1.4076502,3.5416863,3.0
2.3723636,4.0696964,4.0
3.4628577,4.707524,4.3333335
2.6019554,4.7816596,4.0
3.2404795,4.89787,3.6666667
2.819145,4.536127,3.3333333
2.0750723,4.033104,3.3333333
3.911063,5.0,5.0
3.366695,4.5280476,4.3333335
2.0176692,4.481504,3.3333333
2.4370868,4.4222574,3.3333333
3.370088,4.9249005,4.0
1.3378153,3.4435143,3.3333333
2.4745598,4.235976,3.3333333
3.137847,4.9959145,4.0
2.9155402,4.152893,4.0
3.017138,4.296245,3.6666667
3.2328346,4.543877,3.3333333
3.3059993,4.546946,3.6666667
1.5121186,3.5918143,2.6666667
1.0,2.678904,1.6666666
2.6690269,4.320627,3.0
2.9276586,4.261855,3.3333333
2.4998474,4.2210746,4.0
3.2466106,4.647296,4.0
3.1881692,4.565644,3.3333333
2.294588,4.5514584,3.0
3.1094804,4.6125145,5.0
1.1847267,3.3668447,1.0
2.4731238,4.4696274,3.3333333
3.2882288,4.598401,4.0
2.9235172,4.44057,4.0
4.2758307,5.0,5.0
2.6039424,3.9781141,3.3333333
3.143072,4.684779,4.0
1.5301392,3.6326354,2.6666667
2.7986908,4.5085783,5.0
1.3200762,3.5315163,3.3333333
1.2733315,3.4455256,1.6666666
3.9110537,5.0,5.0
1.0,2.0390053,1.0
1.0562229,2.972546,1.3333334
3.2719831,4.550524,3.6666667
2.4295864,4.496886,3.3333333
2.5491314,3.9802628,3.6666667
1.6243587,3.6958566,3.6666667
2.9171915,4.2149725,3.3333333
2.7947497,4.3451643,4.3333335
1.0,2.0390055,1.6666666
3.2722588,4.464188,4.0
3.3843756,4.536755,3.6666667
3.8227365,5.0,5.0
3.3145528,4.487204,3.6666667
1.184727,3.366845,2.3333333
1.0,2.5258458,1.6666666
2.3878193,3.9835067,3.3333333
2.437087,4.422258,3.3333333
3.3233187,4.8321123,4.3333335
3.025869,4.6334133,3.6666667
2.6303313,4.400409,3.3333333
2.418725,4.188872,2.6666667
2.394412,4.6469665,4.0
2.6935081,4.46854,4.0
3.138417,4.685561,4.3333335
3.3799722,5.0,4.0
2.779641,4.1070623,3.0
3.2262359,4.412694,3.6666667
3.273189,4.5103416,3.3333333
2.7648942,4.2392797,3.6666667
2.6610467,4.3775444,4.3333335
2.8841636,4.052593,3.0
1.7258697,3.7121987,1.6666666
2.2107139,3.9801679,2.6666667
1.2312039,3.4244351,1.3333334
2.152419,4.5108957,3.6666667
3.1412952,4.4791136,4.0
3.1167464,4.490657,3.0
3.2233336,4.666437,3.6666667
2.4377675,4.1113195,2.3333333
3.4247904,4.5828304,4.0
3.0425265,4.576713,4.6666665
2.7375388,4.509081,5.0
2.7672071,3.9139771,4.0
3.312574,4.52999,4.0
2.028624,4.122517,3.3333333
2.4748235,4.7508254,3.3333333
2.7770088,4.405393,2.6666667
2.619072,4.007793,2.6666667
1.3508418,3.5117333,1.6666666
3.107975,4.3930273,3.6666667
1.3083984,3.5103264,2.3333333
2.7623224,3.9614697,3.6666667
1.805036,3.8350048,3.6666667
1.0,2.3408055,1.6666666
1.0,2.0390055,1.0
1.435223,3.5652046,3.3333333
2.6935065,4.4685364,3.6666667
3.083765,4.343877,4.0
1.0182542,2.8683028,2.6666667
1.2045928,3.38594,2.0
3.4510913,4.865933,3.6666667
1.0562229,2.9725466,3.3333333
2.488016,3.972201,3.3333333
2.7239413,4.037245,3.6666667
2.8073285,4.016887,3.6666667
2.8913834,4.1609,3.6666667
3.150231,5.0,4.0
2.8289156,4.515463,3.6666667
2.2908168,4.063324,3.6666667
