low,up,y_test
1.0788932,5.0,1.0
1.0971986,4.3511333,5.0
1.0,5.0,4.0
1.0011225,4.0979156,1.0
1.2654715,5.0,4.0
1.0154405,4.4293294,1.0
1.0177941,2.7969475,1.0
1.0176405,2.796267,1.0
1.0,3.9461508,1.0
1.6405308,5.0,4.0
1.0139649,4.4458904,1.0
1.0,4.043054,3.0
1.0,4.098313,3.0
1.0,3.9232802,1.0
1.0342261,4.9307904,3.0
1.0,3.204709,2.0
1.0597949,4.7097645,1.0
3.8633244,5.0,3.0
1.0,2.3698192,3.0
1.0,3.9299297,2.0
1.3919824,5.0,4.0
1.0,3.9682848,1.0
1.0,4.2336087,1.0
1.0640447,4.717579,3.0
1.0092051,5.0,1.0
1.0,4.05655,2.0
1.0,5.0,3.0
1.2161002,4.745941,1.0
1.0269915,4.1821446,1.0
1.101292,4.4491906,1.0
1.0350239,4.6270895,1.0
1.1981311,4.693663,4.0
1.0801198,5.0,2.0
1.058145,4.9790244,2.0
1.0674549,5.0,4.0
1.0176907,4.8111787,1.0
1.2043855,5.0,4.0
1.033425,3.1863537,1.0
4.099598,5.0,2.0
1.1118076,4.4321547,5.0
1.4201453,5.0,4.0
1.076408,4.7259808,1.0
1.0,4.044289,1.0
1.0,5.0,1.0
1.078929,5.0,5.0
1.413456,5.0,1.0
1.0615138,4.431707,3.0
1.0747372,4.9030504,2.0
1.2174664,4.7680283,4.0
1.0606613,4.718465,1.0
2.3266473,5.0,3.0
3.4775457,5.0,5.0
1.0,5.0,4.0
1.0,4.121758,1.0
1.0,3.8587296,4.0
1.6403402,4.6741796,5.0
1.0,4.1618443,3.0
1.0,5.0,1.0
1.2753389,5.0,5.0
1.0292064,4.1861763,4.0
1.1071131,5.0,1.0
1.0,2.6858737,1.0
1.0340823,4.802233,3.0
1.4213333,5.0,1.0
1.0779374,4.8964386,1.0
1.0639194,4.6286283,3.0
1.0,4.001962,3.0
1.1150895,4.9118695,1.0
3.0387022,5.0,3.0
1.0,4.254896,1.0
1.0,4.975301,2.0
1.0054673,4.344994,2.0
1.0047967,5.0,5.0
1.0638828,5.0,4.0
1.0,3.7758198,3.0
1.47804,5.0,3.0
1.0431218,5.0,4.0
3.441678,5.0,5.0
1.0,3.7033193,1.0
1.4277529,5.0,4.0
1.0,3.8706226,5.0
1.0,3.8134751,3.0
1.0387657,4.4659395,1.0
1.3662037,5.0,1.0
1.2445048,4.8048553,5.0
4.4205546,5.0,5.0
1.0691167,4.846307,2.0
1.0455382,4.7373753,3.0
1.0,4.3055563,4.0
1.0820417,4.3569584,1.0
1.1178112,4.404857,1.0
1.2691419,4.41903,5.0
1.0293872,5.0,1.0
1.1776092,4.77932,3.0
1.0692284,4.845153,1.0
1.4332103,5.0,4.0
1.0,4.223157,1.0
1.0792801,4.4739904,4.0
