low,up,y_test
1.2063185,4.0202165,1.0
2.8805857,5.0,3.0
2.7016096,5.0,5.0
2.0066314,5.0,5.0
2.7774835,5.0,3.0
1.5598934,5.0,3.0
2.718627,5.0,3.0
1.1207445,5.0,3.0
1.3566908,4.9965386,2.0
2.9044116,5.0,5.0
1.0823648,3.629153,2.0
2.7930975,5.0,4.0
1.1527052,3.7830324,2.0
2.9605803,5.0,5.0
1.0534104,4.19109,1.0
1.6056602,5.0,5.0
2.77747,5.0,5.0
1.1751267,3.9779158,3.0
2.677408,5.0,5.0
2.8009267,5.0,5.0
2.642112,5.0,2.0
2.6470807,5.0,1.0
1.0080718,4.0007844,4.0
1.8627996,5.0,5.0
2.642137,5.0,5.0
1.3404998,4.3977437,3.0
2.658952,5.0,1.0
2.690156,5.0,5.0
2.6638927,5.0,5.0
2.5938578,5.0,5.0
1.0,2.1826057,5.0
1.2227473,5.0,3.0
2.6842177,5.0,4.0
2.6748343,5.0,5.0
1.5995548,5.0,5.0
1.0,3.9033823,1.0
1.512532,5.0,1.0
1.1793034,5.0,1.0
1.0,3.9736383,1.0
1.2507691,5.0,1.0
2.6684525,5.0,5.0
2.937489,5.0,5.0
1.6085865,5.0,2.0
1.0,4.8743134,1.0
2.7622337,5.0,5.0
2.9867368,5.0,5.0
2.9867363,5.0,5.0
2.845758,5.0,5.0
2.4490154,5.0,5.0
1.0,4.4599934,2.0
1.6105771,5.0,2.0
1.0,4.356732,3.0
2.6931071,5.0,4.0
1.7618428,5.0,4.0
1.0,3.5694923,3.0
1.055743,3.825651,3.0
2.986731,5.0,5.0
2.0116613,5.0,2.0
2.639022,5.0,5.0
1.2315633,5.0,5.0
2.4238632,5.0,4.0
1.9252082,5.0,4.0
1.0,2.5173647,3.0
2.5932374,5.0,3.0
1.1851542,5.0,2.0
1.5418339,5.0,4.0
2.6433048,5.0,4.0
2.679976,5.0,5.0
1.0,2.781992,3.0
2.9273958,5.0,4.0
1.1532202,5.0,1.0
2.9854572,5.0,5.0
2.6455188,5.0,5.0
1.0,3.95948,3.0
1.1307734,4.9687777,1.0
1.7186419,3.5995302,3.0
1.5522027,5.0,5.0
1.6916773,5.0,1.0
1.1177589,3.989687,5.0
2.7305903,5.0,4.0
2.554994,5.0,4.0
2.6447036,5.0,5.0
1.0,4.5695868,1.0
1.6581354,5.0,4.0
1.0,4.1141133,3.0
2.7463956,5.0,5.0
1.8974031,5.0,5.0
1.2845753,4.236793,3.0
2.7186637,5.0,5.0
1.7591596,5.0,5.0
1.0,2.9296129,3.0
1.1286058,3.8288436,1.0
2.6931057,5.0,4.0
2.777557,5.0,5.0
2.7306674,5.0,4.0
2.9154737,5.0,5.0
1.026561,4.210513,5.0
2.6083736,5.0,5.0
1.0114577,3.7117798,4.0
2.1013498,5.0,3.0
2.658946,5.0,5.0
2.6775808,5.0,2.0
2.6842184,5.0,5.0
1.2222712,5.0,5.0
1.6738895,5.0,3.0
