low,up,y_test
1.0,4.5780706,1.0
1.0,5.0,1.0
1.0,4.5206857,5.0
1.0,3.6911325,3.0
1.5135756,5.0,5.0
1.1692975,4.693777,5.0
4.001255,5.0,5.0
1.0085716,5.0,4.0
1.0180092,4.5551453,3.0
1.0,4.6431766,1.0
1.0,4.8260417,1.0
1.1512232,4.7928133,3.0
1.0,4.9657,1.0
1.0,5.0,3.0
1.0,4.0418153,1.0
1.0,3.0576286,3.0
1.0,4.1723127,1.0
1.0554178,5.0,3.0
1.1179264,5.0,3.0
1.1525463,4.9263926,4.0
1.0629034,4.731061,5.0
1.0,5.0,3.0
1.0,4.1249433,2.0
1.0169239,4.8010263,4.0
1.0,4.2098985,1.0
1.0937412,4.8727174,5.0
1.0939765,5.0,4.0
1.7062019,5.0,3.0
2.3696175,5.0,5.0
1.0,3.7305622,3.0
1.0,3.9842558,3.0
1.1244521,4.722147,5.0
1.0,3.7270026,1.0
1.223273,4.9687443,1.0
1.4209383,5.0,2.0
1.0,4.8099165,1.0
1.0,5.0,3.0
1.1557677,4.8966055,3.0
1.5135753,5.0,4.0
1.3543214,5.0,1.0
1.2715422,4.9977274,1.0
1.0,3.3421502,2.0
1.1345108,4.6663423,4.0
1.0060067,5.0,4.0
1.0105978,3.0887556,1.0
1.0,5.0,5.0
1.0,3.2218165,3.0
1.0,3.8478055,3.0
1.0939761,5.0,5.0
1.0,4.151534,3.0
1.0,3.9747329,3.0
1.0,3.496863,1.0
1.0,4.7337365,4.0
1.0,3.3492804,1.0
1.0,3.2980714,1.0
1.2451413,4.77716,4.0
1.0,4.1156635,1.0
1.0,5.0,1.0
1.0,2.9868975,1.0
1.8875629,5.0,4.0
1.0,3.9203162,4.0
1.0137836,5.0,4.0
1.0,3.809175,3.0
1.1420393,5.0,3.0
1.1705619,4.944409,1.0
1.0,5.0,2.0
1.1104077,4.9996996,4.0
1.0,2.9748893,1.0
1.0,3.4794483,1.0
1.0,3.257474,1.0
1.3054811,5.0,1.0
1.1074297,5.0,5.0
1.0,3.7270017,1.0
1.6425785,5.0,2.0
1.228179,4.998176,5.0
1.1487073,4.905005,4.0
1.0,4.2150207,1.0
1.5135757,5.0,4.0
1.0,3.208363,3.0
1.0,3.4794464,3.0
1.0,5.0,3.0
1.0,3.7305622,1.0
1.0,4.02904,1.0
1.0,5.0,3.0
1.5135758,5.0,5.0
2.0560114,5.0,1.0
1.00991,4.7146435,4.0
1.0860488,5.0,4.0
1.0,3.9763236,1.0
1.0,3.837535,1.0
1.0,4.6106567,3.0
1.0,3.49787,4.0
1.0,4.8321652,1.0
1.0,5.0,1.0
1.0,4.282393,5.0
1.0,4.0167117,3.0
1.0,5.0,3.0
1.0,4.519619,1.0
