low,up,y_test
3.660552,5.0,3.0
2.0179791,3.831689,4.0
2.997488,5.0,4.0
3.132938,5.0,5.0
3.3518498,5.0,4.0
1.999625,3.7969167,4.0
2.209795,4.0350657,4.0
4.415401,5.0,4.0
3.4501462,5.0,5.0
3.74372,5.0,5.0
3.2529516,5.0,4.0
4.0491867,5.0,4.0
3.1733072,5.0,5.0
2.1154823,3.9952607,3.0
2.1334307,4.1141715,3.0
3.4989338,5.0,4.0
1.9946289,3.7829099,5.0
3.6950953,5.0,3.0
2.969483,5.0,5.0
2.097837,4.3333607,3.0
3.4562044,5.0,5.0
2.230629,4.284755,3.0
2.1282022,4.0284576,5.0
2.0328126,3.864349,4.0
3.6482465,5.0,4.0
2.8271139,5.0,5.0
3.6482465,5.0,5.0
1.9979558,3.786768,4.0
3.7793465,5.0,4.0
3.110619,5.0,5.0
2.9818773,5.0,4.0
3.1441526,5.0,5.0
3.1565766,5.0,5.0
2.6370885,3.2832916,2.0
3.1432147,5.0,5.0
2.0179791,3.831689,3.0
4.419538,5.0,5.0
2.243815,4.499279,3.0
3.133072,5.0,5.0
2.9052775,5.0,3.0
2.008428,3.8099728,2.0
3.4266152,5.0,5.0
3.7830863,5.0,4.0
2.2125669,3.41285,3.0
3.7497182,5.0,4.0
2.0337918,3.883032,3.0
2.1273851,3.9747028,4.0
3.1183343,5.0,4.0
3.4117415,5.0,5.0
2.006873,3.8155901,4.0
3.7422547,5.0,5.0
4.185176,5.0,5.0
1.9977634,3.7919977,4.0
3.1514497,5.0,5.0
2.6528976,3.5963638,3.0
3.7340734,5.0,5.0
3.5567837,5.0,3.0
3.288322,4.930573,5.0
3.744934,5.0,4.0
3.703337,5.0,5.0
3.5567842,5.0,5.0
2.205678,4.241203,3.0
2.6174707,3.259224,2.0
3.821561,5.0,5.0
3.6294773,5.0,5.0
3.7487922,5.0,5.0
3.744934,5.0,5.0
2.8718154,4.9924545,2.0
1.9977636,3.7919974,4.0
2.640984,3.2979617,2.0
2.979686,4.9950905,4.0
2.6438646,3.3359976,1.0
2.9683723,5.0,3.0
3.9951258,5.0,5.0
3.7487922,5.0,5.0
3.3430119,5.0,5.0
