low,up,y_test
1.9932976,5.0,5.0
1.6747264,4.8808727,5.0
1.6209679,5.0,5.0
1.902521,5.0,5.0
1.0,4.466236,1.0
1.993298,5.0,5.0
2.502777,5.0,5.0
1.9932976,5.0,5.0
2.4772162,5.0,5.0
1.1235136,4.832295,5.0
1.7442671,5.0,5.0
1.9932976,5.0,5.0
1.5410858,4.7375264,2.0
2.44562,5.0,5.0
1.1508582,4.880437,1.0
1.9756035,5.0,2.0
1.0,4.3954697,1.0
1.1952034,4.4349484,2.0
1.7190875,4.9974794,1.0
1.5355407,4.7448645,2.0
1.9181108,5.0,5.0
1.7458105,5.0,5.0
1.9932976,5.0,5.0
1.1910571,4.9157786,1.0
1.993298,5.0,5.0
1.0,4.3910847,1.0
2.358139,5.0,2.0
1.9932976,5.0,5.0
1.5154378,4.725629,1.0
1.4293141,4.633694,2.0
1.0001168,4.6516347,1.0
1.0881505,4.7534423,1.0
1.922194,5.0,5.0
1.9799427,5.0,5.0
1.9140272,5.0,5.0
1.9873742,5.0,5.0
2.5027776,5.0,1.0
1.9799427,5.0,5.0
2.498776,5.0,5.0
1.0,4.3901997,2.0
1.9756035,5.0,5.0
1.0,4.465639,1.0
1.8637905,5.0,2.0
1.0298645,4.6777334,1.0
1.7154782,4.9236717,2.0
2.4151802,5.0,2.0
1.7725012,4.9675665,2.0
1.993298,5.0,5.0
1.9221945,5.0,5.0
1.8589095,4.964019,3.0
1.1877284,4.9413247,2.0
1.993018,5.0,5.0
1.0,4.6124334,5.0
1.9932976,5.0,5.0
1.0849143,4.7787237,2.0
1.993298,5.0,5.0
1.993298,5.0,5.0
2.5027769,5.0,5.0
1.5713694,5.0,2.0
1.9653162,5.0,5.0
1.0,4.5209866,1.0
1.9932976,5.0,5.0
1.2335385,5.0,5.0
2.1838026,5.0,1.0
1.8536959,5.0,5.0
1.0,4.585573,1.0
1.9932985,5.0,5.0
1.9932976,5.0,5.0
1.7164623,5.0,5.0
1.9823542,5.0,5.0
2.491523,5.0,5.0
1.9903146,5.0,2.0
1.612483,5.0,5.0
1.0,4.3954697,1.0
1.0,4.5312366,1.0
1.4975785,5.0,5.0
1.9099436,5.0,5.0
1.2832596,5.0,2.0
1.7543435,4.945064,2.0
1.9932976,5.0,5.0
2.047608,5.0,1.0
1.993297,5.0,5.0
1.1047117,4.8031135,1.0
1.9304597,5.0,5.0
1.0791237,4.7722464,2.0
1.9932976,5.0,2.0
2.4648526,5.0,5.0
1.6791289,5.0,5.0
1.0794895,4.2986116,1.0
1.9932976,5.0,5.0
1.9220518,5.0,2.0
1.9903146,5.0,5.0
1.9932976,5.0,5.0
1.993298,5.0,5.0
1.993298,5.0,1.0
1.9799427,5.0,5.0
1.9630303,5.0,5.0
1.9630303,5.0,5.0
1.6296792,5.0,5.0
1.0709888,4.554263,4.0
