low,up,y_test
1.6289098,4.233819,2.3333333
3.2966235,5.0,4.6666665
3.4387228,5.0,4.3333335
1.793447,4.597089,2.0
2.5668864,4.9877567,4.3333335
2.196271,5.0,2.3333333
2.2988076,5.0,5.0
2.2421675,4.9244437,3.6666667
1.8588758,4.658737,4.3333335
1.8063477,4.6263623,1.6666666
3.357513,5.0,5.0
2.1649427,4.9553485,5.0
1.8376472,4.6548367,2.3333333
1.4386905,5.0,1.3333334
1.5198504,4.5824738,1.6666666
1.5224538,4.50492,2.0
1.8613901,4.6972084,4.0
3.28248,5.0,5.0
2.3681784,4.933566,4.3333335
2.309258,5.0,4.3333335
3.200356,5.0,4.3333335
1.6053244,4.1183214,3.0
2.3033867,5.0,2.6666667
2.112573,4.977026,5.0
2.225851,4.938138,4.6666665
2.0670738,4.8241205,2.0
2.3813708,5.0,4.3333335
2.6768677,5.0,4.0
1.418867,3.99676,2.0
1.658663,4.3254185,3.0
2.2794578,5.0,4.3333335
1.889904,5.0,1.0
2.1896951,4.9526234,4.0
1.336109,5.0,4.6666665
1.9561776,4.7157116,3.3333333
1.837539,4.6485977,1.6666666
1.9740705,4.976562,2.3333333
1.5350784,4.294121,3.0
3.084093,4.7289333,4.3333335
1.582848,4.2327137,4.3333335
1.4729009,4.173898,2.6666667
1.784832,4.6063924,1.6666666
1.3158712,4.080162,3.3333333
2.8611813,5.0,4.3333335
3.0504897,4.837248,4.3333335
1.8613899,4.6972084,4.6666665
1.8376472,4.6548367,3.3333333
2.225237,4.978856,4.6666665
1.8016114,4.6242514,5.0
2.0077896,4.739967,5.0
1.4582207,4.2320604,3.3333333
3.3296082,5.0,4.6666665
2.25438,5.0,4.0
1.3033692,5.0,1.3333334
2.1621928,5.0,3.6666667
1.8201891,4.602029,4.0
1.2605026,4.758916,4.6666665
2.8764217,4.9125395,4.0
1.3465236,4.2973056,2.0
1.837382,4.649585,2.6666667
1.7514131,4.499282,3.3333333
1.8765968,4.666183,3.3333333
1.8530803,4.680347,3.0
2.5439508,5.0,4.0
2.178532,5.0,4.3333335
2.5647209,4.986479,4.3333335
2.7428203,4.846578,4.3333335
1.6620307,3.5878892,1.3333334
1.6110088,4.6079364,3.6666667
1.793447,4.597089,3.3333333
3.316485,5.0,4.3333335
2.2757392,4.92197,3.3333333
1.555475,3.9784458,4.0
1.6195779,4.436466,2.0
1.62835,4.242729,2.0
3.2196293,5.0,4.6666665
1.9321734,4.8566694,4.0
1.7126346,4.4738216,1.6666666
1.2429777,4.4942656,2.0
2.1547627,4.9334702,3.3333333
1.9847748,4.9304523,4.3333335
2.4113674,5.0,3.6666667
1.9429927,4.8992267,2.3333333
3.065317,5.0,4.3333335
2.4908237,4.9899445,4.3333335
1.6099138,4.587821,2.6666667
1.9878345,5.0,2.6666667
2.2400866,5.0,4.3333335
1.6688943,3.578076,2.0
1.9014039,4.679979,2.0
1.6037307,4.3169265,4.0
1.4722787,4.16185,2.0
2.316639,5.0,4.0
2.1608982,5.0,4.0
1.7256573,4.482612,2.0
1.9842633,4.7348127,4.0
1.6968331,4.465798,4.3333335
2.8371303,5.0,5.0
3.1440282,5.0,4.3333335
1.3018609,4.2108135,2.0
1.4818224,4.760578,3.6666667
2.3090978,5.0,4.0
2.2646265,5.0,4.0
2.3475454,5.0,4.0
3.144432,5.0,4.3333335
1.3899773,4.623247,2.3333333
1.582814,4.2807426,3.3333333
2.2917616,5.0,3.0
2.2355323,5.0,3.0
1.9685962,4.8426657,3.0
1.8847466,4.6818814,2.3333333
2.341539,5.0,4.6666665
1.6739222,4.6075425,2.6666667
1.7618737,4.5457134,3.6666667
1.3384057,4.636709,1.6666666
2.0756688,4.818399,4.3333335
2.0117342,4.9880123,4.6666665
3.317195,5.0,4.3333335
2.312467,5.0,4.3333335
1.4094278,4.2439284,2.6666667
3.278142,5.0,4.3333335
1.9920855,4.7682242,4.3333335
1.2829747,4.9825406,2.0
1.4720659,4.1624804,1.6666666
1.6906425,4.392811,3.0
1.8949736,4.763812,2.3333333
2.1664696,4.8865733,4.3333335
1.2097145,4.2469716,2.3333333
1.6437856,3.5770726,2.3333333
3.1626306,4.9105678,4.3333335
1.3619788,4.485297,1.3333334
1.6274664,4.347703,3.0
1.798652,4.61503,3.0
1.4344046,4.1740093,2.0
2.0093393,4.73596,2.0
2.1629217,5.0,3.6666667
1.7275468,4.490557,4.6666665
1.696612,4.3441367,2.6666667
2.3171961,5.0,4.0
1.631534,4.4002805,3.6666667
1.5656495,3.700604,4.0
2.7401576,4.9998126,2.6666667
2.8898997,5.0,4.3333335
1.6703134,4.6317997,2.0
1.6643329,4.41093,1.6666666
3.2122004,5.0,4.6666665
1.4970853,4.204054,3.3333333
1.9878345,5.0,1.6666666
3.4567552,5.0,4.3333335
2.185623,4.927266,3.3333333
1.6757516,4.391182,2.0
3.233527,5.0,4.3333335
2.0938067,5.0,2.6666667
2.2232082,5.0,3.0
1.8150835,4.6459646,3.3333333
1.943611,4.783904,3.6666667
2.32419,5.0,4.0
2.265093,4.9486628,4.6666665
1.4119289,5.0,1.3333334
1.6170775,4.342228,3.6666667
2.338058,5.0,4.0
2.188078,4.9661665,4.3333335
2.268049,4.992155,4.6666665
2.3149533,5.0,5.0
1.7077316,4.4732823,3.0
2.208098,5.0,4.3333335
2.3156729,5.0,5.0
1.5738503,4.3248343,2.3333333
2.7713537,4.9648037,4.3333335
1.9812968,4.888732,4.0
2.28945,5.0,4.0
2.6539838,5.0,3.0
2.0077233,4.8950224,4.3333335
2.2337618,5.0,3.6666667
1.793447,4.597089,1.6666666
