low,up,y_test
4.6481347,5.0,5.0
4.6560183,5.0,5.0
4.6424484,5.0,5.0
4.644155,5.0,5.0
2.1644669,4.992665,5.0
4.6878467,5.0,5.0
1.836332,4.920118,1.0
4.6396737,5.0,4.3333335
1.9938354,4.8969216,5.0
4.652079,5.0,5.0
4.697276,5.0,5.0
1.8845637,4.913433,1.6666666
1.7764598,4.7576556,4.3333335
4.6902986,5.0,5.0
4.701251,5.0,5.0
4.6120253,5.0,5.0
4.6916656,5.0,5.0
4.6360188,5.0,5.0
3.979765,5.0,5.0
4.6475253,5.0,5.0
4.6231327,5.0,5.0
4.6387296,5.0,5.0
4.6508565,5.0,5.0
4.629472,5.0,5.0
1.938544,4.824147,4.3333335
4.697028,5.0,5.0
4.6813006,5.0,5.0
4.7125773,5.0,5.0
1.7466458,4.6671667,5.0
3.9948673,5.0,4.6666665
4.6257877,5.0,5.0
4.6122603,5.0,5.0
3.4543002,4.980615,4.6666665
4.644078,5.0,5.0
4.6330914,5.0,5.0
4.687576,5.0,5.0
4.63419,5.0,5.0
4.6567407,5.0,5.0
4.587741,5.0,5.0
4.6740603,5.0,5.0
4.6603813,5.0,5.0
4.619062,5.0,5.0
4.6595263,5.0,5.0
4.5655136,5.0,5.0
4.651825,5.0,5.0
4.59281,5.0,5.0
4.6698837,5.0,5.0
4.718247,5.0,5.0
4.5383253,5.0,5.0
2.234699,5.0,4.6666665
4.5916834,5.0,5.0
4.6694336,5.0,5.0
4.7416162,5.0,5.0
4.640079,5.0,5.0
4.6327605,5.0,5.0
4.645671,5.0,5.0
4.6811867,5.0,5.0
4.643677,5.0,5.0
4.6360645,5.0,5.0
4.334153,5.0,5.0
2.0067873,4.914806,4.6666665
4.6520414,5.0,5.0
3.275347,5.0,5.0
2.126233,4.9580855,1.6666666
4.623707,5.0,5.0
4.6156025,5.0,5.0
4.7234507,5.0,5.0
4.6953077,5.0,5.0
4.5412025,5.0,5.0
4.802566,5.0,4.3333335
2.2067294,5.0,5.0
2.4699082,5.0,1.6666666
2.404451,5.0,4.3333335
4.6013184,5.0,5.0
4.639759,5.0,5.0
4.6343803,5.0,5.0
4.3532586,5.0,5.0
4.6759667,5.0,5.0
3.7382972,5.0,5.0
4.635002,5.0,5.0
4.7034273,5.0,5.0
1.6406592,4.298903,4.6666665
4.6614428,5.0,5.0
4.7413287,5.0,5.0
2.7778134,4.9982996,5.0
4.653833,5.0,4.6666665
4.6574864,5.0,5.0
4.6596327,5.0,5.0
4.6491785,5.0,5.0
1.9410703,4.6468067,1.6666666
2.6182733,5.0,5.0
4.7064433,5.0,4.6666665
4.6415,5.0,5.0
2.3646667,4.815727,4.0
3.9245827,5.0,5.0
4.147355,5.0,5.0
4.6606655,5.0,5.0
4.6691513,5.0,5.0
4.659524,5.0,5.0
4.6111636,5.0,5.0
4.390688,5.0,5.0
4.6491103,5.0,5.0
4.626984,5.0,5.0
4.7076235,5.0,5.0
2.8161542,5.0,5.0
4.6430907,5.0,5.0
4.6651006,5.0,5.0
4.3780622,5.0,5.0
3.1727285,5.0,5.0
1.5589838,4.058403,2.0
4.6455984,5.0,5.0
4.6988187,5.0,5.0
1.2828306,4.0832233,5.0
4.65453,5.0,5.0
4.6226373,5.0,5.0
4.719175,5.0,5.0
4.6485248,5.0,5.0
4.722374,5.0,5.0
4.640971,5.0,5.0
3.6328557,5.0,5.0
4.400124,5.0,5.0
4.725293,5.0,5.0
4.6885495,5.0,5.0
4.6386147,5.0,4.3333335
1.3538132,3.7852387,1.6666666
2.703804,5.0,5.0
4.64849,5.0,5.0
4.6170044,5.0,5.0
4.6046143,5.0,5.0
4.0780725,5.0,5.0
4.1874714,5.0,5.0
3.6895194,5.0,4.6666665
4.648115,5.0,5.0
4.6545563,5.0,5.0
4.6915436,5.0,5.0
4.6804404,5.0,5.0
2.2211208,3.8491488,2.0
4.639868,5.0,5.0
4.655323,5.0,4.6666665
