low,up,y_test
3.7411761,5.0,5.0
4.2435,5.0,5.0
1.1988821,4.5672708,1.6666666
3.7118049,5.0,5.0
4.1695766,5.0,5.0
3.1914427,5.0,5.0
2.7962222,5.0,4.6666665
3.5868013,5.0,5.0
4.0570307,5.0,5.0
2.325762,4.93869,2.6666667
4.0808167,5.0,5.0
2.2208276,5.0,4.6666665
3.6841307,5.0,5.0
4.2478423,5.0,5.0
2.9712844,5.0,5.0
4.1641393,5.0,5.0
4.4412107,5.0,5.0
4.007914,5.0,4.6666665
3.9637475,5.0,5.0
3.021257,5.0,5.0
3.612939,5.0,5.0
3.437593,5.0,5.0
4.1321125,5.0,5.0
3.9108617,5.0,5.0
3.498059,5.0,5.0
3.5745063,5.0,5.0
4.0449696,5.0,5.0
4.216586,5.0,5.0
2.50611,4.940914,5.0
3.230897,4.978381,3.0
2.5180893,5.0,5.0
3.426362,5.0,5.0
3.4494913,5.0,2.6666667
4.031338,5.0,5.0
3.3021824,5.0,3.0
4.1037927,5.0,5.0
3.7587554,5.0,5.0
3.1402726,5.0,5.0
3.4114273,4.9984627,1.3333334
3.8309953,5.0,4.3333335
3.7410326,5.0,5.0
3.2067418,5.0,5.0
3.67165,5.0,3.6666667
3.4500003,5.0,5.0
3.4896188,4.995687,5.0
4.022297,5.0,5.0
2.6605647,5.0,5.0
4.0514235,5.0,5.0
4.1708355,5.0,4.3333335
4.155884,5.0,5.0
2.7099361,5.0,4.0
4.136817,5.0,5.0
2.870245,5.0,2.6666667
4.197729,5.0,5.0
3.0109594,5.0,5.0
3.9147608,5.0,5.0
4.1101365,5.0,5.0
2.8264158,4.9956236,5.0
3.6172912,5.0,5.0
3.1786673,5.0,5.0
4.0640764,5.0,5.0
4.1221414,5.0,5.0
4.0222626,5.0,5.0
4.1887617,5.0,5.0
4.04627,5.0,4.3333335
3.8211324,5.0,5.0
4.332981,5.0,5.0
4.1649413,5.0,5.0
4.076422,5.0,5.0
4.0803742,5.0,5.0
4.1135464,5.0,5.0
3.4473321,5.0,3.0
3.119824,5.0,4.6666665
3.5758452,5.0,5.0
3.9909847,5.0,5.0
3.5354166,5.0,5.0
1.6382419,4.295157,5.0
2.7099733,5.0,2.3333333
3.219112,5.0,5.0
3.4575858,5.0,5.0
4.0587807,5.0,5.0
1.358452,4.656341,5.0
3.690405,4.9948006,5.0
2.4608688,5.0,3.0
4.16566,5.0,5.0
4.000506,5.0,5.0
4.002102,5.0,5.0
4.249616,5.0,5.0
2.3171532,4.9499464,3.3333333
4.036706,5.0,5.0
