low,up,y_test
1.8708321,4.1517863,3.0
2.4892516,4.7516956,4.3333335
2.2361217,4.65651,3.3333333
3.1125498,4.846395,4.3333335
1.7004529,3.7915916,4.0
3.1881099,4.7625294,4.0
2.9846773,5.0,4.6666665
3.0042794,4.8035784,4.3333335
2.0690098,4.513765,3.6666667
3.0174334,4.7942047,3.6666667
2.1282196,4.591476,3.0
1.9525459,4.3510036,1.3333334
3.1600451,4.9632792,4.0
2.2112103,4.402794,3.3333333
3.1357474,4.893271,4.3333335
2.0968094,4.6364417,3.0
2.3101754,4.485707,4.3333335
1.5716306,3.6850286,2.0
3.2068834,4.859723,3.6666667
1.591363,3.6965165,2.3333333
3.1201448,5.0,5.0
3.4721007,4.769236,4.3333335
3.214758,4.99656,3.6666667
3.055225,4.76428,4.3333335
2.1684012,4.7647834,3.6666667
3.0370078,4.893912,5.0
2.2383068,4.459861,4.0
1.5478212,3.7711744,1.6666666
2.4010372,4.7459536,3.0
3.1866226,4.7222037,5.0
2.3820996,4.6406302,4.0
2.7106032,4.7616525,4.3333335
3.3100858,4.902429,4.3333335
2.1207385,4.6696706,4.3333335
2.2831666,4.4247446,3.6666667
2.211195,4.6652365,3.0
2.1454802,4.5651197,4.3333335
2.0515466,4.542588,3.0
2.3084035,4.6330056,4.0
2.8103342,4.7602634,2.6666667
2.622452,4.638261,4.0
2.9533005,4.747421,3.3333333
2.7768219,4.795802,4.6666665
3.0181336,4.7208304,5.0
1.332725,3.2768264,2.3333333
2.9584486,4.796214,3.3333333
3.0261016,4.8926816,4.6666665
2.0617447,4.521118,3.6666667
2.0198936,4.4992075,3.6666667
2.9037018,4.7419596,3.6666667
3.0900073,4.8110523,4.3333335
3.0646162,4.7892694,4.3333335
2.7558591,4.710807,4.3333335
3.0227728,4.8413844,4.6666665
1.6749258,3.7321577,3.0
1.4264444,3.383956,2.0
1.9930589,4.43145,4.0
2.0895972,4.619746,3.6666667
2.900154,4.7658615,4.3333335
3.0596232,4.79287,5.0
2.5620732,4.7970796,4.0
2.1110892,4.5585656,2.3333333
3.0268753,4.749711,4.0
3.0638971,4.872654,5.0
2.0892606,4.5757403,3.0
1.3867267,3.2803721,2.0
3.0126576,4.890922,4.0
3.255117,4.97755,3.6666667
2.3433385,4.4773355,4.3333335
3.0412993,4.933948,4.0
2.2329879,4.7474046,3.6666667
1.6069946,3.7137156,1.3333334
2.1925683,4.36542,4.0
1.9480296,4.25765,4.6666665
3.2874954,4.8894143,4.6666665
2.1036582,4.2993984,3.3333333
2.5492215,4.8835573,4.3333335
1.9766518,4.3704762,3.6666667
2.834175,4.851352,3.3333333
2.691237,4.800114,4.3333335
1.9558731,4.360308,4.0
1.4104278,3.4890263,2.3333333
3.0802007,4.8870254,4.3333335
2.2154403,4.480265,3.6666667
2.0515728,4.2219744,4.0
1.470859,3.5966468,2.0
1.5666716,3.6806433,3.3333333
2.6274123,4.676842,4.0
2.6636834,4.773082,4.0
3.0686972,4.948086,4.0
2.7677603,4.7282453,4.0
3.2987618,4.9137616,4.6666665
3.0502717,4.76865,4.3333335
2.039917,4.4839554,4.6666665
2.9007258,4.7572627,4.0
1.7262467,3.8473496,2.0
1.9857321,4.433076,2.3333333
2.0114114,4.4852524,3.6666667
2.6780992,4.891036,3.6666667
3.05628,4.8846436,4.0
2.4422483,4.741735,4.0
1.8590755,4.1048956,1.6666666
2.1797137,4.61077,4.6666665
3.0832691,4.7219195,4.3333335
3.1191268,4.683836,4.0
3.0115795,4.8526697,4.0
3.1851125,4.8024874,4.0
2.726821,4.7657166,5.0
3.35678,4.8095245,5.0
2.0636353,4.344067,3.6666667
2.4412048,4.8758907,4.3333335
2.9031231,4.848262,4.3333335
2.1423826,4.6058235,4.3333335
1.2983123,3.1991858,1.6666666
2.6742487,4.756768,3.0
2.1289144,4.734991,3.0
3.1963599,4.870536,4.0
2.3611784,4.906101,5.0
2.3226314,4.4731803,4.0
2.230103,4.685507,4.0
2.0524,4.55539,3.0
1.4950805,3.6683784,2.0
2.2105331,4.578402,3.3333333
3.120007,4.825783,4.3333335
1.3903362,3.4418898,3.3333333
2.1487584,4.5658984,4.3333335
2.2619905,4.4107804,4.3333335
1.5554954,3.801774,3.3333333
2.105443,4.557454,3.6666667
3.1184533,4.7208962,4.3333335
2.7734957,4.7772903,4.6666665
2.1733627,4.577227,4.3333335
3.5569296,4.752363,4.6666665
2.2068133,4.7211137,3.6666667
2.7072785,4.788476,3.6666667
2.1909661,4.7393107,4.0
2.3474307,4.77338,4.0
2.702922,4.8082294,4.0
2.5538344,4.791034,4.3333335
1.7986345,4.0218644,4.3333335
2.9928482,4.9540973,3.6666667
2.2968173,4.679395,4.6666665
1.6663517,3.821145,3.6666667
2.000299,4.430153,3.6666667
3.0561464,4.7719755,4.0
2.6621292,4.766465,3.3333333
1.388034,3.439084,3.6666667
2.8759089,4.7511835,3.6666667
2.275763,4.734582,4.3333335
2.4761276,4.849368,3.6666667
2.721819,4.748271,4.3333335
3.4563546,4.7747865,4.3333335
2.5665832,4.6607246,3.6666667
2.010243,4.708799,2.6666667
2.7821522,4.8477373,5.0
2.4082036,4.238483,4.0
3.4238565,4.7661796,4.6666665
2.0173926,4.436519,3.0
3.000477,4.9015636,4.0
1.9531091,4.3230767,3.6666667
3.4682405,4.7641754,4.3333335
3.2571952,4.8144817,4.3333335
2.958756,4.822339,4.3333335
1.9014812,4.225752,3.6666667
2.3092217,4.77832,4.0
2.131586,4.5387373,3.6666667
2.3375309,4.6337957,4.0
2.2945025,4.7443542,4.0
2.6669881,4.7395,5.0
2.4161797,4.592126,2.6666667
3.116781,4.703996,4.3333335
3.1352243,4.6795936,4.0
1.6606157,3.7191613,4.3333335
1.9806801,4.192921,2.3333333
1.4113834,3.5065224,3.6666667
3.1454937,4.8636293,5.0
1.5420564,3.7584138,2.6666667
2.837084,4.784599,3.3333333
1.5582474,3.6779685,2.6666667
2.1922626,4.6941304,3.6666667
3.0883253,4.805182,3.3333333
2.0496397,4.448025,4.3333335
1.4870011,3.5310097,2.3333333
2.131455,4.3164787,4.6666665
2.2891994,4.7033715,3.6666667
2.010243,4.708799,3.6666667
2.6985502,4.856798,4.0
3.0916002,4.8830504,5.0
3.0894823,4.760765,4.6666665
3.051626,4.8566494,3.6666667
2.1314554,4.3164787,3.3333333
2.2020588,4.617959,4.6666665
2.8300884,4.745716,3.3333333
3.068832,4.7766137,4.3333335
3.3418024,4.8512235,4.3333335
1.9806801,4.1929216,2.3333333
1.6127727,3.6945136,2.0
2.0413232,4.4798408,2.6666667
2.903482,4.766165,4.0
2.0651217,4.617869,3.0
2.5890093,4.4431853,4.3333335
2.9963815,4.8837514,3.6666667
2.0781996,4.632124,3.3333333
2.746081,4.7433314,3.0
2.1104844,4.6542826,4.0
2.3171232,4.7970295,3.6666667
2.3350759,4.620954,3.3333333
1.4478241,3.535833,2.3333333
3.172985,5.0,4.6666665
2.3854284,4.675827,3.3333333
3.221108,4.726659,4.6666665
3.206024,4.8104124,3.6666667
1.6796252,3.7683477,3.0
3.089661,5.0,4.0
2.2294168,4.7947407,3.6666667
1.4905226,3.548401,2.0
3.072627,5.0,4.3333335
2.6127157,4.865773,2.0
2.2033384,4.6693525,4.0
2.3971653,4.5771084,2.6666667
1.7237892,3.8410344,3.6666667
2.533491,4.9762144,3.3333333
2.3143797,4.713237,3.0
1.4520494,3.5519238,1.0
1.8306017,4.068784,3.6666667
2.6932254,4.7875295,3.6666667
2.4008994,4.889854,4.3333335
2.2492666,4.5599995,3.6666667
3.1325922,4.9134436,4.6666665
2.6295044,4.983328,3.6666667
3.4093635,4.732189,4.6666665
2.9895778,4.8089013,5.0
2.5028229,4.805441,3.3333333
