low,up,y_test
1.0,3.9565938000000003,3.0
1.0,5.0,4.0
1.0,3.000053122797775,2.0
1.0,3.000053122797775,4.0
1.0,3.000053122797775,2.0
1.0,3.9565938000000003,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,3.9565938000000003,5.0
1.0,3.000053122797775,2.0
1.0,5.0,4.0
1.0,3.000053122797775,3.0
1.0,5.0,4.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,3.000053122797775,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,3.000053122797775,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,3.9565938000000003,5.0
1.0,4.7624918,3.0
1.0,3.000053122797775,1.0
1.0,3.000053122797775,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,3.000053122797775,4.0
1.0,5.0,3.0
1.0,3.9565938000000003,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.000053122797775,3.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,3.000053122797775,1.0
1.0,3.000053122797775,1.0
1.0,5.0,2.0
1.0,3.000053122797775,3.0
1.0,5.0,4.0
1.0,4.7624918,3.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.000053122797775,3.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,3.000053122797775,5.0
1.0,5.0,4.0
1.0,4.194102,3.0
1.0,5.0,4.0
1.0,3.9565938000000003,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,3.000053122797775,3.0
1.0,3.000053122797775,1.0
1.0,3.000053122797775,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.000053122797775,1.0
1.0,5.0,5.0
1.0,3.000053122797775,5.0
1.0,5.0,3.0
1.0,3.000053122797775,3.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,4.000026561398888,5.0
1.0,4.7624918,3.0
1.0,5.0,1.0
1.0,3.000053122797775,1.0
1.0,5.0,1.0
1.0,4.194102,5.0
1.0,5.0,5.0
1.0,3.000053122797775,3.0
1.0,3.000053122797775,1.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,3.000053122797775,4.0
1.0,5.0,3.0
1.0,3.000053122797775,1.0
1.0,3.000053122797775,3.0
1.0,5.0,5.0
1.0,3.9565938000000003,5.0
1.0,5.0,5.0
1.0,3.000053122797775,1.0
1.0,5.0,3.0
1.0,5.0,5.0
