low,up,y_test
3.0,5.0,5.0
2.2787065226506047,5.0,4.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,2.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,3.0
3.0,5.0,3.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,5.0
1.0000531227977754,5.0,2.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,2.0
3.0,5.0,3.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,3.0
3.0,5.0,5.0
3.0,5.0,2.0
3.0,5.0,3.0
3.0,5.0,3.0
3.0,5.0,5.0
1.0000531227977754,5.0,3.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,2.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,2.0
3.0,5.0,2.0
