low,up,y_test
1.0,4.182423872826071,4.0
1.0,4.100861503722547,2.0
1.0,4.100861503722547,1.0
1.0,4.0,1.0
1.0,4.100861503722547,1.0
1.0,4.298436145360271,3.0
1.0,4.100861503722547,1.0
1.0,5.0,4.0
1.0,4.100861503722547,3.0
1.0,4.092571935064807,3.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,4.100861503722547,1.0
1.0,4.0,5.0
1.0,5.0,4.0
1.0,4.0,5.0
1.0,4.0,1.0
1.0,4.092571935064807,2.0
1.0,5.0,4.0
1.0,4.0,1.0
1.0,5.0,4.0
1.0,4.019967049324293,3.0
1.0,4.100861503722547,4.0
1.0,4.0,3.0
1.0,4.197587039455024,3.0
1.0,4.0,3.0
1.0,4.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,4.0,4.0
1.0,4.0,3.0
1.0,4.0,4.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,4.0,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.0,3.0
1.0,4.0,1.0
1.0,3.096964694094752,1.0
1.0,5.0,2.0
1.0,4.100861503722547,1.0
1.0,5.0,1.0
1.0,4.0536167095756905,5.0
1.0,4.100861503722547,3.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.0,3.0
1.0,5.0,5.0
1.0,4.0,3.0
1.0,4.0,1.0
1.0,4.100861503722547,1.0
1.0,4.0,4.0
1.0,4.0,3.0
1.0,4.100861503722547,1.0
1.0,4.100861503722547,1.0
1.0,4.100861503722547,4.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,4.0,1.0
1.0,3.096964694094752,5.0
1.0,4.0,5.0
1.0,5.0,4.0
1.0,4.0,1.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,4.100861503722547,3.0
1.0,4.0,4.0
1.0,4.0536167095756905,5.0
1.0,4.0,1.0
1.0,4.0,4.0
1.0,4.0,1.0
1.0,4.0,2.0
1.0,5.0,1.0
1.0,4.745608151575691,5.0
1.0,5.0,4.0
1.0,4.100861503722547,3.0
1.0,4.100861503722547,1.0
1.0,4.092571935064807,1.0
1.0,4.09262424478866,2.0
1.0,4.100861503722547,1.0
1.0,5.0,1.0
1.0,4.197587039455024,2.0
1.0,5.0,1.0
1.0,4.100861503722547,1.0
1.0,4.100861503722547,4.0
1.0,5.0,2.0
1.0,4.0,5.0
1.0,4.100861503722547,1.0
1.0,3.0041457163622756,1.0
1.0,5.0,5.0
1.0,4.0,2.0
