low,up,y_test
1.0,4.309150218963623,2.0
1.0,3.511820912361145,3.0
1.499610424041748,5.0,4.0
1.0,4.815486192703247,5.0
1.0,3.9913878440856934,1.0
1.0,2.994175434112549,2.0
1.0,4.979914665222168,5.0
1.0,4.70366644859314,3.0
1.0,5.0,1.0
1.0,4.41800594329834,1.0
1.5098252296447754,5.0,4.0
1.0948684215545654,5.0,4.0
1.8103373050689697,5.0,3.0
2.2152605056762695,5.0,4.0
1.0,4.3777453899383545,1.0
1.0,2.589290976524353,1.0
1.0,4.452826499938965,4.0
1.0,3.9575726985931396,2.0
2.183824062347412,5.0,1.0
1.0,4.279474496841431,1.0
1.0,4.3435540199279785,3.0
1.0,5.0,2.0
1.0,4.4944069385528564,5.0
1.486678123474121,5.0,1.0
1.0,5.0,5.0
1.0,3.409170985221863,1.0
1.0,5.0,3.0
1.0,3.5876439809799194,1.0
1.0,4.4699387550354,5.0
1.5412638187408447,5.0,1.0
1.0,3.9873552322387695,1.0
1.0,5.0,5.0
1.581207513809204,5.0,1.0
1.0,5.0,3.0
1.0,3.728965163230896,1.0
1.0,3.9048992395401,3.0
1.6124796867370605,5.0,1.0
1.709827184677124,5.0,4.0
1.0,3.9868054389953613,1.0
1.0,4.100377798080444,2.0
1.0,4.973843812942505,3.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,4.422390699386597,1.0
1.1349074840545654,5.0,1.0
1.0,5.0,3.0
1.0,4.538841962814331,1.0
1.0,3.4926658868789673,1.0
1.029203176498413,5.0,4.0
1.0,3.9590402841567993,4.0
1.0,3.333740472793579,1.0
1.0,5.0,4.0
2.0217251777648926,5.0,1.0
1.0,4.0019471645355225,1.0
1.0,3.2441976070404053,3.0
1.0,5.0,5.0
1.0,3.86277174949646,3.0
1.0,4.214476108551025,3.0
1.846252679824829,5.0,5.0
1.5094971656799316,5.0,1.0
1.095224142074585,5.0,1.0
1.0,4.920635461807251,1.0
1.0,5.0,1.0
1.0,3.6928306818008423,1.0
1.2151987552642822,5.0,5.0
1.0,4.854554176330566,2.0
1.0,4.3182408809661865,2.0
1.0,4.375138521194458,1.0
1.0,4.2851831912994385,1.0
1.860053300857544,5.0,5.0
1.1846599578857422,5.0,5.0
1.0,4.791523694992065,1.0
1.0,4.854743242263794,1.0
1.0,5.0,3.0
1.0,3.9663665294647217,3.0
1.3291661739349365,5.0,4.0
1.0,5.0,4.0
1.0,3.1844048500061035,1.0
1.0,4.66394305229187,1.0
1.0,3.1106133460998535,3.0
2.3212265968322754,5.0,2.0
1.0,5.0,4.0
1.0,4.074352979660034,1.0
2.1171936988830566,5.0,1.0
1.219139814376831,5.0,1.0
1.0,5.0,1.0
1.0,3.995885133743286,1.0
1.0,4.525298118591309,4.0
2.163637638092041,5.0,1.0
1.675757884979248,5.0,3.0
1.0,5.0,4.0
1.0,5.0,5.0
1.334319829940796,5.0,2.0
1.0,3.3661675453186035,5.0
1.0,4.158569097518921,3.0
1.0,4.215080738067627,2.0
1.0,4.257573366165161,3.0
1.0,5.0,5.0
