low,up,y_test
1.0,3.1452701687812805,1.0
1.0,3.357904076576233,2.0
1.0,4.704127073287964,5.0
1.0,3.142739415168762,1.0
1.0,4.2363364696502686,1.0
1.0,3.123902201652527,2.0
1.0,4.5145814418792725,5.0
1.0,3.600607842206955,3.0
1.0,4.057726144790649,4.0
1.0,3.3576284646987915,3.0
1.0,2.731875777244568,1.0
1.0,4.385781764984131,5.0
1.0,5.0,4.0
1.0,3.2353605031967163,3.0
1.0,3.101056933403015,1.0
1.199686050415039,5.0,3.0
1.0,3.0551223754882812,4.0
1.0,3.2398033142089844,1.0
1.0,3.074069380760193,1.0
1.0,4.972988605499268,4.0
1.0,4.791483402252197,2.0
2.088582754135132,5.0,1.0
1.0,5.0,3.0
1.0,5.0,2.0
1.0,4.9205005168914795,4.0
1.0,4.522511720657349,4.0
1.6071467399597168,5.0,4.0
1.0,5.0,5.0
1.0,4.890202045440674,3.0
1.0,3.0252108573913574,3.0
1.0,3.5972940921783447,1.0
1.0,5.0,5.0
1.0,4.356485605239868,2.0
1.0,4.76195502281189,1.0
1.0,4.72663688659668,3.0
1.0,5.0,4.0
1.0,4.761954069137573,3.0
1.0,3.0714415311813354,1.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,3.1457356214523315,1.0
1.0,3.170589327812195,1.0
1.0,2.912735104560852,1.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,3.3781718015670776,1.0
1.0,4.650630235671997,1.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,4.236337184906006,4.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,3.1719964742660522,2.0
1.0,3.1748900413513184,3.0
1.0,5.0,4.0
1.0,4.737428903579712,5.0
1.0,3.1595627069473267,2.0
1.0,5.0,5.0
1.0,4.635391712188721,3.0
1.0,2.3517004251480103,3.0
1.0,3.2435617446899414,1.0
1.0,5.0,4.0
1.0,3.1511210203170776,1.0
1.0,2.378387749195099,1.0
1.0,5.0,1.0
1.0,2.964725136756897,2.0
1.0,2.948946475982666,1.0
1.0,5.0,4.0
1.0,3.027906060218811,1.0
1.0,5.0,3.0
1.0,3.378274917602539,3.0
1.0,4.337806224822998,3.0
1.0,3.192763328552246,1.0
1.0,5.0,4.0
1.0,3.6624646186828613,1.0
1.0,3.6998343467712402,3.0
1.0,3.3805822134017944,1.0
1.0,4.991223573684692,5.0
1.0,5.0,4.0
1.7089924812316895,5.0,1.0
1.0,3.5944398641586304,1.0
1.1648452281951904,5.0,4.0
1.0,3.1577259302139282,1.0
1.0,3.6624672412872314,3.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,3.121750831604004,2.0
1.0,3.309837222099304,4.0
1.0,3.4066147804260254,1.0
1.0,3.876943588256836,2.0
1.0,5.0,5.0
