low,up,y_test
3.981481,4.93584,5.0
3.6715512,4.7628236,3.6666667
2.6917136,4.7784595,3.6666667
2.1762705,4.0723734,2.6666667
2.2025306,3.788215,3.0
3.0793567,4.781595,4.3333335
2.2720609,4.022347,2.6666667
2.1325164,3.6674423,3.0
3.8970988,4.9586143,4.0
4.206737,5.0,4.6666665
3.8145094,4.8833838,4.3333335
3.3334467,4.722744,3.3333333
3.3948205,4.742534,3.3333333
2.4583418,4.078396,3.3333333
3.6890047,4.794311,4.0
3.75317,4.8842373,4.6666665
3.388873,4.7848434,4.0
2.03292,3.691359,3.0
3.3762357,4.690015,4.0
3.9909868,5.0,5.0
3.7358167,4.7732425,4.3333335
2.173434,3.8436306,3.0
3.0932224,4.4688954,3.6666667
3.0277972,4.5668106,4.3333335
3.7428992,4.7690187,4.3333335
3.4583411,4.948568,4.6666665
3.8585014,4.9045687,4.0
3.6854978,4.962544,4.6666665
2.9264202,4.5087185,4.3333335
3.8946342,4.837207,4.3333335
3.815777,4.810954,4.6666665
2.3091693,3.824068,3.0
4.0630302,5.0,4.3333335
3.5993676,4.778827,4.3333335
2.5920167,4.535619,4.6666665
4.137834,5.0,4.3333335
3.8237622,4.9739847,4.0
3.6683593,4.82,3.6666667
3.0825717,4.502655,3.6666667
3.3606708,4.7421594,4.3333335
3.223779,4.6366034,4.3333335
3.9616425,4.9200544,5.0
2.0402555,3.7319012,3.3333333
3.8006794,4.910962,4.3333335
2.6241791,4.6059804,2.6666667
2.900961,4.57496,3.6666667
3.8012857,4.7916126,4.6666665
3.7825012,4.9754276,4.3333335
3.6419933,4.751216,4.0
4.0700655,5.0,5.0
3.0679417,4.4563694,4.0
3.712749,4.930494,4.6666665
4.0574837,5.0,4.0
3.0042515,4.4486136,4.0
3.7931905,4.84705,4.0
3.3316386,4.924386,4.0
3.6809464,4.755273,4.3333335
3.6858623,4.7837477,4.3333335
3.9945638,5.0,4.6666665
4.2075286,5.0,4.6666665
3.9993746,4.9083033,4.3333335
2.6619473,4.369669,2.6666667
3.3912122,4.7062826,3.0
3.9237995,4.881358,4.0
3.329502,4.83712,4.3333335
3.44736,4.7968626,4.3333335
3.5252237,4.718775,4.6666665
3.6312141,4.8716393,4.6666665
3.7376988,4.766445,4.6666665
3.4401817,4.9879313,5.0
3.753607,4.814244,4.6666665
3.8539782,4.997877,4.6666665
3.0395129,4.7201934,3.3333333
3.4922643,4.7649302,4.0
2.8683715,4.461639,3.0
4.120292,5.0,4.6666665
3.0776184,4.505247,2.3333333
3.0744073,4.6259556,4.6666665
3.769358,4.9483542,4.6666665
3.091474,4.63361,4.0
3.8044863,4.9723225,4.0
3.760022,4.819307,4.0
3.005848,4.442816,3.6666667
3.453417,4.813113,3.3333333
2.0499597,3.852223,2.6666667
3.901203,4.9948053,4.6666665
3.3299308,4.6611667,4.3333335
3.750351,4.7687235,4.0
2.3723774,4.3626323,3.0
4.2507253,5.0,5.0
3.648096,4.8346434,4.6666665
3.580677,4.723406,4.3333335
3.74657,4.7723584,4.6666665
3.5907495,4.8648767,4.6666665
3.8334548,4.7879567,3.6666667
2.2764435,4.0295234,3.6666667
3.8294039,4.8615074,4.6666665
3.6915689,4.946487,4.0
