low,up,y_test
3.4034698,4.929528,3.6666667
1.0,3.1435637,1.6666666
1.9201524,4.514435,3.6666667
1.5997915,3.840477,3.6666667
1.6900449,4.0795813,4.0
2.3199296,4.6674166,4.6666665
3.0125003,4.9924636,4.6666665
1.0,2.2551992,1.6666666
2.8814476,4.628996,3.3333333
2.1955914,4.404342,3.6666667
1.2531327,3.5155993,3.0
1.0,2.2191298,1.3333334
2.5418794,4.691782,4.3333335
3.2748523,4.869531,4.3333335
2.2021012,4.400453,1.0
3.3047695,4.807513,4.6666665
1.9462291,4.6925054,3.0
1.2378547,3.8184197,3.6666667
3.383526,4.8199396,3.0
2.5220385,4.4814205,3.3333333
3.1340456,4.83281,4.3333335
2.8758407,4.9234924,3.0
3.3579757,4.8374414,3.6666667
1.3128356,3.7862267,2.3333333
1.1689206,3.3329353,2.3333333
3.360944,4.9221997,4.6666665
3.3023083,4.835991,3.6666667
1.2626181,3.5372992,3.6666667
3.3784328,5.0,4.6666665
3.1645656,4.9252124,4.0
2.4192374,4.588254,3.6666667
3.3302515,4.904667,4.0
2.5039992,4.691247,4.3333335
3.0621178,5.0,5.0
2.9969304,4.832152,4.0
3.272191,4.869069,4.0
2.498772,4.7508507,4.3333335
1.0925578,3.3113585,1.6666666
2.9381366,4.962644,4.6666665
3.1747925,4.8745837,4.0
1.9934831,4.541915,3.6666667
3.3302515,4.904667,4.0
2.3092022,4.6334434,3.0
2.5684705,4.6800995,3.3333333
2.8963976,4.787915,4.3333335
1.845348,4.5964785,4.3333335
3.05124,4.8188233,4.3333335
2.7212448,4.7469306,4.6666665
2.350627,4.398306,3.0
1.0874048,3.1902003,3.0
2.1232114,4.6636863,3.6666667
2.8114204,4.679456,4.0
1.0,2.6031206,2.6666667
1.2005851,3.6456048,1.6666666
3.425167,4.9529924,4.3333335
3.0889063,4.761711,4.0
2.3499818,4.655357,4.0
1.0,2.6403325,1.3333334
3.1791492,4.860048,4.3333335
2.5061424,4.430975,3.6666667
2.8104172,4.683602,4.3333335
3.4452343,4.922242,4.3333335
3.2829754,4.8152857,4.0
3.3182626,4.855967,4.0
2.604215,4.6434107,3.6666667
3.2127635,4.878409,3.3333333
2.8008218,4.5495234,3.0
3.3836045,4.8543353,3.6666667
3.312406,4.837295,5.0
2.8098898,4.7104855,3.6666667
2.794453,4.4937515,4.0
2.6772823,4.4284306,3.3333333
1.1545694,3.4004533,2.6666667
2.4135313,4.625643,4.6666665
2.24968,4.6911726,4.0
2.6528134,4.7525043,4.6666665
2.9988549,4.8264346,4.0
1.0189869,2.349636,2.3333333
3.5776846,4.8992414,4.3333335
1.2527554,3.534434,1.6666666
2.4501672,4.5687222,4.3333335
3.4932604,4.930502,4.3333335
3.1385746,4.8447967,4.0
1.5920007,4.1293964,1.6666666
3.5254438,4.966516,5.0
2.9650836,4.6488047,3.6666667
3.0934985,4.8578196,4.6666665
2.5141678,4.687815,4.6666665
3.236309,4.8979855,4.6666665
2.4871948,4.636079,3.6666667
2.7163067,4.5615935,3.6666667
2.58806,4.6097665,4.0
3.1803207,4.77694,4.0
3.0771005,4.6726193,2.6666667
3.1205666,4.878104,4.0
2.7546785,4.736355,4.3333335
2.2450008,4.6454797,4.3333335
2.5975735,4.6583824,4.3333335
2.0396369,4.437661,2.6666667
2.2263465,4.536226,3.6666667
2.858172,4.629343,4.0
1.0,2.601025,1.0
2.1027095,4.625084,4.0
1.196629,3.6163044,2.0
2.4423013,4.6721807,4.3333335
2.957022,4.612235,3.6666667
3.1422007,4.8380537,4.3333335
2.3339915,4.407513,4.3333335
2.5905042,4.5954576,4.3333335
3.1008234,4.7600517,4.3333335
1.0,2.38921,1.6666666
2.1844573,4.674768,3.6666667
2.6182852,4.678004,3.3333333
1.0,2.8395567,2.6666667
1.7924423,4.610279,4.6666665
1.1743237,3.4187503,3.0
1.1920221,3.5653236,3.3333333
1.0,2.95038,2.3333333
2.7410765,4.7464957,4.6666665
3.0093908,4.755159,4.3333335
2.9381366,4.962644,4.6666665
1.179923,3.4491105,1.3333334
3.3121643,4.8301144,3.6666667
2.222538,4.7451177,4.0
1.6844573,4.081453,2.3333333
1.0,2.362323,1.0
1.4025772,4.0075417,2.0
2.8479657,4.767252,4.3333335
3.036682,4.676455,4.0
2.479318,4.3645124,4.3333335
2.2887702,4.52407,3.0
1.1853428,3.610508,1.0
1.0,2.088655,1.0
2.6323276,4.5204477,3.3333333
2.9021478,4.793889,4.3333335
1.0,2.9039514,1.3333334
2.8910487,4.854574,3.0
1.4516842,4.10149,4.3333335
1.1989139,3.584445,2.0
2.9758372,4.7708282,4.3333335
2.8244524,4.7664247,4.0
2.4902947,4.3981743,3.3333333
2.6601648,4.75326,4.0
1.5696857,4.239708,1.0
2.0078154,4.3873615,2.3333333
3.427113,4.897969,3.6666667
3.4244905,4.901139,4.3333335
2.3470345,4.481215,3.3333333
2.5807729,4.424729,4.3333335
2.24036,4.477893,4.0
2.7944698,4.870005,3.6666667
2.2716908,4.6726675,3.6666667
3.2462533,4.879697,4.3333335
1.1229393,3.3762486,2.3333333
2.735013,4.750521,4.0
2.812255,4.499097,3.6666667
3.2735431,4.9366302,4.3333335
2.3122482,4.676266,3.6666667
2.5538716,4.458758,2.6666667
1.9982059,4.0775986,3.3333333
1.0,2.5126858,1.0
2.7539825,4.7553153,4.0
3.9436748,5.0,4.6666665
2.8277283,4.7206893,4.3333335
2.9252198,4.7404776,4.3333335
2.8137655,4.7960553,1.6666666
3.2716472,4.862578,4.0
2.7155643,4.817746,3.0
1.0,2.0394306,1.0
2.3124554,4.686445,4.6666665
2.5200975,4.549282,3.0
3.242601,4.915933,3.3333333
1.4030952,3.9463925,3.0
3.1799138,4.8599095,4.0
1.0696073,3.3467536,3.6666667
3.44971,4.8941393,4.3333335
1.201821,3.527699,2.3333333
2.795044,4.6324797,3.6666667
3.0442116,4.7751126,4.3333335
2.479609,4.707073,3.6666667
3.2891831,4.8691773,4.0
1.0,2.4744344,1.0
3.4262042,5.0,5.0
3.0073879,4.8414235,3.6666667
3.084874,4.7602873,3.6666667
2.4104037,4.49865,2.3333333
1.8126408,4.204128,1.3333334
3.2028358,4.835865,4.3333335
2.902567,4.762957,4.6666665
2.6331458,4.6370325,3.6666667
2.6247945,4.397248,3.6666667
3.323605,4.805012,4.6666665
1.1233538,3.5145354,1.6666666
2.2552452,4.402938,3.3333333
1.0,2.3674245,1.0
1.0,3.0546956,3.0
2.7264953,4.552019,3.6666667
2.4841096,4.726062,3.3333333
2.1095507,4.2901287,3.0
3.1615393,4.758587,3.6666667
2.4645057,4.623024,4.3333335
1.8692627,4.4566326,2.6666667
2.7241638,4.450589,4.3333335
1.3138299,3.963811,2.3333333
3.1405287,4.7485623,4.0
3.56819,4.916799,4.6666665
3.5864453,5.0,4.6666665
2.8018267,4.6547394,3.6666667
1.8406883,4.58271,2.3333333
2.925148,4.6946616,3.6666667
3.1612105,4.845032,4.3333335
3.0254416,4.7764325,4.6666665
2.282612,4.5505104,4.0
1.0366708,3.1490402,1.0
3.224267,4.8465977,3.6666667
1.990553,4.217132,2.3333333
2.5762749,4.568272,2.6666667
1.0,2.4578233,1.6666666
2.7420294,4.526318,4.3333335
2.8556478,4.7639337,4.6666665
2.7043343,4.633612,4.3333335
2.3307781,4.3704414,3.0
2.2128048,4.2736306,3.3333333
2.2151847,4.714309,3.6666667
1.1827586,3.5012348,2.0
1.0,3.0854921,2.6666667
2.2351968,4.6547966,4.6666665
2.8933425,4.8249383,3.6666667
3.3843138,4.865637,4.3333335
2.9713237,4.70327,3.6666667
3.0827875,4.7248898,4.0
2.6226873,4.8128257,3.6666667
1.8479042,4.067381,3.6666667
2.306703,4.631767,3.3333333
3.023314,4.7853813,4.0
1.892382,4.6438036,4.0
1.3200527,3.6662621,2.3333333
2.4887004,4.5306005,3.6666667
2.5737839,4.704492,3.6666667
2.3414397,4.615576,4.6666665
2.2247648,4.5324154,5.0
2.6507733,4.7643814,1.3333334
1.402301,3.7559986,3.0
3.5615022,4.9104414,4.3333335
2.6952734,4.744577,3.6666667
2.8277962,4.736577,2.6666667
3.1568637,4.8797517,4.6666665
1.3094045,3.4920983,2.6666667
2.4187808,4.633682,3.6666667
2.5138454,4.380734,3.0
2.6115632,4.927027,3.6666667
3.0291953,4.685382,4.3333335
2.6651754,4.425475,4.3333335
2.6479802,4.7313166,4.0
1.907044,4.192762,3.6666667
1.6104046,4.098904,3.6666667
2.8917637,4.800875,4.3333335
3.2013998,4.830676,3.3333333
2.7661629,4.624087,3.0
1.0,3.0492563,1.6666666
3.0414937,4.8247986,4.6666665
3.3810363,4.8287807,4.3333335
2.9974406,4.8067956,4.3333335
3.028995,4.7337165,4.0
2.794998,4.8001547,4.6666665
1.0704103,3.3436408,1.6666666
1.0,2.0504954,1.0
2.2438455,4.760552,3.6666667
2.6730208,4.433251,4.6666665
1.0476317,3.3559647,1.3333334
1.4086236,3.7915244,2.6666667
2.5465176,4.624259,4.3333335
2.2129667,4.2769365,4.0
2.8273706,4.618652,3.6666667
2.689515,4.4461613,4.0
2.6177523,4.4081497,2.6666667
1.3092026,3.9774637,2.0
2.185903,4.536119,3.6666667
1.0,2.627258,1.6666666
1.4446626,3.7561703,3.3333333
2.4745116,4.5179234,2.6666667
1.6014668,4.0715837,3.3333333
3.1791563,4.7596784,4.3333335
2.1222882,4.189745,3.0
2.7539825,4.7553153,4.0
1.0864283,3.418738,1.6666666
3.2457743,5.0,3.6666667
2.471798,4.3509436,3.6666667
2.633062,4.605113,4.3333335
1.9247615,4.4150724,4.3333335
2.6455722,4.684457,3.6666667
1.0,2.3175733,1.0
2.9297235,4.727542,4.0
3.266495,4.825857,4.0
3.5325463,5.0,5.0
3.0452337,4.7876043,4.3333335
2.0366683,4.508449,3.6666667
2.8063831,4.5028167,3.0
3.166956,4.852936,4.3333335
2.8410497,4.6964464,4.3333335
2.5206635,4.707656,4.0
2.9318883,4.643646,4.0
1.1150191,3.4131286,3.3333333
1.0967765,3.518608,2.0
2.7260237,4.6679273,3.3333333
3.3397932,4.876052,4.0
2.0465422,4.6334195,3.3333333
1.0,2.8014722,1.0
2.7592273,4.908219,4.6666665
2.9623313,4.6730328,4.3333335
3.4676366,4.9619174,4.6666665
1.9972081,4.481334,4.3333335
2.985961,4.7780995,4.3333335
1.4632951,4.047868,2.6666667
3.1946845,4.8840938,5.0
1.6793809,4.497741,4.6666665
1.4492091,3.7602224,3.6666667
2.5729523,4.5715585,4.6666665
