low,up,y_test
2.2215056,4.230819,3.6666667
2.0781417,4.002266,4.3333335
2.8383045,4.494083,3.3333333
1.579159,4.522707,3.0
2.9474578,4.5917134,4.0
1.8596165,4.032896,3.3333333
1.3127415,4.401472,2.0
3.29961,5.0,4.3333335
3.1522894,4.9984474,3.3333333
3.393128,5.0,4.6666665
1.54174,4.3764424,3.3333333
3.5767207,5.0,3.6666667
2.976295,4.6069984,3.6666667
2.7997925,4.4742093,4.0
1.0188195,4.3556833,1.3333334
1.9527284,4.9083095,5.0
2.8587236,4.492924,3.6666667
2.6153681,4.275816,4.0
2.024061,4.983817,5.0
3.5914536,5.0,4.0
2.8579473,4.677915,4.0
2.2483964,4.3460274,3.3333333
3.3357134,5.0,4.0
1.0220255,4.4070926,1.0
1.9938602,4.9533844,3.6666667
2.023451,4.2489824,3.0
3.3787065,5.0,4.3333335
1.4491163,4.2791634,3.3333333
3.7395563,5.0,4.6666665
2.9507422,4.6459727,4.0
2.4912071,4.4310136,3.6666667
2.9537847,4.627882,4.3333335
2.7667062,4.4339333,4.0
2.6229372,4.411798,3.3333333
3.2695978,5.0,4.0
2.102894,4.0983024,5.0
1.2204239,4.5902767,3.6666667
3.554729,5.0,4.3333335
3.5821528,5.0,4.0
3.1533222,5.0,3.6666667
3.515666,5.0,4.6666665
1.2822016,4.385988,4.3333335
3.2834268,5.0,3.0
1.5170401,4.3556523,2.3333333
3.4102414,5.0,5.0
1.195227,4.0565314,3.0
2.7106829,4.3575416,4.0
3.2985284,4.933079,4.0
3.2913668,5.0,4.3333335
2.0236874,4.8614454,4.0
3.0981312,4.7459207,3.3333333
2.3120925,4.6677647,3.6666667
2.9334598,4.765353,2.6666667
3.7397556,5.0,4.3333335
3.122733,4.7682085,4.3333335
1.5019188,4.203747,3.3333333
2.9325435,4.668691,3.3333333
3.348228,5.0,4.0
2.4458826,4.138002,3.6666667
3.0406318,4.685224,4.0
3.2499156,5.0,4.3333335
3.0146973,4.69555,3.3333333
3.4464922,5.0,4.0
3.0558622,4.747355,3.6666667
2.6074135,4.390695,5.0
2.3999898,4.8544273,4.3333335
2.9400992,4.6089444,2.6666667
1.5393198,4.2108555,3.3333333
3.2428095,5.0,4.0
2.443726,4.2912383,4.0
2.7645218,4.3872585,4.0
3.7990599,5.0,4.3333335
3.1100254,4.7301617,4.3333335
1.61724,4.284526,3.3333333
1.3698225,4.3010864,3.6666667
3.8205752,5.0,4.0
2.048681,4.238226,3.3333333
1.0737942,4.4701033,2.0
3.6224227,5.0,4.3333335
1.0,4.6139364,2.3333333
1.8738937,4.537704,2.6666667
3.2499156,5.0,4.3333335
2.986545,4.909473,4.3333335
2.008915,5.0,5.0
2.1019032,4.835084,4.0
3.7279139,5.0,4.0
2.9642522,4.735364,3.6666667
2.8539352,4.6186585,4.0
2.5221233,4.232532,3.3333333
3.1268296,5.0,5.0
1.0,4.8005905,1.0
1.5331261,4.2243347,3.3333333
2.4620621,4.190258,4.0
1.9036857,3.9773846,1.6666666
3.665039,5.0,4.6666665
3.2050624,5.0,3.6666667
2.7688315,4.4429593,4.0
3.5132046,5.0,4.0
2.424715,5.0,5.0
3.1680691,4.8201776,4.0
3.2020416,5.0,2.6666667
1.4317855,4.268211,3.6666667
1.6096687,4.3626065,2.6666667
1.0,5.0,1.0
1.4414442,4.1896143,3.3333333
2.1475482,4.6540265,5.0
2.6808815,4.78801,4.6666665
3.1198277,4.740734,3.6666667
2.5822155,4.2643104,4.3333335
3.0110626,4.6631217,4.0
1.9187821,4.4729233,2.3333333
2.4370956,4.2315645,3.6666667
1.819204,4.26942,3.3333333
2.553385,4.7499847,3.6666667
3.1657467,4.8097954,4.0
2.3258216,4.0949183,3.6666667
3.1349442,4.7825847,4.0
1.772277,4.4816265,3.3333333
1.6238838,4.0764,2.6666667
3.3482125,5.0,4.3333335
3.4021366,5.0,4.0
2.794765,4.575447,4.0
3.6544244,5.0,3.6666667
3.1425877,4.769941,3.6666667
1.9989803,3.9874876,3.0
3.0458515,4.878779,3.6666667
2.8037312,4.5987015,4.0
3.0207405,4.941047,4.0
1.9179932,4.201844,3.3333333
3.5288177,5.0,4.6666665
3.5826788,5.0,4.3333335
2.7275658,4.3798623,3.3333333
1.5937673,4.1292205,2.6666667
2.3265247,4.1395874,3.6666667
2.3835318,5.0,4.0
1.5801077,4.1785393,4.6666665
2.8184645,4.7094355,3.6666667
3.1580548,4.8742967,3.6666667
1.9060179,3.9712863,5.0
3.2239761,5.0,4.6666665
1.474601,4.81122,2.3333333
2.3596978,4.794463,3.6666667
2.4602628,5.0,3.3333333
2.1742997,5.0,3.6666667
1.0,5.0,1.0
2.9086726,4.5192804,4.0
2.784924,4.408801,3.6666667
2.6768725,4.4660964,3.3333333
3.7713032,5.0,3.6666667
3.0703285,4.9555173,3.0
1.131355,4.2835617,3.3333333
3.611774,5.0,4.3333335
1.8971956,4.0197744,3.3333333
2.8069062,5.0,4.3333335
2.5497324,4.7066574,3.3333333
1.1969204,4.325419,3.3333333
3.2252445,4.8515596,3.3333333
3.262928,5.0,3.6666667
1.0,4.590372,1.3333334
1.3581977,4.4589896,3.6666667
3.8951135,5.0,5.0
1.9690709,3.9183674,3.3333333
2.2121348,4.0041904,3.3333333
1.9527284,4.9083095,5.0
2.9823992,4.750868,3.6666667
2.99794,4.9549727,4.6666665
3.5000372,5.0,3.6666667
1.8003056,4.548559,3.3333333
1.8867228,4.2219086,2.6666667
1.0,4.9235725,2.0
2.180416,4.1355643,3.0
1.4688076,4.3737373,3.3333333
2.4559627,4.182755,4.0
2.8035185,4.673556,3.3333333
1.6856602,4.5046077,3.0
2.734303,4.3762383,4.3333335
3.0943685,5.0,4.0
3.5028937,5.0,3.6666667
3.2894142,5.0,4.3333335
1.7059461,4.052793,3.3333333
1.3441298,4.193367,1.6666666
3.2412112,4.9494276,4.3333335
3.574242,5.0,4.3333335
3.5434058,5.0,5.0
2.628007,4.35535,3.6666667
3.4155548,5.0,4.6666665
3.1337905,4.858874,4.3333335
3.0244756,4.7461905,4.6666665
1.46491,4.0682316,3.3333333
3.48282,5.0,4.6666665
2.4478793,4.3137364,3.6666667
2.2728996,4.153917,2.3333333
3.215347,4.8489947,4.0
3.2545648,4.939073,3.3333333
1.8762738,4.2150817,3.6666667
2.2882419,4.51544,3.3333333
3.4324405,5.0,4.3333335
1.9800547,4.937618,3.0
2.8959792,4.562454,4.3333335
1.0290838,4.310817,1.6666666
1.6455411,4.2604814,3.3333333
2.058025,4.8089952,3.0
2.469758,4.559974,3.3333333
3.7324657,5.0,3.6666667
1.5228059,4.021738,3.3333333
3.009685,4.6605425,3.3333333
2.6315107,4.3533263,3.3333333
2.8352265,4.4748783,3.3333333
1.0522636,5.0,3.0
2.1947315,4.092875,3.0
3.3285675,5.0,4.0
1.0,4.653047,1.6666666
2.0509036,3.8574073,3.6666667
3.0946507,5.0,3.6666667
3.3808389,5.0,3.6666667
2.6135845,4.4182544,4.3333335
2.3585625,4.959086,2.6666667
2.650449,5.0,4.0
2.941717,4.573471,3.3333333
3.5836873,5.0,4.0
2.5113559,4.7953215,4.0
2.0562973,4.592425,2.6666667
2.3159273,5.0,5.0
1.9543433,3.9354062,3.3333333
2.6380825,4.3990183,4.0
1.1881518,4.3560715,3.0
2.951006,4.6532025,3.3333333
2.2178984,4.044661,3.3333333
2.1225111,3.9543793,3.3333333
3.3597658,5.0,4.0
2.6944675,4.340066,3.6666667
3.296111,5.0,4.6666665
2.5974233,4.425353,3.3333333
2.8579473,4.677915,4.0
