low,up,y_test
1.0,4.190049,3.0
1.0,5.0,1.0
1.0,4.6005287,4.0
1.0346892,5.0,3.0
1.0,4.2014866,3.0
1.0103068,5.0,1.0
1.026632,4.188152,5.0
1.2217556,4.6935825,1.0
1.0,3.9438386,2.0
1.1497469,4.370022,5.0
1.0,4.0013723,3.0
1.0,4.2746496,3.0
1.0,4.156708,4.0
1.0082703,4.842087,2.0
1.0,4.2501545,1.0
1.0184371,3.9919374,5.0
1.0,5.0,1.0
1.0430088,4.36069,4.0
1.0,4.0392103,1.0
1.0,4.1275463,2.0
1.0466007,4.304838,3.0
1.0,4.00598,4.0
1.1014402,4.0356417,5.0
1.0,4.465287,1.0
1.0310917,4.8357983,3.0
1.0,4.814436,1.0
1.0,4.493845,1.0
1.0,4.5611954,1.0
1.0,4.018203,1.0
1.0,4.286951,5.0
1.101984,4.170633,5.0
1.0087762,4.046463,4.0
1.0115485,5.0,1.0
1.0,4.2211146,1.0
1.0314726,3.9952483,3.0
1.0,4.885378,1.0
1.123564,4.5240564,4.0
1.0478251,5.0,1.0
2.4413052,5.0,1.0
1.7392459,5.0,4.0
1.0626489,4.014197,5.0
1.0,4.9331207,3.0
1.0063471,4.710038,2.0
1.0223951,4.7097497,1.0
1.0259784,4.0001926,4.0
1.0,4.2617307,2.0
1.0,4.560771,1.0
1.0,4.2247725,1.0
1.5455124,5.0,4.0
1.0,4.374605,1.0
2.2100089,5.0,4.0
1.0,4.177996,1.0
1.0,4.328571,1.0
1.0,4.552849,1.0
2.08049,5.0,5.0
1.0077832,5.0,1.0
1.0055661,4.561788,2.0
1.0995936,4.382302,5.0
1.4317487,5.0,4.0
1.0,3.910141,4.0
1.0182415,4.0394964,5.0
1.1209236,4.0635376,5.0
1.1245164,4.4478865,5.0
1.088961,4.435374,3.0
1.1098198,4.11965,5.0
1.5533522,5.0,3.0
1.0,4.805789,1.0
1.0,3.9214563,5.0
1.0,4.390714,3.0
1.0,4.1277285,2.0
1.2930624,4.8679256,4.0
1.0,4.5526867,1.0
1.0685799,4.015807,1.0
1.0,4.297599,2.0
1.4571419,4.983311,2.0
1.0,4.068694,5.0
1.0,4.294322,4.0
1.0890766,4.4635835,1.0
1.0,4.298395,1.0
1.0070851,5.0,1.0
1.0072494,3.9053369,3.0
1.0419462,4.2557974,3.0
2.2381573,5.0,5.0
2.365132,5.0,3.0
1.0,4.0643134,4.0
1.0129205,3.976379,4.0
1.0877459,4.0089064,5.0
1.0342951,5.0,1.0
1.0,4.0285797,2.0
1.0081235,4.120092,5.0
1.0872666,4.0634193,1.0
1.0,4.089633,1.0
1.0,4.237328,1.0
1.0129485,5.0,1.0
1.0,4.0867586,3.0
1.0,3.9744477,3.0
1.0,4.2154484,1.0
1.0374656,4.0169644,5.0
