low,up,y_test
1.447271,4.752349,5.0
1.7332783,5.0,5.0
1.6168196,5.0,5.0
1.0,3.794187,1.0
1.6483421,5.0,5.0
1.0,3.2613354,2.0
1.0,3.6923325,2.0
1.0240412,5.0,5.0
1.4823825,5.0,5.0
1.6065004,5.0,5.0
1.635562,5.0,5.0
1.5792627,5.0,5.0
1.0,3.7106736,2.0
1.7666483,5.0,5.0
1.0,3.2909946,5.0
1.0421726,4.313098,2.0
1.0,3.1722188,5.0
1.5057923,4.904557,4.0
1.603688,5.0,5.0
1.7640955,5.0,5.0
1.0,5.0,5.0
1.0,4.6480274,1.0
1.6076398,5.0,4.0
1.5648446,5.0,4.0
1.606272,5.0,5.0
1.0,3.613672,2.0
1.6232297,5.0,5.0
1.0,4.377921,5.0
1.4612012,5.0,1.0
1.4187925,4.936551,5.0
1.0878425,5.0,5.0
1.6905055,5.0,5.0
1.0,3.5427866,2.0
1.0770985,3.3633666,1.0
1.0635804,3.337245,1.0
1.0,4.021392,5.0
1.0,3.6991549,1.0
1.3141625,4.1519976,1.0
1.0,3.3400533,2.0
1.0,4.9253597,2.0
1.610024,5.0,5.0
1.3049843,4.956481,1.0
1.0,4.3011875,2.0
1.0,3.2901733,1.0
1.4791317,5.0,1.0
1.0,3.5383282,1.0
1.204597,5.0,5.0
1.0,3.184946,5.0
1.4097054,5.0,5.0
1.0,3.7255466,2.0
1.6585412,5.0,5.0
1.0,3.7071862,1.0
1.6250753,5.0,5.0
1.5089493,5.0,5.0
1.4838192,5.0,5.0
1.0,3.2852683,5.0
1.0,3.623375,1.0
1.0,3.3755517,2.0
1.0772552,5.0,2.0
1.6008358,5.0,5.0
1.3324878,5.0,5.0
1.5489321,5.0,5.0
1.0,3.3212557,2.0
1.0,5.0,2.0
1.0,4.3226833,2.0
1.0,4.645941,5.0
1.0,3.2154155,5.0
1.0,4.7560463,5.0
1.4528129,5.0,2.0
1.0,4.076773,1.0
1.7136505,5.0,5.0
1.0347948,5.0,2.0
1.6735961,5.0,5.0
1.6040685,5.0,5.0
1.0,3.3093538,2.0
1.59635,5.0,2.0
1.0,4.2264714,2.0
1.0,3.5380194,1.0
1.0,3.2816057,2.0
1.173762,4.8005934,5.0
1.0,4.243303,1.0
1.5469224,5.0,5.0
1.0,3.2270243,1.0
1.64253,5.0,5.0
1.0,3.2991834,5.0
1.0,5.0,4.0
1.7002461,5.0,5.0
1.0,5.0,5.0
1.6420949,5.0,5.0
1.6893518,5.0,5.0
1.6823502,5.0,5.0
1.2526708,5.0,5.0
1.0,3.482936,1.0
1.0,5.0,2.0
1.724782,5.0,5.0
1.5132778,5.0,5.0
1.0,4.819667,2.0
1.6785469,5.0,5.0
1.0,4.17055,5.0
1.6153965,5.0,5.0
