low,up,y_test
1.0,4.9002147,3.0
1.0096465,3.465631,1.0
2.4020314,5.0,3.0
1.0,2.7369423,1.0
1.05288,5.0,3.0
1.0,4.198166,4.0
1.0,3.188519,1.0
1.0,4.1359243,3.0
1.0977261,5.0,3.0
1.0025268,5.0,1.0
1.2768342,5.0,4.0
1.2912639,5.0,2.0
1.1812665,5.0,2.0
1.0,5.0,4.0
1.0,2.9654326,1.0
1.0037332,4.865708,3.0
1.0885121,4.626886,1.0
1.1234009,5.0,5.0
1.2706848,5.0,3.0
1.0,3.3362117,1.0
1.0,2.8185656,4.0
1.0,3.414691,2.0
1.0,3.3172345,3.0
1.1475611,4.9923606,4.0
1.0,2.6082785,3.0
1.0946953,4.5073185,3.0
1.2342408,5.0,1.0
1.0,2.9267073,5.0
1.0,2.8213468,1.0
1.0025724,4.7298694,3.0
1.2942021,5.0,1.0
1.2732868,5.0,5.0
1.2629442,5.0,5.0
1.0,2.7080975,1.0
1.0056354,3.4243846,1.0
1.0,2.6515174,3.0
1.2323583,5.0,3.0
1.3009354,5.0,5.0
1.3055624,5.0,2.0
1.3148564,5.0,1.0
1.0,2.694169,2.0
1.2234136,5.0,4.0
1.1857733,5.0,4.0
1.254888,5.0,1.0
1.1995878,5.0,5.0
1.0,3.683519,1.0
1.1850469,5.0,3.0
1.0066115,4.84819,1.0
1.0,3.962905,1.0
1.0,3.3053384,3.0
1.3100145,5.0,1.0
1.2702594,5.0,2.0
1.0,4.2703257,3.0
1.0,4.18858,1.0
1.2717494,5.0,4.0
1.0619656,4.7974653,3.0
1.2181966,5.0,3.0
1.0,3.4244306,1.0
1.163641,5.0,5.0
1.0111414,3.743435,2.0
1.2469459,4.9967265,5.0
1.2995379,5.0,3.0
1.0,3.2672324,1.0
1.0,3.4110153,3.0
1.2839622,5.0,4.0
1.0,3.7937145,2.0
1.0,2.6973808,1.0
1.0,3.5884523,1.0
1.209966,5.0,1.0
1.1020067,5.0,5.0
1.0,4.8502645,4.0
1.0,4.321225,3.0
1.0,4.814864,1.0
1.0104223,4.7485056,3.0
1.3426809,5.0,4.0
1.0135796,4.813072,3.0
1.2908659,5.0,4.0
1.0,3.3767548,1.0
1.3109151,5.0,5.0
1.2918105,5.0,4.0
1.2787287,5.0,4.0
1.0,3.4573548,2.0
1.1792886,5.0,1.0
1.0,3.316988,1.0
1.0069958,3.5159178,1.0
1.0,3.5430608,1.0
1.0,4.6273584,1.0
1.0805664,5.0,1.0
1.0014584,3.4289315,1.0
1.0552043,3.8423495,1.0
1.0,3.1390626,1.0
1.0,3.2196622,1.0
1.0154666,4.6827936,5.0
1.2743735,5.0,4.0
1.0,3.2317495,1.0
1.2488115,5.0,4.0
1.2753605,5.0,5.0
1.0,3.1041183,3.0
