low,up,y_test
2.139381,5.0,5.0
1.0,3.3122678,2.0
1.0,3.2550554,1.0
2.1019683,5.0,3.0
2.2135754,5.0,3.0
2.1958275,5.0,5.0
2.214765,5.0,5.0
2.1887333,5.0,5.0
2.116126,5.0,4.0
2.0591412,5.0,5.0
2.161833,5.0,3.0
1.3364856,3.3016403,2.0
2.166072,5.0,4.0
2.147273,5.0,5.0
1.999227,5.0,5.0
2.162775,5.0,5.0
1.9758862,5.0,4.0
2.4075146,5.0,2.0
1.8998425,4.863926,4.0
2.3390484,5.0,1.0
2.181171,5.0,5.0
2.2223458,5.0,5.0
1.9740913,4.8212585,3.0
2.1688995,5.0,5.0
2.1580694,5.0,5.0
2.1561894,5.0,5.0
2.1247678,5.0,4.0
2.089086,5.0,3.0
1.6500745,3.7331219,3.0
2.3928356,5.0,5.0
2.166072,5.0,5.0
1.8417995,4.304615,1.0
2.1792836,5.0,2.0
2.1458683,5.0,5.0
2.1920433,5.0,5.0
2.1420994,5.0,4.0
2.1543102,5.0,5.0
2.0719962,4.9328604,3.0
1.0,2.3221016,1.0
2.3682113,5.0,3.0
1.0,3.2198067,3.0
2.1377516,5.0,5.0
2.1929893,5.0,4.0
2.0170696,5.0,4.0
2.1377523,5.0,5.0
2.2067137,5.0,5.0
1.9599273,4.2407894,2.0
1.0,3.210043,1.0
2.196301,5.0,5.0
1.0,3.073204,2.0
1.0,3.1317086,1.0
2.096797,5.0,5.0
2.1665437,5.0,5.0
2.1896784,5.0,5.0
2.124737,5.0,2.0
1.0,3.1675174,1.0
2.21139,5.0,1.0
2.420865,5.0,5.0
2.0110474,5.0,3.0
2.0002248,5.0,5.0
2.126699,5.0,2.0
1.9398086,4.6030645,5.0
2.1571295,5.0,5.0
2.1238067,5.0,5.0
2.0143514,5.0,3.0
2.1660724,5.0,3.0
2.1769214,5.0,5.0
2.1274652,5.0,3.0
2.0460305,5.0,2.0
2.156189,5.0,5.0
2.1679575,5.0,4.0
2.1792822,5.0,4.0
2.1263852,5.0,5.0
2.2226374,4.919219,5.0
2.1519623,5.0,5.0
1.9607091,5.0,3.0
1.7233614,3.91055,1.0
2.0910106,5.0,3.0
1.9163893,5.0,4.0
1.9301251,5.0,3.0
2.343701,5.0,3.0
1.6626734,3.7424488,5.0
2.1792817,5.0,4.0
2.2904704,5.0,1.0
2.1453648,5.0,4.0
2.167957,5.0,5.0
2.0391665,5.0,5.0
2.0892372,5.0,5.0
1.8938676,5.0,3.0
2.2432232,5.0,1.0
1.0,3.053258,2.0
1.0,3.4515421,1.0
1.9009641,5.0,5.0
1.0,2.6639752,1.0
1.8516946,4.061208,5.0
2.0939012,5.0,4.0
2.1802263,5.0,5.0
2.1684282,5.0,5.0
2.1759768,5.0,5.0
1.7877463,4.103231,3.0
2.177865,5.0,5.0
1.9545975,4.9534473,4.0
2.0104086,5.0,4.0
2.0831451,5.0,1.0
1.9304465,5.0,4.0
