low,up,y_test
2.062008,4.186949,3.0
2.0498588,4.244911,3.0
3.8545182,5.0,4.0
3.482934,5.0,5.0
1.4960171,2.0908303,1.0
2.6532538,5.0,5.0
1.5637548,2.0350926,3.0
4.0149884,5.0,5.0
3.3458855,5.0,5.0
2.6477692,5.0,5.0
3.530887,5.0,5.0
3.141629,5.0,5.0
3.0316732,5.0,5.0
3.1604474,5.0,5.0
2.6530404,5.0,5.0
2.4057086,4.772166,5.0
2.1732478,4.2307167,3.0
2.660979,5.0,5.0
3.092875,5.0,5.0
2.0429726,3.4178147,3.0
3.6458714,5.0,5.0
2.523453,4.8497505,3.0
3.0123653,5.0,4.0
2.6249993,5.0,4.0
3.0057342,5.0,5.0
2.746816,5.0,2.0
3.0157642,5.0,5.0
1.6055013,2.1196709,2.0
1.4789239,2.1717103,2.0
2.8419476,5.0,3.0
2.7209377,5.0,5.0
2.887681,5.0,4.0
2.084321,4.056495,4.0
2.5905385,5.0,3.0
3.4384742,5.0,5.0
2.256539,4.4220867,3.0
2.0706506,4.1245885,4.0
3.1526172,5.0,5.0
4.0615053,5.0,5.0
1.5559328,2.1879718,4.0
3.9948175,5.0,5.0
3.1795661,5.0,5.0
3.9975014,5.0,4.0
2.7075257,5.0,3.0
2.3661795,4.7083793,4.0
2.5219345,4.886079,5.0
1.5499686,2.2940028,3.0
2.949587,5.0,4.0
2.6671927,5.0,5.0
2.7821565,5.0,5.0
2.50924,4.8741403,3.0
2.665662,5.0,4.0
2.7718487,5.0,4.0
2.4603968,4.862467,4.0
2.648071,5.0,4.0
3.0484562,5.0,5.0
2.2543175,4.477511,3.0
3.9870975,5.0,5.0
1.9315801,4.1197886,4.0
2.4265418,4.897717,5.0
2.4793732,4.9359026,2.0
2.8801768,5.0,4.0
3.3378847,5.0,5.0
2.2104044,4.287824,3.0
2.4064133,3.763432,3.0
2.7343338,5.0,5.0
2.5315535,5.0,5.0
3.442172,5.0,5.0
3.4189825,5.0,5.0
2.7910306,5.0,5.0
2.5767481,4.900938,4.0
2.2082524,4.287825,4.0
4.018421,5.0,5.0
2.7247543,5.0,3.0
2.9716866,5.0,4.0
4.0145574,5.0,5.0
