low,up,y_test
1.7241178,5.0,5.0
1.7625577,5.0,5.0
1.8030307,5.0,5.0
1.0,3.9697769,2.0
1.8170702,5.0,5.0
1.8016268,5.0,2.0
1.0605649,4.161004,1.0
1.8325186,5.0,5.0
1.0158025,3.5781326,2.0
1.8128577,5.0,5.0
1.8620223,5.0,5.0
1.8072423,5.0,5.0
1.0296055,4.0126023,1.0
1.7904372,5.0,4.0
1.0735679,4.1857,2.0
1.0,3.7276192,2.0
1.8353277,5.0,5.0
1.0300728,2.9076734,2.0
1.8058383,5.0,5.0
1.8745993,5.0,5.0
1.5809312,4.6946077,5.0
1.6690499,5.0,5.0
1.0326877,4.038602,2.0
1.0710465,4.1885695,5.0
1.0008767,4.1602697,5.0
1.0,2.7719998,1.0
1.0004606,4.013701,5.0
1.0122815,2.7327304,1.0
1.0659649,3.1188562,1.0
1.8855784,5.0,5.0
1.0,3.0885787,2.0
1.8981439,5.0,5.0
1.6168835,4.922904,5.0
1.6690499,5.0,5.0
1.870454,5.0,5.0
1.6631705,5.0,5.0
1.3114278,4.9346333,5.0
1.8606168,5.0,1.0
1.7592058,5.0,5.0
1.091031,3.145081,2.0
1.0647794,4.1612277,2.0
1.0,2.9565482,1.0
1.8877448,5.0,5.0
1.7438549,5.0,2.0
1.1168171,3.4338546,1.0
1.0,2.847218,5.0
1.891644,5.0,5.0
1.7603232,5.0,5.0
1.6670895,5.0,5.0
1.0,4.264501,1.0
2.3504996,5.0,5.0
1.0,3.7440689,2.0
1.4063612,4.0747604,2.0
1.8465663,5.0,5.0
1.7340285,5.0,5.0
1.72609,5.0,5.0
1.1594464,4.5636125,1.0
1.0,4.3229327,1.0
1.0557795,4.0975842,1.0
1.8142618,5.0,5.0
1.7705612,5.0,2.0
1.5111053,5.0,5.0
1.732009,5.0,5.0
1.0,2.6400816,1.0
1.79882,5.0,5.0
1.7024454,5.0,5.0
1.0666504,4.1695733,1.0
1.7798349,5.0,5.0
1.0,4.1478596,2.0
1.7603228,5.0,4.0
1.8226875,5.0,5.0
1.6067225,4.5419693,2.0
1.8847117,5.0,5.0
1.7745351,5.0,5.0
1.1476121,3.7435446,1.0
2.2115464,5.0,2.0
1.0,3.3417428,2.0
1.6402383,4.8780384,5.0
1.8718599,5.0,5.0
1.7771845,5.0,5.0
1.8795134,5.0,5.0
2.717359,5.0,5.0
1.8773471,5.0,5.0
1.0,4.1299176,5.0
1.0609033,3.666815,1.0
1.8834122,5.0,5.0
1.3694788,4.7463474,2.0
1.0695982,3.1919775,2.0
1.7144928,4.957174,5.0
1.8479714,5.0,2.0
1.6985092,5.0,5.0
1.5631555,4.5078645,2.0
1.0396014,3.6211948,1.0
1.8058385,5.0,5.0
1.5417539,4.645555,1.0
1.7681462,5.0,5.0
1.0727744,4.1956606,1.0
1.808646,5.0,5.0
1.6766053,5.0,5.0
1.0,4.307132,2.0
