low,up,y_test
3.3138738,5.0,4.3333335
1.5270011,3.537721,3.0
1.496663,3.8881369,1.3333334
1.7816855,4.5440454,3.0
3.2078385,5.0,4.0
3.1568885,5.0,3.3333333
1.1956085,3.4655418,1.3333334
1.9940724,4.641792,2.6666667
1.598617,4.0646863,2.6666667
1.2683661,3.4067104,1.3333334
2.782195,5.0,2.6666667
2.9563174,5.0,5.0
2.1319366,4.6596594,3.3333333
2.7113335,4.9500685,3.0
1.6063949,4.3293843,2.0
4.133626,5.0,4.3333335
2.2098231,5.0,4.6666665
2.3649735,4.8064017,4.0
1.6506394,4.371218,2.6666667
1.6491836,4.327353,3.0
1.4636797,3.8390098,2.0
1.5770566,3.6831677,2.6666667
1.4014163,4.030436,1.0
1.7618817,4.6532164,2.6666667
1.6915692,4.4993505,3.3333333
1.2775539,3.8203397,1.3333334
1.731877,4.552705,2.6666667
1.1912143,2.940294,2.3333333
2.6286268,4.900112,3.6666667
1.6552496,4.276913,3.3333333
1.9064178,4.668573,3.0
2.6626725,4.940402,4.3333335
2.1022615,4.6430454,2.0
1.2242416,4.187288,3.3333333
2.8738365,4.987763,3.3333333
1.4250063,3.2036433,3.0
2.6432195,4.9170575,3.3333333
2.1279964,4.773939,4.6666665
1.4770435,3.812388,3.6666667
1.1162771,4.525827,4.6666665
1.1385729,2.9271567,3.3333333
3.0264983,5.0,5.0
3.4042048,4.9352546,4.0
3.2210383,4.9680133,5.0
2.1665196,4.679918,4.6666665
1.8728836,4.6455584,3.0
2.9144764,5.0,5.0
2.4157119,4.809746,4.3333335
1.6596631,4.1975574,2.6666667
2.2636516,4.736929,3.3333333
3.8921444,5.0,4.3333335
2.539466,4.7861514,4.6666665
1.5539036,3.5296278,2.3333333
1.3463937,3.4451914,2.6666667
1.561729,4.037266,3.6666667
2.381032,4.77998,4.6666665
3.8299456,5.0,4.3333335
3.1842713,5.0,4.6666665
1.5775995,3.77028,3.3333333
1.289495,3.4781785,1.6666666
1.9753025,4.668165,3.0
2.3498378,4.8634114,4.6666665
3.3963737,4.9669228,4.3333335
1.6109554,4.2032547,2.3333333
1.909505,4.6265163,4.3333335
1.1321906,4.354407,1.6666666
3.7408695,5.0,4.6666665
1.6440545,4.236455,3.3333333
2.1714497,4.8245983,4.3333335
2.3096359,4.778907,3.6666667
3.025498,5.0,4.3333335
2.744449,5.0,4.3333335
1.6865097,4.452753,3.6666667
2.1145937,4.682061,3.0
2.1005626,4.729385,3.6666667
1.0,4.5351663,1.0
2.3575635,4.787931,3.3333333
1.6057022,4.143243,3.6666667
1.3882732,3.5306196,3.0
2.1067433,4.718197,4.6666665
2.1520336,4.6941767,3.0
3.6595192,5.0,4.3333335
1.5595667,3.8961427,4.0
2.5098464,4.8890724,4.0
1.854934,4.662222,3.6666667
2.421514,5.0,4.3333335
1.7303771,4.5517516,1.6666666
2.6804595,5.0,2.0
1.7114818,4.5625944,2.3333333
1.8692832,4.6027174,5.0
1.1366884,3.6090307,1.3333334
2.5416908,4.8494186,4.3333335
1.6160218,4.208431,3.6666667
2.0005352,4.7036123,4.3333335
2.9047904,5.0,4.0
2.5935354,4.93871,5.0
2.5664032,4.8537025,4.3333335
1.6026342,3.8247721,2.0
1.273643,3.268003,4.0
1.8635224,4.5990367,2.3333333
2.7518835,4.9092855,5.0
1.8643864,4.6065917,2.3333333
3.0154705,5.0,4.6666665
1.7361796,4.5162373,3.0
1.6673607,4.4418707,1.6666666
1.6313051,4.129045,2.3333333
3.2210383,4.9680133,4.6666665
4.2585354,5.0,5.0
1.646626,4.152626,3.3333333
2.5427408,4.8058977,4.3333335
3.4856188,5.0,4.3333335
1.9755261,4.643343,2.3333333
3.0442133,5.0,4.6666665
2.2074723,4.6942697,2.6666667
1.6505967,4.1400366,2.3333333
1.8183042,4.529402,3.0
2.6036952,4.9410524,2.6666667
2.8727875,4.9904013,3.6666667
2.1247652,4.683634,4.0
1.9187663,4.6611853,3.3333333
1.6388032,4.2492743,1.6666666
1.6596941,4.3448243,1.6666666
3.463902,4.9822116,4.3333335
2.692901,4.923587,4.3333335
2.7586136,4.945154,5.0
1.6499115,4.1985555,2.3333333
3.2690215,5.0,4.3333335
2.8714733,5.0,3.0
3.6813602,5.0,4.0
1.7292348,4.578123,4.6666665
1.6402903,4.2533455,3.0
2.0746796,4.648528,3.0
1.7269067,4.601275,3.6666667
1.3605013,3.904069,1.3333334
