low,up,y_test
4.631629,5.0,5.0
4.4129176,5.0,5.0
2.2808402,5.0,5.0
4.4880567,5.0,5.0
4.6545286,5.0,5.0
4.620061,5.0,5.0
4.0351353,5.0,2.0
1.527647,4.981279,2.0
4.5194407,5.0,5.0
4.45723,5.0,5.0
2.0209599,4.9551544,5.0
4.577236,5.0,5.0
4.6623006,5.0,5.0
4.654522,5.0,5.0
3.6851964,5.0,5.0
4.5472364,5.0,4.3333335
1.3433709,4.7757936,5.0
4.5781007,5.0,5.0
4.610267,5.0,5.0
1.4860513,5.0,1.0
4.639758,5.0,5.0
4.5669184,5.0,5.0
3.0063388,5.0,5.0
4.6396074,5.0,5.0
3.7618523,5.0,4.3333335
4.6630936,5.0,5.0
4.4576917,5.0,2.0
4.647514,5.0,5.0
4.601276,5.0,5.0
4.5665774,5.0,5.0
3.9711099,5.0,4.6666665
4.602205,5.0,5.0
3.753828,5.0,5.0
4.611223,5.0,5.0
1.4007086,4.897478,1.3333334
4.4887404,5.0,5.0
4.653842,5.0,5.0
4.2370987,5.0,5.0
3.8636308,5.0,5.0
4.4952774,5.0,5.0
4.374349,5.0,5.0
3.9443145,5.0,5.0
4.6157384,5.0,5.0
4.6364727,5.0,5.0
1.3929904,4.8712463,2.0
2.1638978,5.0,4.3333335
1.3249699,4.7559237,2.0
4.561015,5.0,5.0
4.4211745,5.0,4.6666665
4.6151743,5.0,5.0
4.454545,5.0,5.0
4.6448164,5.0,5.0
1.3743325,5.0,1.0
4.4515076,5.0,4.6666665
4.56804,5.0,5.0
4.5684466,5.0,5.0
4.6530166,5.0,5.0
4.5831304,5.0,5.0
1.9749641,5.0,4.6666665
4.098386,5.0,5.0
4.504441,5.0,5.0
4.5864415,5.0,5.0
3.7046905,5.0,5.0
4.408003,5.0,5.0
2.3914437,4.949402,5.0
4.523733,5.0,5.0
4.614235,5.0,5.0
4.302637,5.0,5.0
1.3599044,4.7462626,5.0
1.8450623,5.0,5.0
4.6151485,5.0,5.0
3.9845653,5.0,5.0
2.3001566,4.9711475,5.0
4.5638843,5.0,5.0
4.557172,5.0,5.0
1.4382595,4.994326,4.6666665
4.586158,5.0,5.0
4.5580826,5.0,5.0
4.643883,5.0,5.0
4.654984,5.0,5.0
4.105792,5.0,5.0
4.6436615,5.0,5.0
3.7955203,5.0,5.0
4.658014,5.0,5.0
4.5867023,5.0,5.0
3.8497376,5.0,5.0
4.6161394,5.0,5.0
4.5099583,5.0,5.0
3.975409,5.0,5.0
4.2910004,5.0,5.0
3.95839,5.0,5.0
1.3834082,4.787262,2.6666667
4.4794374,5.0,5.0
1.5265331,4.960945,2.6666667
4.5429144,5.0,5.0
1.4326414,4.8584867,1.6666666
1.3482243,4.745136,5.0
1.920112,4.948386,2.3333333
4.23254,5.0,5.0
2.7087085,5.0,5.0
4.6770434,5.0,5.0
4.5449376,5.0,5.0
4.6424117,5.0,5.0
4.6601777,5.0,5.0
4.6841207,5.0,5.0
3.3061538,5.0,5.0
4.4043183,5.0,4.3333335
4.546217,5.0,5.0
4.6118407,5.0,5.0
4.0750184,5.0,5.0
4.5850663,5.0,5.0
2.0682235,5.0,5.0
4.629951,5.0,5.0
4.5963035,5.0,5.0
2.8115058,5.0,5.0
4.53921,5.0,5.0
2.0082805,5.0,5.0
3.7318916,5.0,5.0
4.5262394,5.0,5.0
4.559122,5.0,5.0
4.6576457,5.0,5.0
4.626037,5.0,5.0
4.3777328,5.0,2.3333333
4.602213,5.0,5.0
4.4983306,5.0,5.0
4.59929,5.0,4.6666665
4.674719,5.0,5.0
4.626593,5.0,5.0
4.4277062,5.0,5.0
4.6358757,5.0,5.0
1.3361143,4.9609895,1.3333334
4.5203104,5.0,5.0
4.624154,5.0,5.0
1.5274926,4.9295363,1.6666666
4.6514955,5.0,5.0
4.6725183,5.0,5.0
4.5592933,5.0,5.0
1.3827091,4.8133373,2.3333333
1.927531,5.0,5.0
4.5070815,5.0,5.0
4.4859815,5.0,5.0
4.653143,5.0,5.0
2.0079627,4.8895826,2.0
4.502927,5.0,4.6666665
1.7001736,5.0,1.6666666
4.5780396,5.0,5.0
4.649525,5.0,5.0
4.5467567,5.0,5.0
2.7007732,5.0,5.0
4.540573,5.0,5.0
1.2991214,4.76266,5.0
4.506202,5.0,4.6666665
1.3244412,4.7961597,1.3333334
4.62319,5.0,5.0
3.382431,5.0,5.0
4.5946355,5.0,5.0
4.5557566,5.0,4.6666665
2.6478503,5.0,5.0
4.571137,5.0,5.0
4.5894346,5.0,5.0
4.4828596,5.0,5.0
4.593148,5.0,5.0
1.9671912,5.0,5.0
4.494677,5.0,5.0
4.532486,5.0,5.0
4.58956,5.0,5.0
4.525803,5.0,5.0
4.57668,5.0,5.0
1.457523,4.85714,1.6666666
4.47351,5.0,5.0
3.222464,5.0,5.0
1.3905615,4.9279,1.6666666
4.5253325,5.0,5.0
4.6360755,5.0,5.0
4.5774913,5.0,5.0
3.5631495,5.0,4.6666665
4.5382295,5.0,5.0
4.5278583,5.0,5.0
1.3946847,4.861424,3.6666667
4.643899,5.0,5.0
4.5566273,5.0,5.0
3.242486,5.0,1.6666666
4.5177555,5.0,5.0
4.668529,5.0,5.0
4.598859,5.0,4.3333335
4.6047564,5.0,5.0
2.0764437,5.0,5.0
3.175073,5.0,4.6666665
4.64237,5.0,5.0
4.6406355,5.0,5.0
1.6347165,4.977504,2.0
4.5079584,5.0,5.0
4.6471944,5.0,5.0
4.610239,5.0,5.0
3.8195255,5.0,5.0
4.271869,5.0,5.0
4.645701,5.0,5.0
4.4184613,5.0,5.0
4.6425796,5.0,5.0
4.6239414,5.0,5.0
4.545971,5.0,5.0
4.6478653,5.0,5.0
4.5252314,5.0,5.0
4.625375,5.0,5.0
3.5768378,5.0,5.0
4.594011,5.0,5.0
4.564817,5.0,5.0
4.512113,5.0,5.0
4.4721737,5.0,4.3333335
4.471762,5.0,5.0
3.210167,5.0,5.0
4.4802613,5.0,5.0
1.8450623,5.0,5.0
4.580525,5.0,5.0
4.6364727,5.0,5.0
4.5206738,5.0,5.0
4.582436,5.0,5.0
4.644337,5.0,5.0
4.5926948,5.0,5.0
4.5777793,5.0,5.0
4.603734,5.0,5.0
4.482149,5.0,5.0
2.1541548,4.9255886,5.0
2.0920222,5.0,5.0
4.6138334,5.0,4.6666665
1.391877,4.8656516,1.6666666
1.972826,5.0,5.0
4.578765,5.0,5.0
4.5930433,5.0,5.0
4.528609,5.0,5.0
4.4678874,5.0,4.3333335
4.6258965,5.0,5.0
4.638928,5.0,5.0
4.618101,5.0,5.0
1.9609567,4.975828,5.0
4.6089826,5.0,5.0
3.5888445,5.0,5.0
1.4022682,4.8974123,4.3333335
4.5783606,5.0,5.0
1.82593,5.0,4.6666665
4.676517,5.0,5.0
4.565236,5.0,5.0
4.6414375,5.0,5.0
4.6280713,5.0,5.0
4.582408,5.0,5.0
2.0566275,5.0,4.6666665
4.467794,5.0,4.6666665
4.658382,5.0,5.0
3.8289037,5.0,5.0
4.561434,5.0,5.0
4.555615,5.0,5.0
3.5601702,5.0,4.6666665
4.556208,5.0,5.0
4.6327524,5.0,5.0
4.3926954,5.0,5.0
1.9638222,5.0,4.0
4.2543797,5.0,5.0
4.611597,5.0,4.3333335
4.637714,5.0,5.0
4.5667896,5.0,4.6666665
4.514286,5.0,5.0
4.405605,5.0,5.0
3.508571,5.0,5.0
2.0155318,4.879822,1.6666666
1.789222,5.0,1.6666666
4.660023,5.0,5.0
4.630225,5.0,5.0
2.3958173,4.9335,5.0
4.556578,5.0,5.0
4.6179676,5.0,5.0
4.6348677,5.0,5.0
1.3310643,4.7928715,2.6666667
4.621515,5.0,5.0
4.6680613,5.0,5.0
4.6640506,5.0,5.0
4.481518,5.0,5.0
4.641614,5.0,5.0
3.9003198,5.0,5.0
4.356641,5.0,4.6666665
3.79603,5.0,5.0
4.1278906,5.0,5.0
3.4992802,5.0,5.0
4.3767104,5.0,5.0
4.6239824,5.0,5.0
4.040549,5.0,4.3333335
4.6576743,5.0,5.0
4.5249624,5.0,5.0
4.58719,5.0,5.0
4.534305,5.0,5.0
4.612872,5.0,5.0
4.5487976,5.0,4.6666665
2.2923744,4.941515,4.3333335
4.629206,5.0,5.0
3.4290423,5.0,5.0
4.59351,5.0,5.0
3.7679625,5.0,4.3333335
3.5571668,5.0,5.0
1.5884115,5.0,2.3333333
1.3381978,4.757662,1.3333334
1.430327,5.0,1.6666666
4.6425176,5.0,5.0
1.8322117,4.9568977,5.0
4.594429,5.0,5.0
4.599517,5.0,5.0
4.592478,5.0,5.0
4.361478,5.0,5.0
4.538609,5.0,5.0
4.643283,5.0,5.0
