low,up,y_test
2.7623448,4.7212358,4.3333335
3.041514,4.861622,4.0
2.0390368,4.3744855,2.6666667
2.51103,4.6383896,4.3333335
3.450282,5.0,4.6666665
2.0644984,4.408704,4.3333335
2.556444,4.663349,3.3333333
3.1312647,4.900532,4.3333335
2.6857886,4.7276306,4.3333335
2.9652774,4.910018,5.0
2.001234,4.368972,4.3333335
3.2951155,5.0,4.3333335
3.3810203,5.0,4.0
3.1465063,4.849873,4.3333335
2.9897785,4.9865103,3.6666667
3.1073983,4.9814453,4.3333335
3.3894129,5.0,5.0
3.4718606,5.0,4.3333335
2.105495,4.4264803,3.0
1.7634273,4.2296233,2.3333333
2.8124745,4.7803373,4.0
2.0608974,4.3626585,3.0
2.0684118,4.3552303,3.6666667
1.9527894,4.3781815,3.3333333
3.1470237,4.9903626,2.6666667
3.26859,4.9846973,3.3333333
3.2028642,4.99544,4.3333335
2.9672036,4.7920413,3.3333333
3.0670981,4.9195056,4.3333335
2.3559155,4.636239,4.3333335
2.0207143,4.3263564,4.3333335
2.5986946,4.7495737,4.0
2.8826892,4.774836,4.0
1.9856852,4.3539004,3.3333333
3.3057394,4.918955,5.0
2.8219326,4.811908,3.0
2.5924265,4.760683,3.3333333
3.2148035,4.9640217,3.6666667
1.4738585,3.9393349,3.3333333
2.9620757,4.8920345,4.0
2.958764,4.8158245,3.6666667
3.3181815,5.0,4.0
2.2596147,4.5413113,4.0
3.0880027,4.849236,4.0
3.5840132,5.0,4.6666665
2.491199,4.6702256,2.6666667
3.2550159,4.9651914,4.3333335
3.2135324,4.886791,4.6666665
3.7064755,5.0,4.3333335
2.8615382,4.8164997,5.0
3.311992,5.0,3.3333333
3.1412752,4.979564,4.3333335
3.1497228,4.9044538,4.0
2.9683418,4.7851267,4.6666665
2.011561,4.3402476,4.0
2.789969,4.7673173,3.6666667
2.7655337,4.7702904,4.6666665
3.095307,4.848423,3.3333333
2.6846886,4.787753,4.0
3.4539683,5.0,3.3333333
1.9000877,4.3823237,3.3333333
3.5528364,5.0,3.0
2.0113363,4.3403625,3.3333333
1.9709944,4.3945355,2.6666667
2.6095586,4.7176547,2.6666667
3.280975,5.0,3.6666667
2.1340039,4.42844,3.0
2.5938902,4.7125235,3.3333333
3.1008232,4.828337,4.6666665
2.815816,4.826213,3.6666667
3.6313157,5.0,4.6666665
2.0864718,4.3822403,3.3333333
2.8329406,4.780552,4.0
2.9278855,4.842566,4.0
3.385781,5.0,4.3333335
3.0885615,4.822141,4.3333335
1.3287735,3.8807888,3.6666667
2.532003,4.6976523,1.6666666
2.8256288,4.8457494,3.6666667
2.9638944,4.935677,3.0
3.4094393,5.0,3.3333333
2.4439864,4.65109,3.0
1.4118733,3.9088492,2.0
1.8711213,4.3511972,2.6666667
3.171419,4.925611,4.3333335
3.263877,5.0,3.6666667
2.4088516,4.700487,3.0
2.8100746,4.792488,4.6666665
2.8450863,4.748841,3.6666667
1.9533806,4.374242,2.6666667
2.6824489,4.7171407,4.0
2.9947114,4.8906193,4.0
1.5418334,4.0715675,2.6666667
2.9154055,4.778419,4.3333335
3.7860088,5.0,4.0
2.5579991,4.718437,4.3333335
3.240956,4.918311,5.0
2.5722508,4.7519355,3.3333333
3.3216484,5.0,4.6666665
2.6438022,4.7032695,3.6666667
2.5024908,4.7008133,4.0
2.777842,4.827259,3.6666667
1.9664848,4.3670464,2.3333333
3.256568,4.959656,4.0
2.9154358,4.791252,4.3333335
2.7508192,4.763357,2.3333333
2.6844606,4.9212055,4.0
3.3206658,4.984676,4.6666665
3.5045152,5.0,4.6666665
3.1256292,4.9138594,5.0
3.726012,4.9812794,5.0
2.0868967,4.3826733,2.3333333
2.5442505,4.6530743,4.6666665
2.3018446,4.590388,4.0
1.9792476,4.3507237,3.6666667
2.8156161,4.818249,3.6666667
2.3993936,4.6239285,4.0
1.2264163,3.8954165,3.3333333
2.8753085,4.740977,3.6666667
2.5240257,4.712329,4.0
3.5532782,5.0,4.6666665
3.352582,4.9687233,4.0
2.7533233,4.7464113,3.6666667
2.7094443,4.7181034,4.0
2.3329,4.66349,4.3333335
2.7149649,4.755932,4.3333335
3.2666514,5.0,5.0
3.2707796,4.9314547,4.0
3.6342869,5.0,4.6666665
3.288297,5.0,4.6666665
3.5715833,5.0,4.0
3.483307,5.0,4.6666665
1.7492293,4.226414,3.3333333
2.8264914,4.7712946,4.3333335
2.0760627,4.37713,2.3333333
2.475668,4.6871467,2.3333333
3.3141139,5.0,3.6666667
3.6322322,5.0,4.0
3.118015,4.92859,5.0
3.7102833,5.0,4.3333335
1.9162903,4.3902025,2.3333333
3.6280515,5.0,4.0
3.607878,5.0,5.0
3.7527504,4.993924,4.3333335
3.037329,4.875936,4.3333335
3.0822582,4.916351,4.0
2.813706,4.8445516,3.6666667
3.453958,5.0,4.6666665
2.4681122,4.7794476,4.3333335
2.7700608,4.73608,2.6666667
2.69415,4.682437,3.6666667
3.0531187,4.907256,4.3333335
2.9254928,4.96528,4.0
2.1871977,4.487995,3.6666667
3.1846602,4.906625,4.3333335
2.6378987,4.7445164,2.6666667
2.521526,4.6720934,2.3333333
1.5696585,4.0276184,2.0
3.1247523,4.880095,4.6666665
3.4800346,5.0,5.0
3.0748541,4.8543043,3.6666667
1.8536655,4.361332,4.3333335
2.0527287,4.346434,3.6666667
3.1675322,4.988383,4.6666665
2.2779617,4.5728374,3.6666667
2.6421466,4.7535195,3.3333333
3.4191937,5.0,4.6666665
2.8683472,4.8295145,3.3333333
2.6144185,4.83429,4.0
3.5840132,5.0,4.3333335
2.3964162,4.6997547,5.0
2.5940247,4.7190228,4.6666665
2.6631646,4.730348,3.6666667
3.2687364,5.0,5.0
2.6953912,4.713687,3.3333333
3.3990014,5.0,5.0
2.1034799,4.448044,4.3333335
2.759866,4.8023815,4.6666665
2.020931,4.37941,4.0
2.2546928,4.558817,3.0
2.9875836,4.9581075,4.0
3.3657315,5.0,3.6666667
2.8347805,4.748314,3.0
3.2223678,4.994107,4.3333335
2.5986147,4.741311,3.3333333
2.686705,4.7175446,4.0
2.8266912,4.8289742,4.0
3.2891119,5.0,3.6666667
1.1010149,3.7687252,1.6666666
3.2775807,4.9580426,3.6666667
1.9967239,4.3274355,1.6666666
2.8971272,4.868559,4.6666665
2.8799994,4.872603,4.6666665
2.8695626,4.918174,4.0
2.520471,4.7052526,3.0
3.4394932,5.0,4.0
3.0738282,4.8642197,3.6666667
2.0648663,4.4061575,4.6666665
3.6110182,5.0,4.6666665
3.0970533,4.903387,4.3333335
3.621664,5.0,4.6666665
2.433649,4.668538,3.3333333
2.7217774,4.753284,3.3333333
2.374704,4.6597657,2.6666667
2.327142,4.64886,3.6666667
3.3159032,4.987327,4.3333335
3.4059453,5.0,4.3333335
1.4133574,3.8983717,3.0
2.518664,4.74129,4.0
2.1033688,4.4066257,3.6666667
2.4117093,4.6944394,3.0
1.9724889,4.3580365,2.3333333
3.498587,5.0,5.0
3.1042454,4.9819846,4.3333335
2.2808557,4.56061,3.0
3.5132031,5.0,4.0
3.702002,5.0,4.6666665
3.0140357,4.789779,4.0
3.2105808,4.9661818,4.6666665
3.113273,4.926154,2.6666667
3.7251914,5.0,4.6666665
3.1032202,4.9160714,4.6666665
3.271408,5.0,4.0
2.823668,4.774593,3.6666667
1.2520026,3.9244509,2.3333333
2.6357915,4.725774,3.6666667
3.2830858,4.9732513,4.3333335
3.1694736,4.930333,4.0
2.4547396,4.686839,3.6666667
2.349207,4.6255403,4.6666665
3.231413,4.940773,4.0
3.1554952,5.0,5.0
2.2647219,4.614366,4.0
3.3096967,5.0,4.0
3.2345884,4.963582,4.0
3.4194493,5.0,4.6666665
