low,up,y_test
1.0,4.000026561398888,1.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.000026561398888,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.533969978655692,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398888,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.708565763180983,5.0
1.0,4.000026561398888,5.0
1.0,4.000026561398888,4.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,4.000026561398888,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.000026561398888,2.0
1.0,4.000026561398888,2.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398888,3.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,4.000026561398888,4.0
1.0,4.000026561398888,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.000026561398888,1.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.000026561398888,2.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.545132307876189,5.0
1.0,5.0,3.0
1.0,4.000026561398888,3.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,4.000026561398888,1.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,4.000026561398888,3.0
1.0,5.0,4.0
1.0,4.000026561398888,3.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,4.000026561398888,1.0
1.0,5.0,5.0
1.0,4.000026561398888,4.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,4.000026561398888,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398888,5.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398888,1.0
1.0,4.000026561398888,2.0
1.0,4.000026561398888,3.0
1.0,4.000026561398888,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398888,5.0
1.0,4.533969978655692,2.0
