low,up,y_test
1.0,3.999973438601112,2.0
1.0,3.0,1.0
1.0,3.0,5.0
1.0,3.0,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,3.0,2.0
1.0,3.0,2.0
1.0,3.0,2.0
1.0,3.0,1.0
1.0,3.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.999973438601112,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,3.0,5.0
1.0,3.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,3.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,3.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,3.0,2.0
1.0,5.0,5.0
1.0,3.0,1.0
1.0,5.0,5.0
1.0,3.999973438601112,5.0
1.0,3.999973438601112,5.0
1.0,3.999973438601112,2.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.999973438601112,1.0
1.0,5.0,5.0
1.0,3.999973438601112,1.0
1.0,3.0,2.0
1.0,3.0,2.0
1.0,5.0,5.0
1.0,3.0,1.0
1.0,5.0,5.0
1.0,3.0,1.0
1.0,5.0,5.0
1.0,3.0,2.0
1.0,5.0,5.0
1.0,3.999973438601112,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.0,2.0
1.0,3.999973438601112,2.0
1.0,5.0,5.0
1.0,3.0,2.0
1.0,5.0,2.0
1.0,3.0,2.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.999973438601112,1.0
1.0,3.0,2.0
1.0,3.999973438601112,2.0
1.0,3.999973438601112,2.0
1.0,3.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.0,1.0
1.0,5.0,5.0
1.0,3.999973438601112,1.0
1.0,3.0,2.0
1.0,5.0,5.0
1.0,3.999973438601112,2.0
1.0,3.999973438601112,1.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,2.0
1.0,3.999973438601112,1.0
1.0,5.0,5.0
1.0,3.999973438601112,1.0
1.0,5.0,5.0
1.0,3.0,2.0
1.0,5.0,5.0
