low,up,y_test
1.0,3.7768309116363525,5.0
1.0,3.827455520629883,3.0
3.0938172340393066,5.0,4.0
1.0,3.4286094903945923,1.0
1.0,4.42614471912384,3.0
1.0,4.319676518440247,4.0
1.0,3.4532822370529175,1.0
1.0,4.618053078651428,3.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,3.8122247457504272,1.0
1.0,3.41970956325531,1.0
1.0,3.8253337144851685,1.0
1.305825114250183,5.0,5.0
1.0,4.414072155952454,2.0
1.0,4.865819931030273,1.0
1.3695111274719238,5.0,5.0
1.0,3.516329050064087,2.0
2.255464792251587,5.0,4.0
1.0,3.588544011116028,1.0
1.0,4.149924159049988,3.0
2.8405563831329346,5.0,4.0
1.0,3.722236156463623,1.0
2.4869823455810547,5.0,3.0
1.8478050231933594,5.0,5.0
1.0,2.3612991273403168,1.0
1.0,3.9499306678771973,2.0
1.0,3.6430130004882812,3.0
1.0,3.6346800327301025,1.0
1.0,4.241531729698181,3.0
1.4141995906829834,5.0,4.0
1.0,5.0,1.0
1.0,3.72697377204895,1.0
1.0,3.9092745780944824,1.0
1.0,4.4656959772109985,1.0
1.0,4.912373304367065,3.0
1.0,4.102851986885071,3.0
1.0,3.935593366622925,1.0
1.0,5.0,1.0
1.2135539054870605,4.759732723236084,3.0
2.4521093368530273,5.0,5.0
1.0,3.864269495010376,1.0
1.0,3.8337137699127197,1.0
1.0,3.8364263772964478,1.0
1.0,3.439832925796509,4.0
1.0,4.035017490386963,5.0
1.0,5.0,3.0
1.0,3.9342615604400635,3.0
1.0,3.214981436729431,3.0
1.0,2.8776018619537354,1.0
1.0,5.0,4.0
1.0,3.848745584487915,2.0
1.0,5.0,5.0
1.0,4.236853241920471,3.0
1.5875418186187744,5.0,4.0
1.0,4.906023025512695,1.0
1.0,4.4193490743637085,5.0
1.0,5.0,1.0
1.0,4.035773515701294,4.0
1.0431036949157715,5.0,4.0
1.0,4.349363207817078,3.0
1.0,4.769463658332825,5.0
1.0,4.077505826950073,1.0
1.0,4.7126946449279785,3.0
1.0,5.0,3.0
1.7591254711151123,5.0,3.0
1.0,4.382275938987732,4.0
1.1248420476913452,5.0,3.0
1.0,5.0,1.0
1.0,3.7162246704101562,2.0
1.0,5.0,1.0
2.6220366954803467,5.0,1.0
1.0,4.337890863418579,2.0
1.0,2.948427975177765,1.0
1.0,3.3510454893112183,3.0
1.0676251649856567,5.0,4.0
1.0,3.5093120336532593,1.0
1.0,3.591491460800171,3.0
1.0,4.276797294616699,1.0
1.0752243995666504,5.0,5.0
2.465505838394165,5.0,5.0
1.0,3.8675339221954346,1.0
1.0,4.72086226940155,3.0
2.8845291137695312,5.0,1.0
1.0,3.525001049041748,1.0
1.0,3.6478984355926514,1.0
1.0,4.0491005182266235,1.0
1.0,2.9809776544570923,4.0
1.0,4.009410619735718,4.0
1.0,3.244517683982849,1.0
1.0,5.0,5.0
1.0,4.009913802146912,2.0
1.0,3.2332587242126465,2.0
2.031996965408325,5.0,1.0
1.0,4.702760338783264,3.0
1.1797717809677124,5.0,5.0
1.6255974769592285,5.0,5.0
1.05913245677948,5.0,4.0
