low,up,y_test
1.0,4.885414123535156,2.0
1.0,4.728328466415405,1.0
1.0,4.432042837142944,5.0
1.9552984237670898,5.0,1.0
2.8529491424560547,5.0,5.0
2.908205509185791,5.0,4.0
2.148143768310547,5.0,2.0
1.6423149108886719,5.0,2.0
1.0,4.379615545272827,2.0
1.0,4.723134756088257,2.0
1.0,5.0,1.0
1.0,4.507479667663574,2.0
1.8093066215515137,5.0,5.0
2.663785457611084,5.0,5.0
1.7956042289733887,5.0,5.0
1.0,3.9841792583465576,5.0
2.140315532684326,5.0,4.0
2.302985191345215,5.0,5.0
1.0,3.034912943840027,5.0
1.0,4.801631450653076,1.0
2.0454063415527344,5.0,5.0
2.2799301147460938,5.0,5.0
1.977396011352539,5.0,2.0
1.9029159545898438,5.0,5.0
2.2675442695617676,5.0,5.0
2.0313687324523926,5.0,2.0
1.0,4.419670343399048,1.0
2.2249741554260254,5.0,5.0
2.4098706245422363,5.0,5.0
1.0,3.372236967086792,2.0
1.0,5.0,5.0
2.3876752853393555,5.0,2.0
1.0,5.0,5.0
1.8358170986175537,5.0,2.0
2.1121768951416016,5.0,5.0
1.0,3.8274370431900024,1.0
1.0,4.3554770946502686,5.0
1.0,3.7944421768188477,5.0
1.0,4.104357481002808,5.0
1.0,3.467623233795166,2.0
1.0,4.439470052719116,2.0
1.676849365234375,5.0,5.0
2.207921028137207,5.0,5.0
1.8867263793945312,5.0,2.0
2.5909128189086914,5.0,2.0
1.9810490608215332,5.0,5.0
2.142756462097168,5.0,5.0
1.0,4.785150527954102,1.0
2.7490854263305664,5.0,5.0
1.0,5.0,1.0
2.250418186187744,5.0,2.0
1.0,5.0,2.0
2.029353380203247,5.0,5.0
1.0,2.8872698545455933,1.0
2.2740044593811035,5.0,5.0
1.0,4.299727201461792,1.0
1.9585847854614258,5.0,5.0
1.0,2.9279359579086304,2.0
1.9784040451049805,5.0,5.0
1.0,5.0,2.0
1.9545106887817383,5.0,5.0
2.26021671295166,5.0,5.0
1.0,4.8354151248931885,2.0
1.0,4.518570423126221,2.0
2.3822250366210938,5.0,5.0
1.0,4.693211317062378,2.0
1.0,4.262763738632202,2.0
1.8820009231567383,5.0,2.0
2.058422088623047,5.0,1.0
2.565032958984375,5.0,5.0
2.188999652862549,5.0,5.0
1.0,3.431520700454712,1.0
2.009549140930176,5.0,2.0
2.184187889099121,5.0,2.0
1.0,5.0,2.0
1.0,5.0,2.0
2.262521743774414,5.0,5.0
2.086653232574463,5.0,5.0
1.0,2.7797945737838745,1.0
2.099045753479004,5.0,5.0
2.781874179840088,5.0,5.0
2.796722888946533,5.0,5.0
2.114372730255127,5.0,5.0
2.112518310546875,5.0,5.0
1.0,3.8065550327301025,1.0
2.2943005561828613,5.0,5.0
1.0,5.0,1.0
2.8317503929138184,5.0,2.0
2.259674072265625,5.0,5.0
1.0,4.719310998916626,2.0
1.8630478382110596,5.0,1.0
2.069303512573242,5.0,1.0
1.0,5.0,2.0
2.082298755645752,5.0,2.0
2.0709729194641113,5.0,1.0
2.6531596183776855,5.0,5.0
1.0,5.0,1.0
1.1149160861968994,5.0,5.0
1.0,3.1042959690093994,2.0
2.2097411155700684,5.0,5.0
