low,up,y_test
1.0,5.0,4.0
1.0,5.0,3.0
1.847703218460083,4.923626661300659,4.0
1.0,5.0,5.0
1.0,5.0,4.0
2.4785315990448,5.0,5.0
1.0,5.0,2.0
2.6855907440185547,5.0,3.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,3.0
3.0048131942749023,5.0,5.0
3.8239049911499023,5.0,5.0
3.6148061752319336,5.0,5.0
3.9299774169921875,5.0,5.0
3.678678035736084,5.0,5.0
2.369662284851074,5.0,3.0
1.0,5.0,4.0
3.151662826538086,5.0,5.0
1.0,5.0,5.0
3.333700180053711,5.0,4.0
3.591860294342041,5.0,5.0
3.3183417320251465,5.0,4.0
3.2033615112304688,5.0,5.0
3.520747661590576,5.0,5.0
3.523710250854492,5.0,5.0
2.4964711666107178,5.0,5.0
1.0,5.0,3.0
3.2728095054626465,5.0,2.0
3.3754053115844727,5.0,4.0
3.055983543395996,5.0,5.0
1.0,5.0,3.0
3.3956809043884277,5.0,5.0
2.530261278152466,5.0,5.0
1.0,5.0,4.0
1.0,5.0,4.0
3.0454459190368652,5.0,4.0
3.1840686798095703,5.0,4.0
1.0,5.0,4.0
1.0,5.0,3.0
1.0,5.0,4.0
2.1942925453186035,5.0,5.0
3.823206901550293,5.0,5.0
3.654139518737793,5.0,5.0
3.4787096977233887,5.0,4.0
3.1380515098571777,5.0,4.0
2.023756742477417,5.0,4.0
3.0491628646850586,5.0,2.0
3.2986764907836914,5.0,5.0
1.0,5.0,4.0
3.4587745666503906,5.0,5.0
3.221508026123047,5.0,5.0
3.853327751159668,5.0,5.0
3.72808837890625,5.0,5.0
1.0,5.0,4.0
1.0,5.0,2.0
3.4017205238342285,5.0,3.0
3.5394129753112793,5.0,5.0
2.128314971923828,5.0,4.0
3.6434197425842285,5.0,5.0
3.594463348388672,5.0,5.0
3.156710624694824,5.0,4.0
3.5510854721069336,5.0,5.0
3.146763801574707,5.0,5.0
1.921968936920166,4.997892379760742,4.0
2.4100210666656494,5.0,5.0
3.7333998680114746,5.0,5.0
3.244272232055664,5.0,5.0
3.717648506164551,5.0,5.0
1.0,5.0,3.0
3.217827320098877,5.0,4.0
3.657930850982666,5.0,5.0
1.0,5.0,2.0
3.3700199127197266,4.994847297668457,5.0
3.15667724609375,5.0,5.0
3.7581305503845215,5.0,5.0
