low,up,y_test
3.9907198,5.0,4.6666665
3.6873848,4.83045,4.0
3.637991,4.778642,4.6666665
3.4005065,4.798162,4.3333335
1.3837223,3.2836227,2.3333333
4.0786533,5.0,5.0
4.003114,5.0,4.6666665
4.1093116,4.869313,4.3333335
3.781646,4.8670244,4.3333335
2.9829948,4.9141603,2.6666667
2.5056846,4.6201253,3.0
3.6390178,4.715101,4.3333335
3.274381,4.6717443,4.0
3.8416257,4.746566,4.6666665
2.3503811,4.5992217,3.6666667
3.957088,5.0,4.6666665
3.6927574,4.9120417,4.0
2.6024663,4.2335663,3.0
3.7607768,4.9092517,4.6666665
3.414279,4.781308,4.6666665
3.8173237,4.864336,4.6666665
3.928838,4.850553,4.3333335
3.9363317,5.0,4.6666665
3.7713666,4.8318667,4.0
4.0135403,5.0,4.3333335
3.5737255,4.8185616,4.0
3.6352153,4.7858076,4.6666665
3.4438434,4.96118,4.6666665
3.7682636,4.839592,4.3333335
3.981197,4.844823,4.6666665
1.8197017,3.7896519,3.0
3.5548618,4.729615,4.0
2.872915,4.1454563,3.6666667
2.3855014,4.544069,4.6666665
3.4696798,4.71184,4.3333335
2.7420318,4.4669356,3.6666667
3.8333127,4.867984,4.6666665
4.024499,5.0,5.0
3.8312683,4.941894,4.3333335
2.8223767,4.150979,2.3333333
3.299215,4.8466454,4.6666665
3.9033601,5.0,5.0
3.243983,4.8669643,4.0
3.9815931,4.879078,4.3333335
2.6831148,4.46416,3.0
3.5797317,4.723271,4.3333335
2.828311,4.680695,2.6666667
2.6647816,4.619579,4.3333335
3.5513554,4.7514634,4.6666665
2.10268,4.160161,2.3333333
3.673395,5.0,4.6666665
3.8306658,4.7974057,4.0
3.616613,4.8478746,4.3333335
3.595936,4.8808885,5.0
2.7583115,4.8110147,3.3333333
2.580708,4.4056997,3.3333333
2.5786214,4.7915106,3.3333333
3.724494,4.970963,4.6666665
4.092051,4.8781896,4.3333335
3.7384663,4.76884,4.0
4.184052,4.878632,4.3333335
3.9104006,5.0,4.6666665
2.2893362,4.485459,3.0
3.525229,4.6330204,4.0
2.3550556,4.605018,4.0
4.0350423,5.0,4.0
3.318523,4.6504474,4.6666665
2.7462533,4.3042035,4.6666665
3.685971,4.8411026,4.0
3.9207628,5.0,4.6666665
2.3597682,4.0957446,4.3333335
3.4670875,4.6935225,4.6666665
3.9537504,4.857595,3.6666667
2.4980104,4.499075,4.6666665
2.4026022,4.07577,2.6666667
2.7977057,4.632504,3.6666667
3.9443908,5.0,5.0
3.455326,4.7298565,3.3333333
3.8810809,4.9699755,4.6666665
4.2962065,4.98804,4.6666665
2.0452251,4.1253176,2.3333333
3.7329292,4.8239865,4.3333335
3.9608445,4.902932,4.6666665
3.9019816,4.76528,4.6666665
2.650461,4.304021,3.0
3.5737255,4.8185616,4.0
3.7222261,4.8131294,4.3333335
3.5842476,4.9196954,4.6666665
3.8536403,4.9854984,4.0
3.5622616,4.9003415,4.0
3.809001,4.792738,3.0
3.480406,4.6778975,4.3333335
3.9294617,4.7630754,4.3333335
3.8664978,4.711143,4.6666665
3.9845731,4.8990326,4.6666665
2.2955186,4.23332,2.6666667
3.4312458,4.913328,5.0
3.9263709,5.0,4.0
3.8749137,4.9588804,4.6666665
3.829533,4.933053,4.3333335
2.3017788,4.27625,2.3333333
3.683001,4.817919,4.6666665
2.8493066,4.797578,5.0
3.7494297,4.986554,4.6666665
3.895368,4.952744,4.6666665
4.113754,5.0,4.6666665
2.1537795,4.4242907,3.6666667
3.3667865,4.732179,4.3333335
3.5711548,4.7875175,4.6666665
3.9583428,4.9199724,5.0
3.9406526,4.978539,4.6666665
3.5173867,4.83565,4.0
3.9790788,5.0,4.3333335
3.3156264,4.5061827,4.0
4.0254526,4.8123536,4.3333335
2.0769088,4.2608285,2.6666667
3.8469605,4.9596496,4.6666665
3.7666306,4.8330283,3.6666667
3.322299,4.927851,3.6666667
3.812871,4.8678155,4.3333335
3.4936917,4.826432,4.3333335
3.9286175,5.0,4.3333335
3.8327222,4.8710084,4.0
3.915114,5.0,4.6666665
3.6921284,4.7924333,4.3333335
3.9272516,4.841065,4.3333335
3.3163738,4.7843947,4.3333335
2.6354418,4.821043,3.6666667
3.8714614,4.97997,4.6666665
2.5463455,4.625789,4.3333335
3.8234332,4.9249687,4.6666665
3.7588863,4.805919,4.3333335
4.092051,4.8781896,4.3333335
2.9706264,4.484819,3.0
3.9680603,5.0,4.0
2.8089483,4.72363,3.6666667
2.1539378,4.186508,2.6666667
2.604003,4.2387166,3.0
3.3926518,4.776716,4.3333335
2.7067616,4.6491723,4.0
4.0134144,5.0,4.3333335
3.7516742,4.7356753,3.6666667
1.9337821,3.7400346,3.3333333
2.8493066,4.797578,4.6666665
3.509322,4.685271,4.0
3.6280234,4.762077,4.6666665
3.4624357,4.7442455,4.0
2.63812,4.6817245,4.3333335
3.4109936,4.7947674,3.3333333
3.0791087,4.7892504,3.6666667
3.9227257,4.7814817,4.0
3.3477561,4.8499856,3.6666667
2.260585,4.5343766,3.6666667
3.7743738,4.9243937,4.6666665
3.2609081,4.718571,4.3333335
3.4261186,4.6796613,4.6666665
3.514963,4.8716507,4.6666665
3.63497,4.7809143,4.6666665
3.4254901,4.9708233,4.0
3.176128,4.6501927,4.0
3.5173867,4.83565,4.0
3.0675035,4.4050813,4.0
3.4352405,4.7447734,4.6666665
2.2093987,4.531514,4.0
3.8718557,4.7759695,4.0
3.1744795,4.918864,3.6666667
3.8546963,4.8622255,4.3333335
4.2288623,4.9373245,4.6666665
4.0995107,4.9308486,4.3333335
3.7018147,4.823107,4.3333335
2.636485,4.5598674,4.3333335
2.7364793,4.728886,4.6666665
3.407295,4.9719415,5.0
3.8710866,4.9856224,4.6666665
4.001863,5.0,5.0
2.308693,4.099767,2.6666667
3.885133,4.842572,4.6666665
3.4560273,4.737029,3.3333333
3.4021442,4.7611217,3.6666667
3.873513,4.797261,4.0
2.8662586,4.6402407,3.0
2.5608935,4.5509706,4.3333335
2.14013,4.446325,2.6666667
2.6480265,4.641279,3.3333333
3.6277366,4.9186516,4.6666665
3.868173,4.7643905,4.6666665
2.5573926,4.657241,4.6666665
2.7372782,4.804487,3.6666667
2.541895,4.686359,4.6666665
3.8829212,4.988166,4.3333335
2.61228,4.421013,3.6666667
3.8863647,4.8186398,4.6666665
2.7415211,4.7510653,4.3333335
3.84825,4.720379,4.3333335
3.9964726,4.916992,4.6666665
3.8926823,5.0,4.6666665
3.9444509,5.0,5.0
4.4369135,5.0,4.6666665
3.4067714,4.6829243,4.3333335
3.6877398,4.756997,4.3333335
4.2358556,4.9631667,4.3333335
3.5975683,4.779039,4.6666665
3.537607,4.791357,4.6666665
3.8439531,4.8654704,4.3333335
3.721657,4.806759,4.0
3.9897392,5.0,4.3333335
3.9925025,4.83121,4.3333335
2.7510898,4.6281238,3.6666667
3.2445698,4.730574,4.3333335
3.8789485,4.722517,4.0
2.3281124,4.4620304,3.6666667
3.5599663,4.747258,4.0
2.9016845,4.710283,4.6666665
3.3198473,4.703959,4.3333335
3.5341425,4.8389177,4.6666665
2.9068375,4.909043,4.3333335
2.3147821,3.949637,2.6666667
3.8176596,4.778305,4.6666665
3.7507944,4.8228264,5.0
4.0931945,4.8527236,4.3333335
3.9091704,4.8340335,4.6666665
3.3534484,4.7207036,4.6666665
3.7986138,4.6168795,4.6666665
3.3190408,4.684014,4.0
4.1993284,4.9056044,4.6666665
2.4361422,4.059833,3.0
3.4089077,4.726896,4.3333335
3.9199343,4.7893176,3.6666667
3.9195402,4.8344975,4.6666665
