low,up,y_test
3.6434808,4.9487214,4.0
2.5328093,4.5832663,4.6666665
1.1895199,3.3336735,3.0
2.1658974,4.084803,3.6666667
1.0,2.1983957,1.6666666
2.3306031,4.1777263,3.3333333
2.7305362,4.413317,3.6666667
3.1882973,4.835864,4.6666665
1.0,2.1337206,1.6666666
2.3824263,4.1690617,3.6666667
3.3745627,4.8906255,4.0
3.5677388,4.93255,4.6666665
3.2516875,4.898626,5.0
2.8886104,4.7144666,3.6666667
1.6864973,4.0016007,3.6666667
2.8034134,4.717508,4.3333335
3.5413196,5.0,4.0
3.3923202,4.952229,4.6666665
3.2398295,4.8447204,4.0
2.1037803,4.23906,2.0
3.0998926,4.3877044,4.0
3.2383962,4.7736754,4.3333335
3.0374088,4.7641406,4.0
2.1472518,4.243455,4.0
2.5891612,4.5345707,3.0
1.3348733,3.4045448,3.0
3.1213694,4.689061,3.6666667
2.889826,4.7418594,4.3333335
3.3232703,4.870726,4.6666665
3.2390616,4.8361135,4.3333335
3.499334,4.941133,3.6666667
1.4582446,3.6678112,3.6666667
1.0,2.359575,1.0
2.2756386,4.1352196,3.6666667
2.4493923,4.3977165,3.6666667
2.4629512,4.3424754,4.0
2.3825493,4.1236057,3.0
1.0,2.3271823,2.0
2.494698,4.222112,3.3333333
3.7208426,5.0,4.6666665
3.3689027,4.51959,4.3333335
1.8843532,4.187983,4.0
3.5354066,4.636172,4.6666665
2.346356,4.202954,3.6666667
1.0,2.755216,1.6666666
1.0,2.4886746,2.3333333
3.3999274,4.893214,5.0
2.3433266,4.1723566,2.3333333
1.932016,4.10861,3.0
2.9689593,4.278007,3.6666667
3.215779,4.85277,4.0
3.014165,4.589858,4.0
3.4426312,4.805901,4.3333335
1.0,2.2187545,1.6666666
3.2940972,4.81547,4.3333335
1.0,2.6086292,1.3333334
2.8340821,4.403848,3.3333333
1.956009,4.154366,1.6666666
3.395108,4.9283338,4.3333335
2.8098476,4.316128,3.6666667
2.328294,4.350855,2.6666667
2.663324,4.7997456,3.0
1.2818794,3.381083,2.3333333
2.6471124,4.707872,4.3333335
2.4829316,4.538087,3.3333333
2.2342377,4.2123055,3.6666667
3.3726728,4.8313613,4.3333335
1.7612072,4.085283,4.0
2.135581,4.1083727,4.6666665
3.3010375,4.9063797,4.3333335
2.478913,4.355218,3.6666667
2.8003795,4.2142777,3.6666667
1.0,2.5142846,1.6666666
2.4760349,4.155758,3.0
1.0,2.795426,2.3333333
2.6088316,4.6292562,3.6666667
1.9977436,4.0895395,3.6666667
1.9932618,4.146412,2.3333333
2.639899,4.312249,3.6666667
3.4973536,4.866024,4.6666665
1.0,2.7620993,3.0
4.1152945,5.0,4.6666665
1.6724472,3.8673525,4.3333335
1.1144234,3.1329541,2.3333333
4.1111283,5.0,5.0
2.728874,4.5412006,3.6666667
3.3774118,4.823614,4.3333335
3.6993666,5.0,4.6666665
2.8421316,4.6232414,3.3333333
1.4342233,3.674139,1.6666666
1.0,2.653736,2.3333333
3.459107,4.8383784,3.6666667
