low,up,y_test
4.0027733,4.860588,4.6666665
4.0252714,4.868519,3.6666667
3.9622889,4.835038,4.3333335
3.824044,4.7938714,4.6666665
3.9555473,4.850111,5.0
3.8984606,4.809426,4.3333335
2.5882182,4.400267,3.0
3.8555646,4.8143134,4.3333335
3.0747275,4.618712,4.3333335
3.6204848,4.896628,4.3333335
3.237477,4.675623,4.0
3.9983795,4.898269,4.3333335
3.8986928,4.8221755,4.3333335
3.2065642,4.661154,4.0
3.829636,4.7537427,4.6666665
3.9458928,4.84257,4.6666665
2.8791285,4.524703,4.3333335
3.5883484,4.7324343,4.6666665
4.0183287,4.9099617,4.6666665
3.916816,4.8265066,4.6666665
3.9337087,4.8296027,4.6666665
3.0967429,4.5523458,4.3333335
3.8042214,4.7748246,4.3333335
3.6275802,4.781256,4.6666665
2.6517708,4.4360714,2.6666667
3.9696102,4.846917,4.6666665
3.2649524,4.6790743,4.3333335
3.3692756,4.7058682,4.6666665
3.806488,4.8439274,4.3333335
3.9937809,4.8847923,4.0
3.9795222,4.8871455,4.0
3.737495,4.7874713,4.0
4.053078,4.9393687,5.0
3.7563913,4.715287,4.3333335
3.9761446,4.959329,4.6666665
3.9741852,4.8505273,4.6666665
2.959645,4.5818233,4.0
4.0419807,4.8749266,4.3333335
4.017685,4.8626738,4.6666665
3.051225,4.4826355,4.3333335
3.7813852,4.7958794,4.6666665
3.6891372,4.822256,4.6666665
3.0655282,4.6512537,4.3333335
3.9660304,4.85548,4.3333335
2.7926273,4.486805,3.6666667
2.7870967,4.504912,4.3333335
4.1373563,4.945582,4.3333335
3.9774692,4.8519673,4.0
3.75488,4.81857,4.6666665
3.9498549,4.8537006,4.6666665
3.7570457,4.814686,4.3333335
3.9422493,4.868622,4.3333335
2.9166188,4.4262643,2.6666667
3.915154,4.832255,4.3333335
3.626347,4.8598,4.6666665
3.578619,4.8309746,4.6666665
3.0067708,4.579931,4.3333335
3.965198,4.8568177,4.3333335
3.906649,4.8898883,4.6666665
3.8794992,4.781648,3.6666667
3.0117216,4.5933685,4.3333335
3.902251,4.6130443,4.3333335
3.8684409,4.8154907,4.3333335
3.385789,4.7172194,4.0
3.958795,4.856095,4.3333335
3.8935852,4.811431,4.6666665
