low,up,y_test
2.888609,4.1785603,3.0
2.457116,4.015214,3.3333333
3.1568322,4.441502,4.3333335
3.4375627,4.689389,4.0
3.1827674,4.4448743,4.3333335
2.1750417,4.2785773,3.0
3.4798717,4.929783,4.3333335
2.0352383,4.1322756,4.3333335
2.4855785,4.3427906,3.0
1.0,2.929473,3.3333333
1.0,3.0435727,1.0
3.1592643,4.4517927,4.6666665
3.0177388,4.316203,4.0
2.856966,4.3158293,4.3333335
3.072074,4.534062,3.6666667
2.403902,4.4758544,2.6666667
3.2630038,4.672278,3.6666667
1.3688608,3.8505058,3.0
2.431563,4.288139,3.0
3.3941944,5.0,3.6666667
3.1690736,4.482031,3.6666667
3.5490525,5.0,4.6666665
3.4427016,4.876952,4.3333335
2.320351,4.524481,3.6666667
2.768444,4.2716537,4.0
1.7233368,3.7456408,2.6666667
1.0,2.9899685,1.6666666
3.0264325,4.330175,4.0
3.0429156,4.3749533,3.3333333
3.148512,4.440301,4.0
2.5800889,4.3710036,3.3333333
1.3154024,3.4480963,1.6666666
3.029769,4.406807,4.0
2.6859086,4.2285576,3.6666667
1.0781906,3.3055127,2.6666667
2.46485,4.554484,3.6666667
3.0812345,4.3912024,3.3333333
1.6217959,3.7385304,3.0
3.1126194,4.4693985,3.6666667
2.6730313,5.0,3.3333333
1.1330421,3.5460536,1.0
1.583646,3.7021224,4.3333335
3.477313,4.932329,4.6666665
1.075563,3.2119517,1.6666666
1.7198657,3.7613225,3.6666667
2.595403,4.3778315,3.3333333
1.5249082,3.584437,3.3333333
3.275155,4.5757666,3.6666667
2.4976275,4.3959107,4.0
1.8002036,3.8000753,1.0
2.4309776,4.375933,3.3333333
3.4817314,5.0,5.0
1.4316915,3.4809136,2.3333333
3.4459114,4.757331,3.6666667
2.7747998,5.0,4.0
1.9701978,4.168458,3.6666667
3.369116,4.7601843,4.0
3.32193,4.6543055,3.3333333
3.4490995,4.818145,4.3333335
3.5958467,5.0,5.0
3.3759575,5.0,4.6666665
2.5468538,4.2815666,3.3333333
3.5237956,5.0,4.3333335
1.4000814,3.4568546,2.3333333
2.7388716,4.359988,4.6666665
3.0062265,4.3195915,3.3333333
1.6990442,3.821978,2.3333333
2.0211434,4.052822,2.0
1.0302354,3.1748896,1.3333334
3.4068346,4.7776184,3.6666667
1.0552657,3.0640676,1.3333334
2.4811082,4.4836655,3.3333333
3.0863144,4.398347,4.0
3.4350138,4.6936865,4.3333335
1.6617118,3.7160254,3.6666667
1.0,3.054605,1.3333334
2.888609,4.1785603,3.0
1.761413,3.8314548,3.3333333
1.0,3.0365708,1.0
1.0252739,3.143052,1.0
3.4493828,4.884653,3.6666667
1.0,2.9872646,1.0
2.9993389,4.3051734,4.3333335
1.3961973,3.5283198,2.6666667
3.2740188,4.9301257,4.3333335
1.107994,2.9850364,2.6666667
2.060667,4.1639524,2.6666667
2.6480637,4.504874,3.6666667
3.451549,4.7487864,3.6666667
3.4500499,4.835913,4.6666665
1.7287638,3.7821658,2.6666667
2.6788044,4.3706217,3.6666667
3.4007344,5.0,3.3333333
3.4324784,4.7820373,4.0
1.8893632,3.944664,2.6666667
3.4908004,5.0,5.0
3.5275857,4.9535217,4.6666665
3.4656081,4.800328,4.0
3.4420152,4.72642,4.3333335
2.1222868,4.298188,4.6666665
3.3150237,4.6087885,3.6666667
2.3950348,4.280236,3.3333333
2.9779463,4.258429,4.0
1.1424589,3.073547,1.6666666
3.45336,4.826431,4.3333335
2.944186,4.1934743,3.6666667
2.6551855,4.5828524,3.3333333
3.1064863,4.3958273,4.0
2.9484568,4.460026,4.0
2.9496439,4.294141,4.0
2.2456863,4.351018,3.0
2.2603471,4.2610598,1.6666666
1.9702625,4.0597486,3.0
2.6985037,4.153222,3.3333333
1.4639269,3.6032495,3.3333333
3.3642912,4.7284927,4.0
3.4875286,4.849811,4.3333335
3.4730725,4.8896537,4.0
3.4876876,5.0,4.6666665
3.1007726,4.3472795,4.3333335
1.9606165,4.005048,4.0
3.2226195,4.7308283,4.6666665
1.1459199,3.3229756,2.6666667
3.461193,4.98279,3.6666667
3.2493033,4.5350327,4.0
2.4195979,4.42904,4.0
3.23787,4.522766,4.3333335
4.0593705,5.0,5.0
3.1069994,4.39345,4.0
1.3262583,3.514141,1.0
1.7539141,3.9374626,3.0
2.5250275,4.446348,3.6666667
3.0886674,4.430395,3.3333333
1.358356,3.349413,2.0
2.8498213,4.3365765,3.6666667
1.0,3.2020307,1.0
3.2055926,4.583867,2.6666667
2.9546769,5.0,4.6666665
2.7214751,4.428458,5.0
3.4504108,4.7420483,4.0
3.0931406,4.412792,4.0
2.7303407,4.035212,3.3333333
2.624421,4.234715,4.6666665
1.6740459,3.7894564,3.3333333
3.0102873,4.389204,3.3333333
1.4539893,3.5845,3.3333333
1.9141778,4.022431,3.3333333
1.9322072,3.9945087,3.3333333
3.2383845,4.5511804,4.6666665
3.4650064,4.8978505,4.0
3.4873595,4.868302,4.3333335
2.8522296,4.366062,3.6666667
3.1511183,4.4287395,4.0
3.507229,5.0,4.3333335
3.143996,4.4422803,3.6666667
2.8625016,4.4231796,4.3333335
1.3566196,3.4110215,2.3333333
3.3048842,4.7042837,3.6666667
3.456564,5.0,5.0
3.585075,5.0,5.0
2.243448,4.3850613,3.6666667
1.8183604,3.85809,3.3333333
1.4865174,3.6299071,2.3333333
3.511707,5.0,4.0
1.5531757,3.6703975,2.0
3.1693375,4.5877995,3.3333333
2.418715,4.3501925,3.6666667
2.368003,4.4177146,3.3333333
3.3509924,4.7531424,3.6666667
1.3227825,3.436335,1.0
3.4915957,4.999122,5.0
3.127082,4.435688,4.0
2.0530128,4.3557243,2.6666667
1.59233,3.6227136,2.0
2.7622738,4.439599,4.0
3.4813747,4.747468,4.0
2.9681306,4.327363,3.6666667
3.0894754,4.458197,4.0
3.0750892,4.301224,4.0
2.4808424,4.296541,3.0
3.3376524,4.81987,4.0
2.0530128,4.3557243,2.6666667
3.4464145,4.757047,4.3333335
3.360776,4.6510286,3.6666667
3.1058834,4.4144897,4.3333335
2.43077,4.601759,4.0
3.510511,4.9673114,4.3333335
2.7241564,4.587411,3.0
1.3209995,3.430663,2.0
3.1331546,4.549858,4.0
3.1345263,4.430662,4.6666665
3.2873547,4.6350417,3.6666667
2.906847,4.2914557,4.0
3.3402548,4.6773357,3.3333333
3.1567345,4.456599,3.3333333
2.306931,4.6469364,3.3333333
3.5014863,5.0,5.0
3.2949102,4.8110027,4.0
2.5275166,4.281543,3.3333333
1.0381829,3.118053,1.6666666
3.3983796,5.0,4.3333335
1.0,3.1842651,1.0
3.2498133,4.5322185,3.6666667
1.5464499,3.553964,2.6666667
2.6224728,4.1826253,3.3333333
2.806512,4.762224,3.6666667
3.1533844,4.451854,3.3333333
