low,up,y_test
1.1149163,4.9971914,3.0
1.0,3.8211818,1.0
1.0,3.476452,4.0
1.0,3.5209036,3.0
1.1600916,5.0,3.0
1.0,3.9634778,1.0
1.0,4.3363767,5.0
1.0,3.83715,1.0
1.0,4.4151874,2.0
1.6061003,5.0,5.0
1.007563,4.8335114,3.0
1.0,2.934483,3.0
1.0,3.7219405,4.0
1.0,3.676146,2.0
1.0,4.6229296,1.0
1.0597012,4.988776,5.0
1.0,4.293947,1.0
1.3797768,5.0,4.0
1.0,4.551609,1.0
1.0347635,4.861645,2.0
1.0,3.8706849,3.0
1.0031735,4.7562466,4.0
1.1964736,5.0,5.0
1.0,3.7783804,1.0
1.0,3.6340542,3.0
1.0,2.9518504,1.0
1.0,3.367642,1.0
1.0,3.9593134,1.0
1.0,4.2525077,1.0
1.0,4.5289702,5.0
1.5001857,5.0,5.0
1.1018187,4.8947773,4.0
1.0,2.720215,1.0
1.039244,4.948867,1.0
1.0,4.7769904,3.0
1.0,3.270177,1.0
1.1444197,5.0,4.0
1.0,3.6418974,1.0
1.1766241,5.0,1.0
1.4364741,5.0,4.0
1.0,4.578666,5.0
1.0,4.996785,3.0
1.0,4.017085,2.0
1.0,3.4015794,1.0
1.1703272,5.0,4.0
1.0370183,4.559251,2.0
1.0217509,4.999727,1.0
1.0,4.510696,1.0
1.0952148,5.0,4.0
1.0,3.1118672,1.0
1.7197417,3.9826174,4.0
1.0,4.35874,1.0
1.0,4.6545687,1.0
1.0,3.7713854,1.0
1.6198859,4.6562977,5.0
1.0,3.3441644,1.0
1.0,3.2583017,2.0
1.0,4.2806377,5.0
1.1395314,5.0,4.0
1.0912337,4.8856473,4.0
1.1162198,5.0,5.0
1.1280019,5.0,5.0
1.0778859,4.790333,5.0
1.0136925,4.788481,3.0
1.118396,5.0,5.0
1.1407498,4.8050337,3.0
1.0,4.123604,1.0
1.0,4.390077,5.0
1.095597,4.9404116,3.0
1.0,4.4595847,2.0
1.1651945,5.0,4.0
1.0,3.8599737,1.0
1.0,4.4595313,1.0
1.0,4.3192744,2.0
2.0353005,5.0,2.0
1.0794365,4.764638,5.0
1.0,4.5617275,4.0
1.0687234,5.0,1.0
1.0,4.3454447,1.0
1.0,3.8178225,1.0
1.0,3.533312,3.0
1.2138728,5.0,3.0
1.3472185,5.0,5.0
1.0,3.1182508,3.0
1.0,3.1672533,4.0
1.0,4.3412476,4.0
1.0,3.7713912,5.0
1.0,3.3637016,1.0
1.0,4.4524984,2.0
1.0,4.7449903,5.0
1.0294102,4.8812885,1.0
1.0,4.4203424,1.0
1.0,4.137281,1.0
1.0,3.3279314,1.0
1.0185363,4.7587395,3.0
1.0,4.570285,3.0
1.0,3.7005672,1.0
1.0712037,4.849215,5.0
