low,up,y_test
2.241849,5.0,5.0
2.2588766,5.0,5.0
1.0,3.1412728,2.0
3.5199053,5.0,5.0
1.2893015,5.0,2.0
1.0,2.858191,3.0
2.6347938,5.0,5.0
2.4501712,5.0,5.0
1.0,4.515815,4.0
2.8599188,5.0,5.0
1.8405573,4.9314995,4.0
1.6642059,4.110469,3.0
3.658259,5.0,5.0
1.0,2.6410434,1.0
1.2999185,5.0,3.0
1.0623327,5.0,5.0
1.0,4.379292,3.0
1.5834519,5.0,5.0
1.0,5.0,5.0
2.125136,4.9032006,3.0
1.0,3.4298093,3.0
2.5184214,5.0,5.0
1.4200753,4.7102046,3.0
1.388104,5.0,5.0
1.6392758,5.0,4.0
1.5159519,4.8166027,5.0
1.0130935,5.0,5.0
1.3001351,5.0,4.0
1.096471,4.251361,3.0
3.4867887,5.0,5.0
1.317182,5.0,5.0
2.1803324,4.713907,4.0
1.2125101,5.0,4.0
1.9930339,4.5407104,3.0
1.9404585,5.0,5.0
3.9571733,5.0,5.0
1.0,3.799153,2.0
1.5575613,5.0,5.0
2.4339716,5.0,5.0
1.548086,5.0,5.0
1.0,5.0,5.0
1.506804,5.0,5.0
1.0,5.0,4.0
2.8061512,5.0,4.0
1.5122647,5.0,3.0
2.2083118,5.0,4.0
2.9614933,5.0,5.0
1.9794695,5.0,3.0
1.0229889,4.721712,1.0
2.9042203,5.0,5.0
2.7062066,5.0,4.0
1.0,5.0,2.0
2.2867358,4.950812,5.0
2.7509625,5.0,4.0
1.604217,5.0,4.0
2.0268269,5.0,5.0
2.2809975,5.0,5.0
1.0,5.0,5.0
1.8786031,5.0,5.0
1.7415082,4.9197907,4.0
1.615504,5.0,5.0
1.9070562,5.0,5.0
3.2505248,5.0,5.0
1.0,2.4474566,1.0
1.6367627,5.0,3.0
1.8702074,5.0,4.0
2.1624992,5.0,5.0
1.0,4.014442,3.0
3.6168258,5.0,5.0
2.130464,5.0,4.0
3.9243424,5.0,4.0
1.6297798,5.0,5.0
1.867119,5.0,5.0
1.0,5.0,5.0
1.9565666,4.655954,4.0
1.4311002,5.0,5.0
1.0,3.7693453,1.0
2.3701828,5.0,5.0
1.4273101,4.2621646,3.0
2.4587693,5.0,5.0
1.0,2.592259,2.0
2.6853302,5.0,5.0
1.5019525,5.0,4.0
1.5286855,4.96256,3.0
3.6387658,5.0,4.0
2.0273032,5.0,3.0
1.8038296,5.0,5.0
1.6374183,5.0,2.0
1.289709,4.6747127,1.0
1.083348,5.0,5.0
1.5608194,5.0,5.0
1.508052,5.0,4.0
1.4017932,5.0,5.0
2.1818898,5.0,5.0
1.6646665,4.0581365,3.0
2.178211,5.0,5.0
1.0,5.0,2.0
1.0,5.0,2.0
1.0,2.8707013,3.0
1.0170187,3.0894523,2.0
3.417748,5.0,5.0
2.360481,4.9914927,4.0
1.7619166,5.0,4.0
1.0,2.6441238,1.0
1.0018182,5.0,4.0
