low,up,y_test
1.0,5.0,4.0
1.0,5.0,4.0
1.0,1.980852,1.0
1.0,4.1420326,2.0
1.0,4.262712,2.0
1.0,2.2405422,3.0
1.0,2.1116636,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.2656364,1.0
1.0,2.0855951,1.0
1.0,4.307662,5.0
1.0,5.0,5.0
1.0,2.2341585,2.0
1.0,2.1748843,3.0
1.0,2.2131128,1.0
1.0,2.0127888,1.0
1.0,4.8542147,3.0
1.0,2.4199252,1.0
1.0,2.0251625,3.0
1.0,5.0,2.0
1.0,2.2056463,1.0
1.0,2.2048714,1.0
1.0,4.1479225,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,4.4271784,5.0
1.0,5.0,4.0
1.0,4.965602,4.0
1.0,4.0493937,1.0
1.0,5.0,4.0
1.0,3.428721,2.0
1.0,5.0,3.0
1.0,4.676141,3.0
1.0,2.1705506,3.0
1.0,3.9387093,3.0
1.0,4.242067,1.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,4.2627125,1.0
1.0,2.1571913,1.0
1.0,4.311777,2.0
1.0,5.0,4.0
1.0,2.6308515,3.0
1.0,3.7881203,5.0
1.0,5.0,4.0
1.0,4.2001314,1.0
1.0,4.748189,3.0
1.0,5.0,1.0
1.0,2.4793046,1.0
1.0,2.9344704,3.0
1.0,2.138873,1.0
1.0,5.0,1.0
1.0,2.074019,1.0
1.0,5.0,5.0
1.0,2.1086411,1.0
1.0,4.164501,3.0
1.0,3.711275,2.0
1.0,2.532981,1.0
1.0,4.414331,5.0
1.0,3.8589,2.0
1.0,2.6521454,1.0
1.0,5.0,4.0
1.0,3.799313,3.0
1.0,4.1621885,1.0
1.0,5.0,4.0
1.0,4.706439,4.0
1.0,2.1797194,1.0
1.0,2.003774,3.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.954215,4.0
1.0,3.4885235,1.0
1.0,3.714273,4.0
1.0,4.0073524,4.0
1.0,4.642805,3.0
1.0,5.0,5.0
1.0,2.0811687,1.0
1.0,5.0,3.0
1.0,2.698167,3.0
1.0,5.0,5.0
1.0,4.4600334,4.0
1.0,2.3003368,1.0
1.0,4.1306105,5.0
1.0,2.2048712,1.0
1.0,5.0,3.0
1.0,2.0952804,1.0
1.0,5.0,4.0
1.0,4.078151,3.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,3.557961,2.0
1.0,5.0,4.0
1.0,4.434246,4.0
1.0,4.0441604,1.0
1.0,1.9722135,1.0
1.0,3.1219673,1.0
