low,up,y_test
1.3168522,3.329083,1.0
3.0048375,5.0,5.0
3.0048366,5.0,4.0
2.1579986,5.0,4.0
3.0048366,5.0,5.0
2.999569,5.0,5.0
1.9993423,5.0,2.0
3.0048375,5.0,5.0
2.9995687,5.0,5.0
2.8494506,5.0,5.0
2.0003176,4.9895525,2.0
2.7208269,5.0,5.0
1.3409439,4.0055203,3.0
2.0828462,4.8353844,4.0
3.0048368,5.0,4.0
3.0048375,5.0,5.0
1.3509023,4.528804,3.0
2.172583,4.965016,1.0
2.9995687,5.0,5.0
1.0,1.4782985,3.0
2.007838,5.0,3.0
1.0,3.111444,1.0
1.0,2.418137,2.0
1.0,3.6597219,4.0
2.999569,5.0,4.0
2.599788,5.0,4.0
1.3175805,4.2618275,5.0
2.9995687,5.0,1.0
3.0048375,5.0,4.0
1.259012,3.0132906,1.0
2.0003176,4.9895525,4.0
2.9128227,5.0,3.0
1.610126,5.0,2.0
2.999569,5.0,5.0
2.5307868,4.9861383,3.0
2.9995687,5.0,5.0
2.4158187,4.9094615,5.0
1.9993423,5.0,2.0
2.0997753,4.8791585,5.0
1.0513846,3.6995058,3.0
1.407201,4.0884953,5.0
3.0048375,5.0,5.0
1.9993423,5.0,1.0
1.8615476,4.7617674,3.0
2.0078378,5.0,5.0
1.407201,4.0884953,2.0
1.407201,4.0884953,2.0
2.1579986,5.0,1.0
1.9993423,5.0,5.0
1.4072009,4.088495,3.0
1.0,1.6122862,1.0
3.0048375,5.0,4.0
3.0048368,5.0,4.0
2.9745011,5.0,5.0
3.0048373,5.0,4.0
2.9103537,5.0,3.0
1.9993423,5.0,5.0
3.0048373,5.0,4.0
2.9995687,5.0,5.0
1.8162843,4.5840015,4.0
2.007838,5.0,3.0
2.9995687,5.0,5.0
2.999569,5.0,5.0
2.9980278,5.0,5.0
1.9274406,5.0,3.0
1.0,1.8448899,3.0
2.0003176,4.9895525,4.0
1.9993423,5.0,5.0
2.9029517,5.0,4.0
1.9792352,4.765472,4.0
2.1579971,5.0,3.0
2.007838,5.0,5.0
2.999569,5.0,5.0
1.0199893,2.524966,1.0
2.9995687,5.0,5.0
1.180375,2.9062538,2.0
1.1971098,2.6785908,3.0
2.0078378,5.0,3.0
3.0048373,5.0,5.0
3.0048368,5.0,4.0
2.5595284,5.0,5.0
1.0,1.4836321,2.0
1.9993423,5.0,2.0
3.0048375,5.0,5.0
1.0,1.5659332,2.0
1.9432416,4.758837,5.0
2.9996758,5.0,3.0
1.9993423,5.0,2.0
3.0048368,5.0,4.0
1.4072009,4.088495,5.0
3.0048375,5.0,5.0
1.9993423,5.0,4.0
2.999569,5.0,5.0
2.1579962,5.0,3.0
2.5092301,4.971762,3.0
2.8218415,5.0,5.0
2.007838,5.0,4.0
3.0048375,5.0,4.0
1.0,3.111444,1.0
1.9767761,4.764879,3.0
1.3007464,4.250706,5.0
3.0048373,5.0,5.0
1.2454883,2.838337,3.0
2.2809482,4.9643946,3.0
2.157998,5.0,3.0
