low,up,y_test
2.083128,3.1679378,2.0
3.3748815,4.727255,3.0
3.7960184,5.0,4.0
4.0036287,5.0,5.0
1.9760683,3.0592968,2.0
2.5094333,4.5700397,4.0
3.302082,4.761114,3.0
2.7185168,4.3420568,3.0
3.1198018,4.845782,5.0
3.9888682,5.0,4.0
2.0841422,3.7245102,3.0
2.7178042,4.8333597,4.0
3.2483058,5.0,5.0
4.0048156,5.0,5.0
3.9174695,5.0,5.0
3.9174695,5.0,5.0
3.0585775,4.642263,4.0
2.6067243,3.942822,3.0
3.7837934,5.0,5.0
3.7969491,5.0,5.0
3.7960563,5.0,3.0
3.5363023,5.0,4.0
3.9174695,5.0,5.0
2.5472407,4.6382794,3.0
3.8132606,5.0,5.0
3.7936983,5.0,5.0
3.7967467,5.0,5.0
3.822589,5.0,4.0
3.7864316,5.0,5.0
2.000814,3.0869083,1.0
2.0808525,3.1456184,2.0
3.818595,5.0,5.0
3.8004568,5.0,5.0
3.9971957,5.0,5.0
3.6812382,4.9273977,4.0
3.2303767,4.7310333,3.0
3.7927046,5.0,5.0
2.5121012,4.132961,4.0
3.1783493,4.874894,5.0
2.302637,4.2251906,3.0
3.7852662,5.0,5.0
3.2177653,5.0,4.0
3.8779943,5.0,5.0
2.5168757,4.6211147,5.0
3.731615,4.9260464,3.0
3.9094744,5.0,5.0
2.0565248,3.2496796,4.0
3.7959342,5.0,5.0
2.4752753,4.540078,3.0
3.290198,4.6873503,3.0
3.7888823,5.0,5.0
3.9065166,5.0,4.0
2.8610296,4.8960013,4.0
3.982514,5.0,5.0
3.7885325,5.0,5.0
2.3433785,3.5304613,3.0
3.7955666,5.0,4.0
3.21653,4.7375,3.0
3.8471751,5.0,5.0
3.5041943,4.9064617,5.0
3.796544,5.0,5.0
2.6412272,4.3950143,3.0
3.9174695,5.0,5.0
3.249627,4.705408,4.0
3.7951846,5.0,5.0
3.3058724,5.0,5.0
3.017489,4.9428053,4.0
3.8125014,5.0,5.0
3.0899549,4.948257,5.0
3.2377062,4.8345833,4.0
3.790925,5.0,5.0
3.818899,5.0,4.0
3.8425856,5.0,5.0
1.9972899,3.1120503,3.0
3.7890537,5.0,5.0
4.0036416,5.0,4.0
