low,up,y_test
3.7142262,5.0,5.0
3.7142258,5.0,5.0
3.788367,5.0,2.0
1.7708209,4.55165,5.0
3.7142262,5.0,5.0
3.7142262,5.0,5.0
3.7801545,5.0,4.0
3.7142258,5.0,1.0
1.1278958,4.8889074,2.0
3.7142262,5.0,5.0
1.088582,4.8823075,5.0
3.7142258,5.0,5.0
1.0,1.5154808,2.0
3.7142262,5.0,2.0
1.6294612,4.9006677,2.0
3.7142258,5.0,5.0
1.0,3.2198758,5.0
1.7708209,4.55165,2.0
1.0,4.6529818,5.0
1.8361708,4.6526394,5.0
3.7142262,5.0,5.0
3.7142258,5.0,5.0
1.0,3.203958,1.0
3.7142262,5.0,5.0
3.7142262,5.0,4.0
3.7142246,5.0,5.0
1.1525513,4.9091263,1.0
1.6649013,4.5486913,2.0
3.7142262,5.0,5.0
3.7189226,5.0,5.0
3.7142262,5.0,5.0
1.0,4.1465144,2.0
1.5974606,4.5489874,2.0
3.8020191,5.0,5.0
3.7142262,5.0,5.0
1.0,3.7451828,1.0
3.7142262,5.0,5.0
3.7142255,5.0,5.0
3.7142258,5.0,5.0
1.0,3.9126701,2.0
1.0,2.8147516,1.0
3.7142258,5.0,5.0
3.7142262,5.0,5.0
3.7142262,5.0,5.0
1.7708209,4.55165,5.0
3.7142262,5.0,5.0
3.7142262,5.0,5.0
3.7142262,5.0,4.0
3.7142262,5.0,5.0
3.7142258,5.0,1.0
3.7142258,5.0,5.0
3.7142258,5.0,5.0
3.7142262,5.0,5.0
1.6587859,4.8652964,2.0
3.7142262,5.0,5.0
3.7142262,5.0,5.0
1.0,4.524959,1.0
1.0,2.3472574,2.0
3.7142262,5.0,2.0
1.770821,4.551646,2.0
1.0,2.3584032,2.0
1.0,3.289093,1.0
3.7142262,5.0,1.0
1.0,3.4167871,2.0
1.1199784,4.9115615,1.0
3.7142262,5.0,5.0
3.7142262,5.0,5.0
1.0,1.8281649,1.0
3.7142253,5.0,5.0
3.7142262,5.0,5.0
1.0,2.6791682,2.0
1.0,4.142248,2.0
3.7142262,5.0,5.0
3.7142262,5.0,5.0
1.0,4.219815,1.0
1.0,3.8506153,1.0
3.7142262,5.0,4.0
1.7467496,4.8848915,5.0
3.7142262,5.0,1.0
3.7142255,5.0,5.0
1.0,2.2499676,1.0
1.0,3.1090617,1.0
1.0,1.5154804,1.0
3.7142262,5.0,5.0
3.7142262,5.0,5.0
1.0,2.152087,2.0
3.7142262,5.0,5.0
3.7142262,5.0,5.0
1.0,2.6945577,2.0
3.7142258,5.0,5.0
3.7142258,5.0,5.0
3.7142262,5.0,5.0
1.7708209,4.55165,2.0
3.9943495,5.0,5.0
1.0,4.171015,5.0
3.7142253,5.0,2.0
3.7142262,5.0,5.0
1.1207886,4.8340216,2.0
3.7142258,5.0,1.0
3.7142258,5.0,5.0
