low,up,y_test
2.8982239,5.0,3.6666667
1.9359002,4.650259,4.3333335
2.6938505,5.0,4.3333335
4.0877376,5.0,5.0
1.9238065,4.597673,2.3333333
2.6529822,5.0,4.0
1.6324296,4.2319083,2.3333333
1.8705755,4.512865,3.0
1.3722267,4.6468816,3.0
2.0159936,4.708908,2.6666667
2.07269,4.72972,3.6666667
2.2352989,4.992363,3.0
3.286585,5.0,4.6666665
2.507061,4.9806447,4.3333335
2.0204847,4.737048,3.6666667
1.7354198,4.4810376,4.0
1.869915,4.4573216,3.0
1.9662037,4.6670914,2.3333333
1.5550727,3.969162,2.0
2.047964,4.7477484,3.6666667
1.9399168,4.685917,3.3333333
1.7698696,4.3144627,1.6666666
1.6464804,4.3230076,2.0
1.7037519,4.3141675,3.0
2.7237062,5.0,3.6666667
2.2235274,4.6749864,3.6666667
1.8832164,4.835447,4.6666665
2.5068831,4.9938817,3.0
2.1663313,4.669367,3.6666667
2.1569133,4.917016,3.6666667
3.755177,5.0,4.0
2.1799464,5.0,4.3333335
3.292183,5.0,4.6666665
1.4025704,4.0176535,2.3333333
1.8292652,4.595879,4.3333335
1.6979493,4.330371,4.0
1.8573502,4.624648,2.6666667
1.3218573,3.9277544,2.3333333
1.4187342,4.0507526,2.6666667
2.2481956,4.868314,4.6666665
2.2346292,4.8861485,2.6666667
1.5283539,3.7957804,2.3333333
2.6426177,4.995993,3.3333333
2.8393292,5.0,4.3333335
2.1726837,4.77977,4.3333335
2.1876276,4.8930874,5.0
2.267043,4.9114323,5.0
3.3151028,5.0,4.0
1.9284106,4.7129803,2.6666667
3.4714863,5.0,4.0
2.1817434,5.0,4.0
4.070359,5.0,5.0
1.889829,4.6314845,3.3333333
1.4897792,4.366474,3.6666667
2.0537238,4.667937,3.3333333
1.5192536,4.3591385,3.3333333
1.9654557,4.6377034,2.6666667
1.5482888,4.1065993,4.6666665
1.7717829,4.599691,2.0
1.9929265,4.676977,3.6666667
1.6022366,4.1119843,2.6666667
1.7634381,4.465014,4.0
2.8409123,5.0,4.3333335
1.2529808,3.7036881,2.0
1.541905,3.9456325,2.6666667
1.2921124,3.9551587,2.6666667
1.8764586,4.7158628,2.6666667
2.4712846,4.9701176,5.0
1.4295127,4.257761,1.0
2.8501816,5.0,4.3333335
1.5787526,4.0370755,3.0
2.662759,4.991788,4.0
2.7554717,5.0,4.6666665
2.4311748,4.967249,4.3333335
1.8602347,4.2996507,3.0
2.0687575,4.8554177,3.0
2.8909917,5.0,2.6666667
1.6449388,4.2042294,3.3333333
1.9331367,4.6228037,3.0
1.9084736,4.65449,2.3333333
2.1074448,4.7520533,5.0
1.7732035,4.5391145,1.6666666
2.1366258,4.6325536,4.0
2.3726728,5.0,4.3333335
2.936229,5.0,4.0
1.1845125,3.2650113,2.0
3.7005405,5.0,5.0
2.4531422,4.957756,2.3333333
1.6744379,4.2539477,3.3333333
1.6830564,4.1774316,3.0
1.9366937,4.604238,3.6666667
3.2944345,5.0,4.3333335
2.0106025,4.7503037,4.3333335
2.682888,4.9367657,4.6666665
1.9988391,4.7156677,4.3333335
2.579648,5.0,4.0
2.5321217,5.0,2.6666667
2.6710382,5.0,3.3333333
2.0071325,4.707446,3.6666667
1.742603,4.4854646,2.6666667
1.8927008,4.598787,5.0
3.7203498,5.0,4.3333335
1.4927781,4.0781794,4.3333335
2.4209483,4.9745674,4.3333335
2.0202312,4.5490427,4.0
2.2195888,4.917643,4.0
