low,up,y_test
4.641449,5.0,5.0
1.6959604,4.559048,3.6666667
4.660453,5.0,5.0
4.662709,5.0,5.0
1.7230272,4.664347,5.0
4.6143537,5.0,5.0
4.689303,5.0,5.0
4.6087184,5.0,5.0
2.598691,4.4952865,4.6666665
4.6190996,5.0,5.0
4.652801,5.0,5.0
4.644002,5.0,5.0
2.1139333,4.6631355,5.0
2.0269625,4.631649,1.6666666
4.6632056,5.0,5.0
4.627964,5.0,5.0
4.695373,5.0,5.0
1.9278628,4.799515,2.0
4.5133524,5.0,5.0
1.9374783,4.8658695,2.6666667
4.72017,5.0,5.0
2.9769876,4.916637,2.6666667
4.631763,5.0,5.0
2.6380732,4.967532,5.0
4.663743,5.0,5.0
4.6577706,5.0,5.0
4.629522,5.0,5.0
4.672604,5.0,5.0
4.6455426,5.0,5.0
1.470827,4.2530265,2.0
4.2117443,5.0,5.0
4.6344748,5.0,5.0
4.677211,5.0,5.0
4.0970287,5.0,4.6666665
4.645509,5.0,5.0
4.6635246,5.0,5.0
4.6579437,5.0,5.0
1.5800114,4.827231,1.6666666
3.8423555,5.0,5.0
4.656027,5.0,4.6666665
4.692729,5.0,5.0
4.6732264,5.0,5.0
3.5697787,5.0,5.0
4.651058,5.0,5.0
4.636905,5.0,5.0
4.63367,5.0,5.0
4.672563,5.0,5.0
3.8580813,5.0,5.0
4.6749635,5.0,5.0
2.9176931,4.979595,5.0
1.5835687,4.390406,1.6666666
4.6496916,5.0,5.0
4.6551323,5.0,5.0
1.2712631,2.801827,1.0
4.60445,5.0,5.0
1.6522806,4.478243,2.0
4.6858845,5.0,5.0
4.6529884,5.0,5.0
1.6140841,4.4359336,1.3333334
4.718558,5.0,5.0
2.1635861,4.8541455,1.3333334
4.699184,5.0,5.0
4.7292576,5.0,5.0
4.6536255,5.0,5.0
2.4622686,4.7201824,4.6666665
4.6625047,5.0,5.0
4.470751,5.0,5.0
3.739468,5.0,5.0
4.6555524,5.0,5.0
4.7094607,5.0,5.0
4.703555,5.0,5.0
4.7139688,5.0,5.0
4.677211,5.0,5.0
1.5771921,4.831417,1.0
4.6916614,5.0,5.0
4.6862926,5.0,5.0
4.6670456,5.0,5.0
4.6105137,5.0,5.0
4.615525,5.0,1.6666666
1.0,4.3414626,4.3333335
4.6307483,5.0,5.0
4.676022,5.0,5.0
1.8941694,4.568528,1.6666666
4.577308,5.0,4.6666665
4.5747857,5.0,5.0
1.8237756,5.0,2.6666667
4.706709,5.0,5.0
4.7061195,5.0,5.0
4.6301703,5.0,5.0
4.651121,5.0,5.0
1.561797,4.5354233,4.3333335
4.6220574,5.0,5.0
4.591501,5.0,5.0
4.6462564,5.0,5.0
4.6404443,5.0,5.0
4.679835,5.0,5.0
4.642257,5.0,5.0
2.8867617,5.0,5.0
4.676842,5.0,5.0
1.735836,4.809706,2.0
4.6536007,5.0,5.0
4.5326633,5.0,5.0
4.679531,5.0,5.0
4.682372,5.0,5.0
3.1200752,5.0,4.3333335
4.6874676,5.0,5.0
4.6502404,5.0,5.0
4.6822453,5.0,5.0
4.179652,5.0,5.0
1.5970162,4.664932,4.3333335
4.679286,5.0,5.0
4.6298995,5.0,5.0
4.5681047,5.0,5.0
4.671295,5.0,5.0
3.4712765,5.0,5.0
4.644707,5.0,5.0
4.382076,5.0,5.0
4.6717224,5.0,5.0
4.168461,5.0,2.3333333
4.7010903,5.0,5.0
4.677599,5.0,5.0
4.283922,5.0,5.0
1.422728,4.632107,5.0
4.6409225,5.0,5.0
1.7751064,5.0,2.3333333
4.729897,5.0,5.0
4.5344734,5.0,5.0
1.3241965,4.541883,4.3333335
4.6703153,5.0,5.0
4.6807756,5.0,5.0
4.6644907,5.0,5.0
4.668829,5.0,5.0
4.6519094,5.0,4.6666665
4.651339,5.0,5.0
4.669525,5.0,5.0
4.6977415,5.0,5.0
4.672318,5.0,5.0
4.66702,5.0,5.0
4.6240306,5.0,5.0
4.6774416,5.0,5.0
4.681158,5.0,5.0
4.700012,5.0,5.0
2.2502155,4.676271,4.3333335
4.6954255,5.0,5.0
4.598428,5.0,5.0
4.6766777,5.0,5.0
4.6841087,5.0,5.0
4.5781913,5.0,5.0
4.6615214,5.0,5.0
4.564684,5.0,4.6666665
4.6486087,5.0,5.0
4.6508546,5.0,5.0
4.6333194,5.0,5.0
1.7780567,4.6637883,3.6666667
4.6476903,5.0,5.0
4.668829,5.0,5.0
4.6931868,5.0,5.0
4.633726,5.0,5.0
4.6685867,5.0,5.0
4.6486163,5.0,5.0
4.240123,5.0,5.0
4.6740317,5.0,5.0
1.0827906,3.019841,1.0
1.9119681,4.9460015,5.0
4.6679707,5.0,5.0
4.435845,5.0,5.0
4.6619377,5.0,5.0
4.7124815,5.0,4.6666665
2.7955382,4.8915977,4.0
1.5749555,4.6440334,1.6666666
4.720574,5.0,5.0
4.635127,5.0,5.0
4.636799,5.0,5.0
4.6569777,5.0,5.0
4.408214,5.0,5.0
4.6512136,5.0,5.0
4.6560655,5.0,5.0
4.6443152,5.0,5.0
4.7025743,5.0,5.0
4.5931535,5.0,5.0
4.645356,5.0,5.0
3.06758,4.914937,5.0
4.65983,5.0,5.0
4.6388855,5.0,5.0
4.651604,5.0,5.0
2.2046123,4.88508,5.0
4.613864,5.0,5.0
4.644609,5.0,5.0
2.4471867,4.833123,1.3333334
4.6792216,5.0,5.0
4.7057834,5.0,4.3333335
4.475819,5.0,1.3333334
4.689034,5.0,5.0
4.6501493,5.0,5.0
4.6969543,5.0,5.0
4.625114,5.0,5.0
4.7000694,5.0,5.0
4.695376,5.0,5.0
1.3549094,4.5786715,1.6666666
4.6587334,5.0,5.0
4.700178,5.0,5.0
4.329073,5.0,5.0
2.5055027,4.682345,1.3333334
4.6147733,5.0,5.0
4.656103,5.0,4.0
4.6418386,5.0,5.0
4.6400113,5.0,5.0
4.6603937,5.0,5.0
4.721474,5.0,5.0
4.7000694,5.0,5.0
1.7012995,4.5914054,5.0
4.6580763,5.0,5.0
3.987692,5.0,5.0
2.508527,4.4261875,1.6666666
4.6757197,5.0,5.0
1.5805783,4.233596,1.0
4.6965714,5.0,5.0
4.643492,5.0,5.0
4.6371093,5.0,5.0
4.6766353,5.0,5.0
4.5064707,5.0,4.6666665
4.7024417,5.0,5.0
4.4941373,5.0,5.0
4.643428,5.0,5.0
1.8960297,5.0,2.3333333
4.650502,5.0,5.0
4.606904,5.0,5.0
4.6228633,5.0,5.0
2.5561695,4.9225173,4.6666665
4.4359264,5.0,5.0
4.6194468,5.0,5.0
4.624403,5.0,5.0
4.6751184,5.0,5.0
4.6609263,5.0,5.0
4.6151404,5.0,5.0
4.7286053,5.0,5.0
4.7227874,5.0,5.0
3.3241935,5.0,4.6666665
4.720627,5.0,5.0
4.6848655,5.0,5.0
4.6158824,5.0,5.0
4.6614366,5.0,5.0
4.543779,5.0,2.3333333
4.7006497,5.0,5.0
4.692494,5.0,5.0
3.622242,5.0,4.6666665
4.700864,5.0,5.0
4.6185994,5.0,5.0
1.9946289,5.0,4.6666665
1.44351,3.8160634,2.6666667
4.6455264,5.0,5.0
4.7188134,5.0,5.0
4.5779924,5.0,5.0
4.6580358,5.0,5.0
4.657707,5.0,5.0
4.6496687,5.0,5.0
4.6568165,5.0,5.0
4.6497903,5.0,5.0
1.9183793,4.926319,2.3333333
4.650367,5.0,5.0
4.6388974,5.0,5.0
3.8952014,5.0,5.0
4.5768056,5.0,5.0
4.59155,5.0,5.0
4.661322,5.0,5.0
4.6575556,5.0,5.0
4.681941,5.0,5.0
4.647895,5.0,4.6666665
