low,up,y_test
4.33125,5.0,4.3333335
4.55158,5.0,5.0
4.3941107,5.0,5.0
3.9064803,5.0,5.0
4.498625,5.0,4.3333335
4.0338597,5.0,5.0
4.5055046,5.0,5.0
3.7544284,5.0,5.0
3.7140105,5.0,5.0
2.0094671,4.616005,5.0
3.8952444,5.0,5.0
3.4158416,5.0,5.0
2.8065622,4.965992,3.3333333
4.2469134,5.0,5.0
3.0046706,5.0,4.0
3.4578648,5.0,5.0
4.508627,5.0,5.0
3.1675775,5.0,3.3333333
4.42599,5.0,5.0
4.514757,5.0,5.0
4.166001,5.0,5.0
3.7992713,5.0,5.0
3.3959093,5.0,5.0
3.3733218,5.0,5.0
3.0967555,5.0,5.0
4.5668564,5.0,5.0
3.0530906,4.997145,4.0
4.344776,5.0,5.0
3.2306747,5.0,5.0
4.2473845,5.0,5.0
3.4479651,5.0,5.0
4.5497985,5.0,5.0
4.560185,5.0,5.0
3.9996314,5.0,4.6666665
3.350028,5.0,5.0
3.579353,5.0,5.0
4.5230484,5.0,4.3333335
4.04022,5.0,5.0
1.658403,4.523688,4.3333335
4.47147,5.0,5.0
1.8102201,4.5094433,4.3333335
4.2473845,5.0,5.0
4.102212,5.0,4.6666665
4.084464,5.0,5.0
1.7107214,4.554397,2.3333333
3.3024962,5.0,5.0
4.232439,5.0,5.0
4.5390654,5.0,5.0
3.5448375,5.0,5.0
4.5034637,5.0,5.0
3.3703003,5.0,5.0
3.4398572,5.0,4.0
3.3072202,5.0,4.3333335
4.5223765,5.0,5.0
3.1466455,5.0,4.6666665
4.321348,5.0,5.0
3.2617607,4.9990234,4.0
4.5420012,5.0,5.0
3.13715,5.0,2.6666667
4.5557885,5.0,5.0
3.4964612,5.0,5.0
3.0759025,5.0,5.0
4.5159254,5.0,5.0
3.5056698,5.0,5.0
1.7371621,5.0,1.3333334
3.6683705,5.0,5.0
4.6577168,5.0,5.0
3.441147,5.0,4.6666665
3.4257305,5.0,5.0
3.483048,5.0,5.0
3.9827538,5.0,5.0
3.261476,5.0,3.6666667
3.8471456,5.0,5.0
3.4417458,5.0,4.6666665
4.5366306,5.0,4.3333335
4.374825,5.0,5.0
3.4456666,5.0,4.0
2.8593712,4.990748,2.0
1.955124,4.5078454,3.0
3.9166217,5.0,4.6666665
3.7750819,5.0,3.6666667
3.2259998,5.0,2.3333333
4.0094013,5.0,5.0
4.5074053,5.0,5.0
4.5475903,5.0,5.0
3.7477856,5.0,5.0
3.3060224,5.0,5.0
3.593708,5.0,4.6666665
3.7452965,5.0,5.0
3.8688948,5.0,5.0
3.532738,5.0,5.0
3.517027,5.0,5.0
4.3651714,5.0,5.0
4.299633,5.0,5.0
3.45669,5.0,4.6666665
2.663807,4.981186,4.6666665
3.7984486,5.0,5.0
4.3934073,5.0,5.0
4.4090943,5.0,4.6666665
3.1562812,5.0,4.3333335
2.504073,4.8938675,4.3333335
3.8167496,5.0,5.0
4.5181227,5.0,5.0
3.3350487,5.0,5.0
3.3023894,5.0,5.0
3.82302,5.0,5.0
3.3993335,5.0,4.3333335
4.459528,5.0,5.0
4.2456784,5.0,5.0
3.0992186,5.0,5.0
3.811595,5.0,4.3333335
4.2849255,5.0,5.0
3.5767412,5.0,4.6666665
4.485599,5.0,5.0
3.2248423,5.0,4.6666665
3.2415605,5.0,5.0
3.8887076,5.0,5.0
1.8205194,4.482644,4.6666665
3.998935,5.0,5.0
4.194505,5.0,5.0
4.3057356,5.0,5.0
3.5601358,5.0,5.0
4.418491,5.0,5.0
4.2515635,5.0,5.0
3.452745,5.0,5.0
3.057863,5.0,2.0
1.7720023,5.0,1.0
3.3098896,5.0,5.0
4.4912615,5.0,4.6666665
4.531283,5.0,5.0
4.531213,5.0,5.0
2.9473944,5.0,5.0
4.4100947,5.0,5.0
4.3461375,5.0,5.0
3.1197224,5.0,5.0
4.5207744,5.0,5.0
4.4232297,5.0,5.0
4.3699164,5.0,5.0
3.854758,5.0,5.0
4.5041375,5.0,5.0
4.57369,5.0,5.0
3.1068966,5.0,3.6666667
4.545463,5.0,5.0
4.1642447,5.0,5.0
2.4740548,4.892829,3.3333333
1.7694031,4.484884,2.6666667
4.430209,5.0,4.6666665
4.073965,5.0,5.0
4.4443626,5.0,5.0
3.8862708,5.0,5.0
3.203937,5.0,5.0
4.516117,5.0,5.0
3.3628895,5.0,2.6666667
3.8427382,5.0,4.6666665
3.6128798,5.0,4.6666665
2.1540704,4.629964,3.0
4.372655,5.0,5.0
3.256922,5.0,5.0
3.9583352,5.0,4.3333335
4.001675,5.0,5.0
3.3725572,5.0,4.0
4.15459,5.0,4.3333335
3.2106552,5.0,5.0
4.2471576,5.0,5.0
4.084464,5.0,5.0
3.6642618,5.0,5.0
4.4974422,5.0,5.0
3.152085,5.0,5.0
4.496373,5.0,5.0
3.8816984,5.0,5.0
4.070818,5.0,4.6666665
3.407796,5.0,5.0
4.469811,5.0,5.0
