low,up,y_test
3.0195928,4.8134036,3.6666667
3.4746323,4.949031,4.6666665
3.4760723,5.0,4.3333335
3.1824138,4.7686577,4.6666665
3.1713517,5.0,4.6666665
3.3925695,4.917059,3.6666667
3.1653695,5.0,4.6666665
2.9933088,4.79428,4.3333335
3.186592,4.768153,3.6666667
1.8724049,4.1139617,2.6666667
3.2281334,5.0,4.3333335
2.385957,4.4348154,3.3333333
3.4372144,5.0,4.0
2.8817372,4.7360883,4.3333335
2.429473,4.5486393,2.0
3.190268,4.797812,4.3333335
2.3231525,4.4277315,3.3333333
1.8112735,4.157095,2.3333333
1.9812988,4.183707,3.3333333
2.3581648,4.13456,2.3333333
2.8302684,4.703503,3.0
1.8123904,4.0906153,3.6666667
3.5202596,5.0,5.0
1.7094815,4.407632,4.0
1.7425387,4.316559,1.3333334
3.5032592,4.9720197,4.3333335
3.7602217,5.0,4.6666665
3.1936545,4.6058083,3.6666667
2.4680085,4.609644,4.6666665
1.600504,3.8107839,2.0
3.2003846,4.8456407,3.6666667
3.2146597,4.967434,4.3333335
3.100466,4.8941464,4.3333335
3.5631685,5.0,3.6666667
3.0365477,4.7269545,4.0
3.723922,5.0,4.3333335
2.8856149,4.7803397,2.6666667
3.2157238,4.9991193,4.0
2.618199,4.677268,3.0
2.9027853,4.7811546,3.6666667
3.269228,5.0,4.3333335
3.2412472,5.0,4.0
2.6488533,4.8005743,2.3333333
2.8174496,4.732259,4.3333335
2.9819446,4.7355485,4.0
3.047643,5.0,3.6666667
1.7779338,4.258691,4.0
1.7561305,4.366665,1.6666666
1.8677686,4.119578,2.3333333
3.0508947,4.877386,4.3333335
1.9907256,4.2744827,2.3333333
2.4300241,4.488101,3.3333333
3.0240788,4.742656,5.0
2.90434,4.7344294,5.0
3.151138,4.909457,3.3333333
2.4960058,4.6330624,3.3333333
2.2964075,4.392524,3.3333333
1.7205273,4.171334,3.0
3.276924,4.9721584,4.6666665
2.5300303,4.676083,2.6666667
3.0041552,4.8633595,3.6666667
1.7816235,4.243402,4.0
3.314382,5.0,3.6666667
2.6788962,4.704686,3.3333333
2.5702481,4.6056733,4.3333335
1.5087806,3.8472662,2.0
1.825131,4.350366,2.6666667
3.333713,4.994077,5.0
2.5099742,4.6397715,4.6666665
3.4486709,5.0,3.6666667
3.1516414,4.934503,3.6666667
1.8087753,4.546784,3.6666667
2.9502559,4.7808914,4.0
3.3864877,5.0,5.0
3.1916265,5.0,4.6666665
3.1377103,4.731554,4.3333335
2.849399,4.891055,4.0
2.6472025,4.697226,4.0
3.250067,5.0,4.6666665
3.3870955,5.0,4.3333335
2.4091825,4.308588,2.3333333
2.7394447,4.699335,2.6666667
1.6640987,3.6886148,2.3333333
2.800096,4.750978,3.6666667
2.4669888,4.5801287,4.3333335
2.487167,4.6437106,4.0
1.8251777,4.497877,2.3333333
3.2663279,4.990114,4.0
3.0209546,4.8038974,3.6666667
2.1717734,4.394783,4.0
2.1172013,4.353683,2.3333333
2.6408577,4.797162,3.6666667
2.1424742,4.273755,2.0
2.5848203,4.7232156,3.0
1.7356776,4.32278,3.6666667
2.3769646,4.516539,3.6666667
3.4167097,5.0,4.6666665
3.174462,4.768299,3.0
3.1941397,4.8673663,4.3333335
1.9227195,4.3066278,3.3333333
3.492801,5.0,5.0
2.9126544,4.7429442,4.0
2.3494864,4.4384184,3.6666667
3.6173398,5.0,4.0
3.7961621,4.9371724,4.0
2.517792,4.485382,4.6666665
3.0405092,4.8943977,4.6666665
3.20113,4.903592,5.0
2.775099,4.7024236,3.0
1.8971096,4.574616,4.3333335
3.4155192,5.0,4.0
2.717123,4.7118998,3.6666667
3.9500933,5.0,4.3333335
2.5133197,4.5915184,3.6666667
