low,up,y_test
1.4000000000000001,5.0,2.0
1.0,2.1,1.0
1.4000000000000001,5.0,2.0
2.4000000000000004,4.2,3.0
4.0,5.0,1.0
1.5,5.0,2.0
1.4000000000000001,5.0,4.0
1.4000000000000001,5.0,3.0
1.4000000000000001,5.0,4.0
1.4000000000000001,5.0,5.0
3.6,5.0,4.0
4.5,5.0,3.0
1.0,1.5,1.0
3.8000000000000003,5.0,5.0
1.0,2.3000000000000003,3.0
1.0,5.0,5.0
1.4000000000000001,5.0,5.0
1.5,5.0,3.0
1.0,1.5,1.0
1.4000000000000001,5.0,2.0
3.6,5.0,5.0
3.8000000000000003,5.0,4.0
3.6,5.0,1.0
1.4000000000000001,5.0,5.0
3.6,5.0,4.0
3.7,5.0,5.0
3.9000000000000004,5.0,5.0
3.7,5.0,5.0
3.6,5.0,4.0
3.7,5.0,5.0
3.7,5.0,5.0
3.6,5.0,5.0
3.6,5.0,5.0
1.4000000000000001,5.0,5.0
3.7,5.0,3.0
1.5,5.0,3.0
3.8000000000000003,5.0,3.0
1.5,5.0,3.0
1.0,4.4,4.0
2.6,3.9000000000000004,4.0
1.7000000000000002,2.6,3.0
1.0,4.7,5.0
3.6,5.0,5.0
1.4000000000000001,2.8000000000000003,3.0
1.1,4.2,1.0
3.9000000000000004,5.0,3.0
3.7,5.0,5.0
1.0,2.1,1.0
3.6,5.0,5.0
4.9,5.0,1.0
3.8000000000000003,5.0,4.0
3.7,5.0,5.0
1.4000000000000001,5.0,4.0
2.6,3.9000000000000004,1.0
3.7,5.0,5.0
3.6,5.0,5.0
1.4000000000000001,5.0,2.0
3.7,5.0,4.0
4.6000000000000005,5.0,5.0
1.8,3.4000000000000004,1.0
3.6,5.0,3.0
1.0,4.4,5.0
3.6,5.0,4.0
3.6,5.0,5.0
1.0,4.7,4.0
3.6,5.0,5.0
2.5,3.9000000000000004,5.0
4.7,5.0,3.0
1.0,3.0,2.0
1.5,3.0,1.0
3.7,5.0,5.0
1.0,1.6,3.0
3.7,5.0,5.0
3.7,5.0,5.0
1.4000000000000001,5.0,2.0
3.6,5.0,1.0
1.4000000000000001,5.0,2.0
1.4000000000000001,5.0,4.0
2.7,5.0,5.0
3.6,5.0,3.0
3.6,5.0,5.0
1.0,4.0,5.0
3.7,5.0,5.0
1.4000000000000001,5.0,4.0
3.7,5.0,5.0
3.7,5.0,4.0
2.6,5.0,5.0
1.0,4.7,2.0
3.9000000000000004,5.0,4.0
3.8000000000000003,5.0,5.0
3.7,5.0,5.0
1.0,2.8000000000000003,1.0
2.5,3.9000000000000004,4.0
3.7,5.0,4.0
3.6,5.0,4.0
3.7,5.0,5.0
2.0,3.4000000000000004,3.0
2.3000000000000003,4.6000000000000005,5.0
1.0,4.6000000000000005,3.0
1.0,4.7,3.0
3.7,5.0,5.0
1.6,5.0,3.0
3.8000000000000003,5.0,3.0
2.0,2.8000000000000003,5.0
1.0,4.7,3.0
