low,up,y_test
1.0,2.1,5.0
2.1,5.0,5.0
2.1,5.0,5.0
1.2000000000000002,2.2,5.0
2.2,5.0,5.0
2.1,5.0,5.0
2.2,5.0,5.0
2.6,5.0,2.0
1.0,2.1,1.0
1.8,5.0,2.0
2.2,5.0,5.0
1.3,2.3000000000000003,1.0
2.2,5.0,5.0
1.5,4.4,2.0
1.0,2.2,1.0
1.0,2.2,1.0
1.0,2.2,2.0
2.2,5.0,5.0
1.0,2.0,2.0
2.2,5.0,5.0
1.2000000000000002,2.3000000000000003,1.0
2.3000000000000003,5.0,5.0
2.1,5.0,5.0
2.2,5.0,5.0
2.1,5.0,5.0
1.0,2.4000000000000004,2.0
2.1,5.0,5.0
2.2,5.0,5.0
1.1,2.8000000000000003,5.0
2.2,5.0,5.0
2.2,5.0,5.0
1.0,1.2000000000000002,1.0
2.1,5.0,4.0
2.2,5.0,5.0
2.2,5.0,5.0
2.2,5.0,5.0
2.2,5.0,5.0
1.7000000000000002,3.7,2.0
2.2,5.0,5.0
2.1,5.0,5.0
1.8,5.0,5.0
1.0,2.1,2.0
2.3000000000000003,5.0,4.0
2.1,5.0,5.0
1.0,1.2000000000000002,1.0
2.2,5.0,5.0
2.2,5.0,5.0
1.2000000000000002,2.3000000000000003,2.0
2.1,5.0,5.0
2.2,5.0,5.0
2.2,5.0,5.0
1.0,2.2,1.0
2.2,5.0,5.0
2.2,5.0,1.0
1.0,1.2000000000000002,2.0
1.0,2.1,5.0
2.2,5.0,5.0
2.2,5.0,5.0
1.3,2.3000000000000003,5.0
1.0,2.1,1.0
2.2,5.0,4.0
1.0,2.0,1.0
2.2,5.0,5.0
1.0,2.3000000000000003,2.0
2.1,5.0,5.0
1.0,3.2,2.0
1.0,2.2,1.0
1.0,2.2,5.0
1.5,2.4000000000000004,2.0
2.1,5.0,5.0
1.8,4.9,2.0
2.2,5.0,5.0
1.0,2.2,1.0
2.2,5.0,5.0
1.0,2.2,1.0
2.1,5.0,5.0
1.8,5.0,5.0
2.9000000000000004,5.0,5.0
1.1,2.1,2.0
1.8,4.9,2.0
2.3000000000000003,5.0,2.0
2.2,5.0,1.0
2.2,5.0,5.0
2.2,5.0,5.0
2.2,5.0,5.0
2.1,5.0,5.0
1.0,1.9000000000000001,1.0
2.2,5.0,5.0
2.2,5.0,5.0
1.1,2.2,2.0
2.2,5.0,5.0
1.8,4.9,2.0
2.2,5.0,5.0
1.5,3.3000000000000003,2.0
2.2,5.0,5.0
1.6,3.4000000000000004,2.0
2.2,5.0,5.0
2.2,5.0,5.0
2.2,5.0,5.0
2.6,5.0,5.0
