low,up,y_test
1.0,4.000026561398887,1.0
1.0,4.000026561398887,3.0
1.0,4.000026561398887,1.0
1.0,5.0,4.0
1.0,4.000026561398887,5.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,4.000026561398887,2.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,4.000026561398887,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398887,4.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,4.000026561398887,5.0
1.0,4.000026561398887,3.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.000026561398887,2.0
1.0,4.000026561398887,2.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398887,3.0
1.0,5.0,4.0
1.0,4.000026561398887,2.0
1.0,4.000026561398887,4.0
1.0,4.000026561398887,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.000026561398887,1.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,4.000026561398887,5.0
1.0,4.000026561398887,2.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398887,3.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,4.000026561398887,1.0
1.0,4.000026561398887,1.0
1.0,4.000026561398887,3.0
1.0,5.0,5.0
1.0,4.000026561398887,3.0
1.0,5.0,4.0
1.0,4.000026561398887,3.0
1.0,5.0,4.0
1.0,4.000026561398887,2.0
1.0,4.000026561398887,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.000026561398887,3.0
1.0,4.000026561398887,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398887,5.0
1.0,4.000026561398887,5.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398887,1.0
1.0,4.000026561398887,2.0
1.0,4.000026561398887,3.0
1.0,4.000026561398887,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.000026561398887,5.0
1.0,5.0,2.0
