low,up,y_test
1.8523521423339844,5.0,4.0
1.0,3.7610552310943604,3.0
1.0,4.141125679016113,3.0
1.0,4.914648532867432,1.0
1.0880942344665527,5.0,3.0
1.0941104888916016,5.0,2.0
1.0,4.2807042598724365,4.0
1.0,4.090043544769287,1.0
1.6353318691253662,5.0,3.0
1.0,3.7304248809814453,2.0
1.0,4.318865537643433,1.0
1.0,4.811777353286743,2.0
2.0514278411865234,5.0,5.0
1.2007429599761963,5.0,5.0
1.0,3.98282527923584,1.0
1.0,4.605098485946655,1.0
1.0,5.0,3.0
1.3596827983856201,5.0,5.0
1.0,4.0750954151153564,3.0
1.0,5.0,1.0
1.0,3.884887933731079,1.0
1.0,4.457163572311401,3.0
1.0,4.356342554092407,4.0
1.0,4.944918394088745,4.0
1.0,4.024960041046143,5.0
1.0,3.6997594833374023,4.0
1.0,4.280588150024414,1.0
1.0,4.3956005573272705,4.0
1.1178953647613525,5.0,5.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,4.677589654922485,5.0
1.0,5.0,4.0
1.0,4.54298734664917,1.0
1.0,4.222868919372559,1.0
1.7375657558441162,5.0,3.0
1.8172435760498047,5.0,5.0
1.0343902111053467,5.0,4.0
1.0,4.02301812171936,1.0
1.0,4.183238744735718,1.0
1.0,4.066637754440308,3.0
1.0,3.816009521484375,1.0
1.0,3.4860026836395264,1.0
1.0,3.938433885574341,4.0
1.1305274963378906,5.0,5.0
1.0,4.415874719619751,3.0
1.0,3.7593586444854736,1.0
1.0,3.8943662643432617,1.0
1.0,4.638909578323364,4.0
1.0,3.965485095977783,1.0
1.8120157718658447,5.0,1.0
1.0,3.89522647857666,1.0
1.0,2.923896610736847,1.0
1.0,4.98688817024231,2.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,4.697913885116577,4.0
1.0,3.9668655395507812,4.0
1.0,3.686220407485962,2.0
1.0,4.220008611679077,1.0
1.0,4.464189052581787,1.0
1.0,4.886694669723511,5.0
1.0,3.282602071762085,4.0
1.0,3.7554728984832764,2.0
1.0,5.0,1.0
1.0,4.301815986633301,1.0
1.0,5.0,3.0
1.0,4.730824708938599,4.0
1.6144239902496338,5.0,4.0
1.8650305271148682,5.0,4.0
1.0,4.861542224884033,3.0
1.3735895156860352,5.0,3.0
1.0593688488006592,5.0,4.0
1.0732667446136475,5.0,1.0
1.5415689945220947,5.0,3.0
1.0,3.6469576358795166,1.0
1.0,4.530907869338989,3.0
1.4411261081695557,5.0,5.0
1.0,4.003797292709351,1.0
1.8269553184509277,5.0,5.0
1.0,5.0,1.0
2.1246042251586914,5.0,3.0
1.0,4.9463951587677,1.0
1.0,4.252208471298218,1.0
1.8631670475006104,5.0,5.0
1.0,4.506837368011475,1.0
1.0,4.050626516342163,1.0
1.0,4.783766984939575,1.0
2.1465907096862793,5.0,4.0
1.0,4.707359313964844,1.0
1.185227632522583,5.0,3.0
1.0,5.0,4.0
1.0,4.178381681442261,1.0
1.4431259632110596,5.0,2.0
1.8224763870239258,5.0,5.0
1.0,5.0,1.0
1.0,3.9703187942504883,1.0
