low,up,y_test
1.0,4.90622091293335,2.0
1.0,4.078765869140625,3.0
2.6126527786254883,5.0,4.0
2.430889368057251,5.0,5.0
1.0,3.465916156768799,1.0
1.0,3.388049840927124,2.0
1.9674733877182007,5.0,5.0
1.0,4.0931620597839355,3.0
2.6581687927246094,5.0,1.0
1.0,4.0421648025512695,1.0
2.6599807739257812,5.0,4.0
2.4767439365386963,5.0,4.0
1.0,4.789752960205078,3.0
2.7327611446380615,5.0,4.0
1.0,3.552560567855835,1.0
1.0,4.809354305267334,1.0
2.1946094036102295,5.0,4.0
1.0,4.036944389343262,2.0
1.0,3.4991455078125,1.0
1.0,3.365370273590088,1.0
1.0,5.0,3.0
1.0,3.399848461151123,2.0
1.0,4.2196269035339355,5.0
2.2302470207214355,4.745582103729248,1.0
2.892162799835205,5.0,5.0
1.0,4.510725975036621,1.0
2.6193630695343018,5.0,3.0
1.0,3.43741774559021,1.0
2.604428291320801,5.0,5.0
2.16865611076355,5.0,1.0
1.0,4.793630599975586,1.0
2.35575008392334,5.0,5.0
1.9787060022354126,5.0,1.0
1.0,3.454906702041626,3.0
2.2287039756774902,5.0,1.0
1.0,3.4583237171173096,3.0
1.0,4.958869457244873,1.0
2.1151676177978516,5.0,4.0
1.0,4.343949794769287,1.0
2.172395944595337,5.0,2.0
1.0,4.119593143463135,3.0
1.0,4.284748554229736,1.0
2.3819565773010254,5.0,4.0
1.0,3.535332202911377,1.0
1.0,3.580047369003296,1.0
2.947063446044922,4.509844779968262,3.0
1.0,3.642674684524536,1.0
1.0,4.527132034301758,1.0
2.385160207748413,5.0,4.0
1.0,3.414381980895996,4.0
1.0,3.413193941116333,1.0
2.6394107341766357,5.0,4.0
1.0,4.699272155761719,1.0
1.0,4.57484245300293,1.0
1.0,4.2610764503479,3.0
1.7863404750823975,5.0,5.0
1.0,4.081305980682373,3.0
1.0,3.223625898361206,3.0
2.1798367500305176,5.0,5.0
1.0,4.509690284729004,1.0
2.476853847503662,5.0,1.0
1.0,4.226624488830566,1.0
1.0,3.428201913833618,1.0
1.0,3.5539448261260986,1.0
1.0,4.561305999755859,5.0
1.0,3.3609580993652344,2.0
1.0,5.0,2.0
1.0,3.7294044494628906,1.0
1.0,3.626840829849243,1.0
1.0,4.21547794342041,5.0
1.0,5.0,5.0
1.0,3.3635849952697754,1.0
1.0,3.426954507827759,1.0
1.0,4.829671859741211,3.0
1.9081405401229858,5.0,3.0
2.2654247283935547,5.0,4.0
2.3886094093322754,5.0,4.0
1.0,3.6263926029205322,1.0
1.0,3.4236323833465576,1.0
1.0,3.584652900695801,3.0
1.0,5.0,2.0
2.654437780380249,5.0,4.0
1.0,3.4277422428131104,1.0
1.0,4.085379600524902,1.0
1.0,3.191581964492798,1.0
1.0,3.3598735332489014,1.0
1.7021195888519287,5.0,1.0
1.0,4.036762714385986,4.0
1.0,3.4287612438201904,1.0
1.0,3.4788601398468018,3.0
1.0,5.0,4.0
2.5565009117126465,5.0,5.0
2.482621908187866,4.712581157684326,2.0
1.0,3.5591187477111816,5.0
1.0,5.0,3.0
1.0,3.2883193492889404,2.0
2.2025558948516846,5.0,3.0
1.7669525146484375,5.0,5.0
