low,up,y_test
1.5038904,5.0,4.0
1.2864803,5.0,5.0
1.0,4.743966,5.0
1.0,3.0255916,1.0
1.0,3.572041,5.0
1.4723378,5.0,5.0
1.0443227,5.0,1.0
1.0014848,4.8602715,3.0
1.0,3.521597,4.0
1.3766414,4.801474,3.0
1.0,2.8315444,3.0
1.171167,4.2033014,4.0
1.0,3.36545,4.0
1.0,3.0464911,1.0
1.0,3.0244925,1.0
1.0501261,5.0,5.0
1.0033326,3.0790524,3.0
1.3533887,4.701719,4.0
1.0,4.2744236,1.0
1.0009234,4.413168,1.0
1.0,4.2744236,2.0
1.4822431,5.0,1.0
1.0,3.5881944,5.0
1.3564408,4.713807,1.0
1.0972455,4.0351267,4.0
1.0,3.134613,3.0
1.0443227,5.0,4.0
1.0,4.893677,3.0
1.2830985,5.0,5.0
1.0280106,4.8056116,1.0
1.5024798,5.0,1.0
1.472516,5.0,5.0
1.5126786,5.0,4.0
1.0,2.88584,1.0
1.0,3.006555,1.0
1.2666084,5.0,4.0
1.5126786,5.0,1.0
1.0448632,4.6200156,3.0
1.2420847,5.0,4.0
1.0165596,2.9726145,1.0
1.0038059,2.9918892,1.0
1.5126786,5.0,5.0
1.2818172,5.0,3.0
1.014332,3.0034034,1.0
1.0,3.4399986,4.0
1.425863,5.0,4.0
1.008292,3.0163157,1.0
1.0,3.369134,3.0
1.3831863,4.834538,4.0
1.2467065,5.0,5.0
1.1040804,4.3704844,4.0
1.0230668,4.782469,3.0
1.0145626,4.409288,3.0
1.0443227,5.0,1.0
1.0,3.5662737,2.0
1.0,4.7851763,4.0
1.0195632,2.9569132,3.0
1.0,3.460219,1.0
1.0,2.8685608,1.0
1.4840891,5.0,2.0
1.0168213,4.904426,1.0
1.013771,2.9602306,1.0
1.0072114,3.0107796,1.0
1.0,4.0899324,2.0
1.0,3.6737216,3.0
1.0108061,4.969561,3.0
1.5126786,5.0,1.0
1.0,3.1464942,1.0
1.0413347,4.603594,4.0
1.5126786,5.0,4.0
1.0,2.912726,1.0
1.5126786,5.0,5.0
1.19199,4.2941666,3.0
1.0,3.1106396,3.0
1.0,3.5836847,1.0
1.0460987,5.0,1.0
1.0,4.4341493,2.0
1.0163449,4.751055,3.0
1.0,3.249539,1.0
1.1556236,4.14037,4.0
1.2911584,4.455076,4.0
1.009796,3.0240908,1.0
1.246181,5.0,5.0
1.0056252,3.0027256,3.0
1.5126786,5.0,3.0
1.4821001,5.0,1.0
1.0,3.7784352,4.0
1.0420033,4.978329,1.0
1.0,3.52638,5.0
1.0026482,4.8274364,3.0
1.5126786,5.0,5.0
1.0,4.101302,4.0
1.0144432,4.381547,1.0
1.0333339,3.9034534,5.0
1.001039,3.8089423,2.0
1.5126786,5.0,5.0
1.0,3.4219654,1.0
1.3096467,4.794151,1.0
