low,up,y_test
3.3306246,5.0,5.0
2.780771,5.0,4.0
2.576373,4.351763,3.0
2.8560667,5.0,5.0
2.8029745,5.0,3.0
3.286868,5.0,4.0
2.6795595,4.3740416,2.0
3.5262995,5.0,5.0
3.2763953,5.0,5.0
3.2711215,5.0,5.0
3.4083676,5.0,4.0
3.3362541,5.0,5.0
2.6300342,4.6287794,4.0
2.578148,4.6007786,3.0
3.3242917,5.0,5.0
2.68048,4.403633,2.0
3.2655592,5.0,5.0
3.4269512,5.0,5.0
3.2405534,5.0,4.0
2.990632,5.0,4.0
3.077734,5.0,4.0
2.7673764,4.63107,5.0
1.0,2.858368,3.0
3.2674837,5.0,5.0
1.1984514,3.1310115,3.0
3.3770618,5.0,5.0
3.1230505,5.0,4.0
2.5113425,3.886796,5.0
3.3489194,5.0,4.0
2.771161,4.8265486,4.0
2.6151419,4.702318,4.0
3.2918956,5.0,5.0
3.3819861,5.0,5.0
3.2693381,5.0,4.0
3.4049885,5.0,4.0
1.8482962,4.148755,2.0
3.4319558,5.0,5.0
2.7749224,4.854251,2.0
3.4043117,5.0,5.0
2.3954327,3.4803984,3.0
3.3636944,5.0,5.0
2.569168,4.53415,4.0
3.282758,5.0,4.0
2.5838492,3.966465,4.0
3.3320327,5.0,5.0
3.3629913,5.0,5.0
1.8482957,4.148754,2.0
3.2927432,5.0,5.0
3.077734,5.0,5.0
2.7673848,4.7497654,3.0
3.5262995,5.0,5.0
3.286869,5.0,4.0
3.0249617,5.0,4.0
3.293427,5.0,4.0
2.758542,4.9256096,5.0
3.3658051,5.0,5.0
3.5262995,5.0,5.0
3.2844262,5.0,4.0
3.355252,5.0,5.0
3.2791307,5.0,5.0
2.781675,5.0,5.0
2.8293772,5.0,5.0
3.4226604,5.0,5.0
1.8482957,4.148754,3.0
3.18229,5.0,5.0
3.283226,5.0,5.0
2.79284,5.0,4.0
2.429114,3.9655657,4.0
2.594904,4.5291977,3.0
3.2949927,5.0,4.0
3.4412522,5.0,4.0
3.5262995,5.0,5.0
3.3362541,5.0,3.0
1.1031157,2.956364,2.0
2.6101902,4.651966,3.0
3.2531075,5.0,5.0
