low,up,y_test
1.9205463,5.0,5.0
1.0,2.2996356,2.0
1.6192945,4.5194798,2.0
1.9205453,5.0,5.0
1.5639502,4.3735633,2.0
1.9205463,5.0,5.0
1.9080781,5.0,5.0
1.0,2.8696852,1.0
1.0,2.7983432,1.0
1.9205463,5.0,5.0
1.9205463,5.0,1.0
1.9205463,5.0,2.0
1.9205463,5.0,5.0
1.0075142,3.501373,2.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205463,5.0,4.0
1.0,4.1089272,2.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205462,5.0,5.0
1.9205463,5.0,5.0
1.9205455,5.0,5.0
1.9205463,5.0,2.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.0,2.4514403,1.0
1.9205463,5.0,1.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205462,5.0,4.0
1.0,3.5933256,5.0
1.9205462,5.0,5.0
1.9205455,5.0,5.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205463,5.0,1.0
1.9205463,5.0,5.0
1.0,4.1089277,1.0
1.920545,5.0,2.0
1.0,2.6751614,2.0
1.0,3.1093345,1.0
1.9205463,5.0,5.0
1.0,2.3847282,2.0
1.0,2.339173,2.0
1.4842805,5.0,2.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205462,5.0,5.0
1.0,2.6091683,2.0
1.8222512,5.0,2.0
1.9205462,5.0,5.0
1.864135,4.9866285,4.0
1.9205463,5.0,5.0
1.0,2.8607428,1.0
1.9205462,5.0,5.0
1.0,2.452798,1.0
1.0,3.541264,1.0
1.9205463,5.0,5.0
1.9205462,5.0,5.0
1.9205463,5.0,5.0
1.9205462,5.0,5.0
1.9205458,5.0,5.0
1.0,3.379394,1.0
1.0,2.4375825,2.0
1.0,4.9814115,2.0
1.0,2.6336422,2.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.0,3.536138,2.0
1.0,4.108927,1.0
1.0,4.9814115,5.0
1.9205462,5.0,5.0
1.0,2.484056,1.0
1.9140639,5.0,5.0
1.0,2.4296072,2.0
1.0,2.6915739,2.0
1.7377857,4.755943,5.0
1.0,2.3591325,2.0
1.9205453,5.0,5.0
1.0,3.071129,1.0
1.0,2.510579,2.0
1.0,3.0186563,5.0
1.9205455,5.0,5.0
1.0,2.433892,2.0
1.0,2.9166617,2.0
1.4769251,4.134675,2.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.9205463,5.0,5.0
1.0,2.4897594,2.0
1.0,3.3461866,2.0
1.0,3.2290645,2.0
1.0,3.598297,2.0
1.0,2.3654866,1.0
1.0,2.7879982,5.0
1.0,4.949851,5.0
