low,up,y_test
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,3.0000531227977745,4.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,3.0000531227977745,3.0
1.0,3.0000531227977745,1.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,3.0000531227977745,2.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,1.0
