low,up,y_test
2.270076274871826,5.0,4.0
1.0,4.10680627822876,2.0
1.0,3.431894540786743,1.0
1.0,5.0,1.0
1.0,3.5609569549560547,1.0
2.3130741119384766,5.0,3.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,3.413609743118286,3.0
1.0,4.345535755157471,3.0
1.0,4.599941253662109,4.0
1.0,4.473994731903076,2.0
1.0,3.5114123821258545,1.0
1.0,4.6318840980529785,5.0
1.0,3.4351983070373535,4.0
1.7869187593460083,5.0,5.0
1.0,3.4360568523406982,1.0
1.0,3.756601333618164,2.0
1.0,5.0,4.0
1.0,3.377058506011963,1.0
1.0,4.6193156242370605,4.0
1.0,4.781986713409424,3.0
1.0,5.0,4.0
1.0,3.428682565689087,3.0
1.0,3.3731861114501953,3.0
1.0,3.3235855102539062,3.0
1.0,3.3694417476654053,1.0
1.0,3.3690478801727295,1.0
1.0,4.94718599319458,1.0
1.0,5.0,4.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,4.95662784576416,3.0
1.0,5.0,5.0
2.0466365814208984,5.0,4.0
1.0,5.0,5.0
1.7746869325637817,5.0,3.0
1.0,3.318222999572754,1.0
1.7869187593460083,5.0,1.0
1.0,3.330160140991211,2.0
1.0,3.377058982849121,1.0
1.0,3.395258903503418,1.0
2.0457873344421387,5.0,5.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,3.742237091064453,3.0
2.0043063163757324,5.0,4.0
1.0,5.0,5.0
1.0,3.613447427749634,3.0
1.0,4.592296123504639,5.0
1.0,5.0,3.0
1.0,3.3733370304107666,1.0
1.0,3.3542261123657227,1.0
1.0,5.0,4.0
1.0,3.4472084045410156,3.0
1.0,3.3297648429870605,1.0
1.0,3.61234712600708,1.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,3.3154830932617188,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,1.0
1.0,5.0,5.0
2.025545835494995,5.0,1.0
1.0,3.5595333576202393,3.0
1.0,4.609087944030762,4.0
2.0029234886169434,5.0,5.0
1.0,3.40928316116333,1.0
1.0,5.0,4.0
1.0,3.3406431674957275,1.0
1.0,5.0,2.0
1.0,3.422830581665039,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,3.3844048976898193,3.0
1.0,5.0,1.0
1.0,3.426231622695923,1.0
1.0,4.959411144256592,2.0
1.0,5.0,1.0
1.7753181457519531,5.0,1.0
1.0,5.0,2.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,4.0
2.6313085556030273,5.0,2.0
1.0,4.9387125968933105,5.0
1.0,3.53894305229187,1.0
1.0,3.737461805343628,1.0
1.0,5.0,5.0
1.0,3.418316602706909,2.0
