y_qlow,y_qup,y_test
2.39,5.0,4.33
2.89,4.81,4.33
2.23,4.51,2.67
2.18,4.7,1.67
3.24,5.0,2.0
2.23,4.35,1.67
2.8,4.97,2.67
1.78,4.09,3.33
2.14,4.65,3.67
2.17,4.69,5.0
2.07,4.64,4.0
2.56,5.0,4.0
1.0,2.84,2.0
1.34,3.65,4.0
1.39,3.15,2.33
2.29,5.0,3.67
2.49,4.86,4.67
1.64,3.99,2.0
3.27,5.0,5.0
3.65,5.0,4.33
3.15,5.0,4.33
2.27,4.4,3.0
1.9,4.19,3.33
1.91,4.5,3.33
1.95,4.53,2.33
3.26,5.0,3.67
1.54,3.75,1.67
3.1,5.0,4.33
1.0,3.03,1.67
2.1,4.63,4.33
2.41,5.0,2.67
2.93,5.0,2.67
3.51,5.0,3.67
2.3,4.79,3.33
3.29,5.0,4.0
2.17,4.69,3.67
2.16,4.71,4.0
3.24,5.0,4.67
1.0,3.01,1.67
2.59,4.91,4.33
1.01,3.12,2.33
2.21,5.0,5.0
1.81,4.09,1.67
3.2,5.0,4.33
1.84,4.46,2.67
3.25,5.0,4.0
3.27,5.0,3.33
2.61,5.0,4.0
2.04,4.58,2.67
2.29,5.0,2.67
2.24,4.72,5.0
1.53,3.72,1.67
1.91,4.48,4.67
3.27,5.0,3.0
2.28,4.78,4.33
1.81,4.46,4.0
1.77,4.14,4.0
1.66,4.03,4.0
2.21,4.71,3.0
1.43,3.77,2.67
2.27,5.0,4.0
2.21,4.71,4.0
2.02,4.67,4.33
3.48,5.0,4.33
3.52,5.0,1.0
2.44,4.78,1.67
3.16,5.0,5.0
2.43,5.0,3.67
2.32,4.86,3.33
1.8,4.1,1.67
2.17,4.7,2.67
1.97,4.23,3.67
1.89,4.47,2.33
2.06,4.63,2.0
2.31,4.82,4.0
3.47,5.0,3.67
1.63,4.02,3.0
1.0,2.83,1.67
1.0,3.09,2.33
2.27,4.76,4.33
2.28,4.8,3.67
2.17,4.69,3.0
2.02,4.57,3.33
2.24,4.83,2.67
2.6,5.0,4.67
1.0,2.97,4.33
2.4,4.41,1.67
1.55,3.75,5.0
3.26,5.0,3.0
2.4,4.79,1.67
2.05,4.62,4.33
2.57,5.0,4.33
1.59,4.09,3.67
3.14,5.0,5.0
1.0,2.96,2.33
1.33,3.72,1.67
2.15,4.65,5.0
1.88,4.18,5.0
3.95,5.0,5.0
2.25,4.72,3.33
2.24,4.72,3.0
2.26,5.0,3.33
2.17,4.7,4.67
1.89,4.47,3.0
2.13,4.4,2.33
2.12,4.65,3.67
2.15,4.66,4.0
2.23,4.73,3.33
2.26,4.73,4.0
2.17,5.0,4.33
1.88,4.49,3.67
3.42,5.0,4.33
2.33,4.81,2.33
2.25,5.0,4.0
2.1,4.42,1.67
2.27,5.0,4.33
2.15,4.68,4.67
2.35,4.78,3.67
2.09,4.65,4.33
2.2,4.77,5.0
2.59,4.89,4.33
1.37,3.76,2.33
1.59,3.97,4.67
2.13,4.66,3.0
2.28,4.74,2.67
1.0,2.75,2.0
1.1,4.48,1.33
1.78,4.22,2.33
2.64,5.0,4.33
3.22,4.99,4.0
3.02,5.0,4.33
1.78,4.12,2.33
3.42,5.0,3.67
3.21,5.0,3.0
1.27,3.28,1.67
3.69,5.0,4.33
2.13,4.64,2.33
3.13,5.0,3.0
2.26,4.75,3.67
2.24,4.76,5.0
2.94,4.99,5.0
1.38,3.78,2.33
2.91,4.92,4.33
2.3,4.55,2.67
1.0,2.78,1.33
1.0,2.87,2.33
1.72,4.24,4.0
2.17,4.7,2.33
1.94,4.45,2.67
2.28,5.0,4.67
2.28,4.75,2.0
1.86,4.74,5.0
1.8,4.42,3.0
1.95,4.53,3.0
2.23,4.76,5.0
1.19,3.04,3.33
2.5,4.86,4.0
2.44,5.0,4.33
1.94,4.19,3.67
1.14,3.42,3.67
1.44,3.28,1.67
1.46,3.51,3.33
2.04,4.74,5.0
2.79,5.0,5.0
3.23,5.0,4.33
2.06,4.63,2.67
3.54,5.0,5.0
1.62,4.0,1.33
2.19,4.72,4.33
2.28,4.79,4.33
2.29,5.0,2.67
3.33,5.0,3.67
2.06,4.62,3.33
2.6,5.0,4.67
2.18,4.71,4.0
2.26,4.76,5.0
2.89,4.85,3.33
1.87,4.22,4.33
2.17,4.69,2.67
1.03,3.67,4.0
2.4,4.86,4.0
2.27,4.43,5.0
1.83,4.69,3.0
2.88,5.0,4.67
1.86,4.45,5.0
3.3,5.0,5.0
1.59,4.1,1.67
2.16,4.7,3.33
3.27,5.0,4.0
3.25,5.0,4.67
3.31,5.0,4.67
1.93,4.2,4.67
3.27,5.0,4.33
1.36,3.19,4.0
2.04,4.69,4.0
1.9,4.3,3.67
2.5,5.0,4.33
1.83,4.12,3.0
3.34,5.0,4.33
1.87,4.46,2.33
2.3,4.78,3.33
3.27,5.0,2.67
3.28,5.0,3.67
1.67,4.22,1.0
2.15,4.69,4.67
1.65,3.96,3.0
2.49,5.0,5.0
3.11,4.99,4.0
2.2,5.0,4.33
2.24,5.0,5.0
1.28,4.92,2.0
3.31,5.0,4.67
3.27,5.0,4.67
2.2,4.41,4.67
2.34,4.84,4.33
1.3,3.06,1.33
3.27,5.0,2.33
2.74,5.0,3.0
2.49,4.86,3.67
2.17,4.74,5.0
1.77,4.1,1.0
2.46,4.5,3.0
1.83,4.44,4.0
2.07,4.34,4.67
1.62,5.0,4.67
1.81,4.25,4.0
2.52,4.9,4.33
2.75,4.92,4.0
1.58,3.91,3.0
3.29,5.0,4.0
1.21,3.39,1.67
3.27,5.0,4.33
1.85,4.24,1.67
1.68,4.37,3.33
1.69,4.2,2.33
3.95,5.0,4.67
2.4,4.88,4.0
2.33,5.0,3.33
3.22,5.0,5.0
2.14,4.65,2.67
3.9,5.0,4.33
1.43,3.44,4.33
2.03,4.57,2.0
1.81,4.36,3.33
3.24,5.0,2.67
1.17,3.24,3.67
2.27,4.78,2.33
2.23,4.7,1.67
2.13,4.35,4.33
2.28,5.0,5.0
2.21,5.0,4.33
1.79,4.25,2.0
2.19,4.78,3.67
2.22,4.71,4.67
1.93,4.33,2.33
2.84,5.0,4.67
2.01,4.43,2.67
2.18,5.0,3.33
2.16,4.75,3.33
2.07,4.58,4.0
2.18,4.79,2.33
2.24,4.77,3.67
2.23,5.0,3.0
2.64,5.0,4.33
1.75,4.27,3.33
3.15,5.0,3.33
2.37,4.79,3.0
2.64,5.0,2.67
2.11,4.68,4.33
2.29,4.83,3.0
2.22,4.5,4.0
1.22,3.3,1.0
1.37,3.73,2.0
2.17,5.0,4.0
1.21,2.89,2.0
2.79,5.0,3.33
2.23,4.8,3.67
2.29,4.46,2.67
1.84,4.44,3.33
2.94,5.0,4.33
1.53,4.11,2.33
2.34,4.74,5.0
2.24,4.74,3.67
1.27,3.07,2.67
1.0,2.65,1.33
2.22,4.72,4.67
2.21,4.72,3.67
1.7,4.47,4.33
2.21,4.81,4.33
1.57,3.81,1.0
1.73,5.0,4.0
3.42,5.0,4.33
2.2,4.75,2.67
2.41,5.0,4.33
1.22,3.41,2.0
2.34,5.0,4.67
3.23,5.0,5.0
2.81,5.0,3.33
2.25,5.0,4.33
1.29,3.6,5.0
1.52,4.14,3.33
1.49,3.57,2.33
3.14,5.0,4.33
1.62,3.87,2.0
2.11,4.68,2.67
3.17,5.0,4.67
2.09,4.64,3.0
3.27,5.0,4.33
2.06,4.62,3.33
1.95,4.42,1.67
3.41,5.0,3.67
1.72,4.24,3.33
2.5,4.45,2.67
3.12,4.99,4.33
1.3,3.71,4.67
1.34,3.72,3.0
2.9,4.84,3.67
2.42,5.0,4.33
1.49,3.57,1.67
1.33,3.6,3.0
1.96,4.56,4.0
1.86,4.53,2.33
3.24,5.0,4.67
1.8,4.24,4.33
1.92,4.56,3.67
1.47,3.37,2.33
3.2,5.0,5.0
3.29,5.0,5.0
3.26,5.0,4.0
1.58,3.86,3.0
1.33,3.76,4.33
1.59,3.75,2.67
2.34,4.85,3.67
3.59,5.0,4.67
1.15,3.12,1.67
3.12,5.0,4.33
2.36,4.76,3.67
1.18,2.93,2.33
3.25,5.0,2.67
1.0,3.11,3.33
2.03,4.58,3.33
1.67,4.09,3.0
1.62,4.32,2.33
1.92,4.73,3.0
3.19,5.0,4.0
2.13,4.66,3.33
1.19,3.26,2.0
1.75,4.08,1.67
2.2,4.71,3.33
3.32,5.0,2.67
1.52,3.51,1.33
2.22,4.72,2.33
1.92,4.33,3.0
1.0,2.67,1.33
2.54,4.87,2.67
2.26,5.0,2.33
2.15,4.67,4.67
1.86,4.14,3.67
2.22,4.71,4.67
2.29,4.82,4.33
3.37,5.0,4.33
