y_qlow,y_qup,y_test
4.2,5.0,5.0
4.2,5.0,5.0
4.11,5.0,4.33
4.32,5.0,5.0
4.18,5.0,4.67
4.19,5.0,5.0
4.18,5.0,4.67
4.06,5.0,5.0
3.16,5.0,5.0
4.31,5.0,5.0
4.23,5.0,5.0
4.0,5.0,5.0
4.35,5.0,5.0
4.27,5.0,5.0
4.36,5.0,5.0
4.31,5.0,5.0
4.02,5.0,5.0
4.33,5.0,4.0
4.28,5.0,5.0
4.32,5.0,5.0
4.25,5.0,5.0
4.06,5.0,5.0
4.27,5.0,5.0
4.25,5.0,5.0
4.39,5.0,5.0
4.28,5.0,3.67
4.02,5.0,5.0
4.13,5.0,4.67
4.53,5.0,2.67
4.24,5.0,4.33
4.02,5.0,4.33
3.02,5.0,4.67
4.29,5.0,4.67
3.91,5.0,4.33
2.92,5.0,4.67
4.27,5.0,5.0
3.78,5.0,5.0
4.42,5.0,5.0
4.28,5.0,5.0
4.13,5.0,3.0
4.32,5.0,5.0
4.34,5.0,5.0
4.26,5.0,5.0
4.2,5.0,4.0
4.09,5.0,5.0
4.03,5.0,5.0
4.21,5.0,4.67
3.95,5.0,5.0
3.76,5.0,4.67
4.23,5.0,4.67
4.31,5.0,5.0
4.08,5.0,5.0
4.27,5.0,5.0
3.62,5.0,5.0
4.2,5.0,4.67
4.26,5.0,4.33
4.28,5.0,5.0
4.06,5.0,3.67
2.04,4.69,5.0
2.03,5.0,5.0
3.98,5.0,5.0
4.28,5.0,5.0
4.07,5.0,5.0
4.25,5.0,5.0
4.08,5.0,5.0
4.27,5.0,5.0
2.56,5.0,5.0
4.26,5.0,5.0
3.86,5.0,5.0
3.93,5.0,5.0
4.36,5.0,4.33
2.94,5.0,5.0
4.17,5.0,5.0
3.71,5.0,4.0
3.91,5.0,5.0
4.29,5.0,5.0
3.71,5.0,5.0
2.61,5.0,3.0
4.04,5.0,1.67
3.79,5.0,5.0
4.04,5.0,5.0
4.16,5.0,5.0
4.25,5.0,5.0
4.42,5.0,5.0
3.53,5.0,5.0
4.29,5.0,5.0
4.16,5.0,2.67
4.04,5.0,5.0
4.23,5.0,5.0
4.16,5.0,5.0
4.12,5.0,5.0
4.3,5.0,5.0
4.2,5.0,5.0
1.77,3.08,1.67
3.93,5.0,4.67
4.38,5.0,5.0
4.43,5.0,5.0
4.29,5.0,5.0
4.25,5.0,5.0
4.38,5.0,5.0
4.08,5.0,5.0
4.15,5.0,5.0
4.13,5.0,4.33
3.98,5.0,5.0
4.17,5.0,4.67
4.29,5.0,5.0
4.26,5.0,4.33
4.33,5.0,5.0
4.44,5.0,5.0
3.56,5.0,4.0
3.87,5.0,5.0
4.32,5.0,5.0
4.15,5.0,5.0
4.06,5.0,5.0
3.85,5.0,5.0
4.25,5.0,5.0
4.1,5.0,4.0
4.21,5.0,5.0
3.95,5.0,5.0
4.33,5.0,5.0
4.26,5.0,5.0
4.2,5.0,5.0
4.03,5.0,5.0
4.27,5.0,5.0
4.27,5.0,4.0
4.07,5.0,5.0
4.22,5.0,5.0
4.11,5.0,4.67
4.27,5.0,5.0
4.36,5.0,5.0
4.62,5.0,5.0
2.41,5.0,4.0
3.98,5.0,4.33
4.21,5.0,3.67
4.19,5.0,5.0
3.87,5.0,3.0
4.18,5.0,4.33
3.91,5.0,5.0
1.1,4.91,2.0
4.22,5.0,4.67
4.17,5.0,5.0
3.58,5.0,5.0
3.93,5.0,5.0
4.08,5.0,5.0
4.26,5.0,5.0
3.87,5.0,5.0
4.45,5.0,4.67
4.03,5.0,5.0
3.17,5.0,5.0
4.03,5.0,4.67
1.25,4.87,4.33
3.82,5.0,4.67
2.62,5.0,4.0
2.52,5.0,4.33
3.86,5.0,5.0
4.3,5.0,5.0
4.01,5.0,5.0
1.75,3.08,1.67
4.34,5.0,5.0
4.2,5.0,5.0
3.79,5.0,5.0
4.29,5.0,5.0
4.2,5.0,4.33
4.21,5.0,5.0
4.14,5.0,5.0
4.29,5.0,5.0
4.06,5.0,4.67
3.93,5.0,3.67
3.9,5.0,5.0
4.24,5.0,5.0
4.06,5.0,4.67
4.25,5.0,5.0
4.39,5.0,5.0
3.85,5.0,5.0
4.35,5.0,5.0
3.85,5.0,5.0
1.84,3.51,1.0
3.83,5.0,5.0
4.15,5.0,5.0
4.32,5.0,5.0
4.29,5.0,5.0
