y_qlow,y_qup,y_test
3.4,5.0,3.67
3.33,5.0,4.67
2.5,4.71,3.67
2.85,4.84,3.67
3.3,5.0,3.67
3.05,4.9,2.33
3.48,5.0,4.0
2.56,4.65,2.33
2.95,5.0,4.0
2.75,5.0,4.33
2.93,4.98,4.33
2.97,4.92,3.33
1.48,3.47,3.33
2.14,4.45,3.33
2.25,4.41,2.33
3.08,5.0,4.0
2.6,5.0,4.33
2.19,4.48,3.67
3.38,5.0,5.0
3.43,5.0,4.33
2.86,5.0,5.0
2.97,4.95,4.33
2.5,4.64,3.33
2.8,5.0,4.67
2.53,4.75,2.67
3.4,5.0,4.33
2.23,4.42,3.67
3.21,5.0,4.0
1.29,3.4,1.67
2.95,5.0,4.33
3.44,5.0,4.33
2.77,5.0,4.0
2.89,5.0,4.0
2.82,5.0,4.0
3.35,5.0,4.33
2.96,5.0,3.67
3.25,5.0,4.0
3.46,5.0,4.67
1.59,3.51,2.67
3.41,5.0,4.67
1.79,4.16,3.67
2.95,5.0,4.67
2.22,4.38,2.67
3.16,5.0,4.33
2.92,5.0,3.67
3.43,5.0,3.33
3.52,5.0,4.0
3.01,5.0,4.33
3.22,5.0,3.67
2.97,5.0,3.0
2.69,5.0,4.33
2.23,4.42,2.67
2.57,4.75,5.0
3.3,5.0,4.0
2.83,5.0,4.67
2.84,4.89,3.67
2.06,4.39,3.67
2.39,4.68,3.67
3.01,4.9,3.33
1.66,3.9,4.33
2.81,5.0,5.0
2.95,4.89,4.33
3.04,5.0,4.67
3.42,5.0,4.67
1.0,3.64,1.0
2.39,4.65,3.0
3.24,5.0,5.0
2.92,4.9,4.33
2.79,5.0,4.0
2.38,4.6,1.33
2.89,5.0,3.0
3.0,4.89,4.33
2.88,5.0,3.67
2.88,5.0,3.0
2.85,4.99,4.33
3.57,5.0,4.33
2.55,4.72,3.67
1.68,3.9,2.33
1.78,4.08,2.33
3.01,5.0,4.33
2.81,4.99,4.0
2.97,4.96,3.67
2.76,5.0,3.0
2.78,5.0,3.33
2.78,4.9,4.33
1.92,3.25,4.33
2.27,4.51,3.0
3.05,4.91,4.33
2.62,5.0,3.33
3.04,4.9,3.0
3.41,5.0,4.67
3.38,5.0,4.0
2.48,4.7,3.33
2.94,5.0,5.0
1.96,4.33,3.0
2.56,4.68,3.0
2.09,5.0,4.0
2.55,4.67,4.0
1.89,3.67,3.67
2.87,5.0,5.0
2.85,5.0,3.33
2.92,4.99,3.67
3.12,5.0,4.67
2.88,5.0,3.0
2.53,4.7,4.0
2.24,5.0,4.0
3.02,4.98,3.33
3.2,5.0,4.0
3.4,5.0,3.0
2.89,5.0,4.33
2.48,4.59,3.0
3.23,5.0,4.67
2.89,5.0,4.33
3.41,5.0,4.33
2.44,4.71,3.33
2.79,5.0,4.33
2.85,5.0,4.33
2.93,4.98,4.33
2.94,4.94,4.67
3.45,5.0,4.67
2.36,4.62,3.67
2.46,4.57,2.33
1.91,4.08,4.0
3.03,4.96,3.67
2.95,4.99,4.0
1.62,3.82,1.67
1.32,3.61,1.67
3.01,4.94,3.33
3.22,5.0,4.0
3.45,5.0,4.0
3.47,5.0,4.67
2.49,4.72,3.0
3.54,5.0,4.0
3.31,5.0,4.0
1.83,4.21,1.67
3.36,5.0,4.33
3.3,5.0,4.0
3.45,5.0,3.33
2.81,5.0,5.0
2.89,4.98,4.33
3.32,5.0,4.0
1.46,3.65,3.0
3.05,4.91,2.67
2.77,5.0,3.33
1.67,3.85,2.67
1.49,3.34,3.0
2.52,4.68,3.67
3.42,5.0,3.0
2.55,4.69,3.33
3.27,5.0,4.67
3.03,4.91,3.0
2.55,4.82,4.67
2.87,5.0,3.0
2.84,5.0,3.67
2.85,5.0,4.67
1.71,3.96,4.33
3.27,5.0,4.33
3.45,5.0,4.33
2.55,4.63,3.67
2.47,4.63,3.0
2.52,4.61,2.33
2.88,5.0,3.67
3.01,4.89,4.33
3.21,5.0,4.67
3.2,5.0,4.0
3.38,5.0,4.0
3.38,5.0,4.33
2.37,4.66,3.0
2.73,4.81,4.33
2.83,4.96,4.33
3.37,5.0,4.33
3.36,5.0,4.33
3.35,5.0,3.0
3.33,5.0,5.0
2.88,5.0,4.67
2.94,4.87,5.0
2.71,5.0,4.33
2.24,4.47,3.33
2.65,4.79,2.33
2.36,4.51,3.67
2.98,5.0,4.0
1.92,4.94,5.0
2.51,4.69,4.0
3.27,5.0,5.0
3.28,5.0,5.0
3.35,5.0,5.0
1.83,4.42,2.67
2.86,5.0,4.0
3.56,5.0,4.33
3.39,5.0,5.0
3.33,5.0,5.0
3.41,5.0,4.33
3.48,5.0,4.67
2.91,4.99,4.0
2.47,4.68,3.0
2.53,4.8,4.33
3.43,5.0,4.33
2.54,4.75,3.33
3.64,5.0,4.67
2.97,5.0,3.33
2.94,4.91,3.0
3.3,5.0,4.0
3.42,5.0,4.33
2.45,4.58,1.67
2.86,5.0,4.0
2.56,4.68,4.0
3.39,5.0,5.0
3.29,5.0,4.33
3.35,5.0,4.67
2.79,4.92,5.0
1.54,3.77,2.0
3.41,5.0,4.67
3.36,5.0,4.67
2.82,4.83,4.0
