y_qlow,y_qup,y_test
1.87,5.0,2.67
1.02,3.66,1.33
2.68,5.0,4.0
1.54,4.74,4.33
1.01,3.67,1.33
1.87,5.0,3.33
1.95,5.0,4.0
1.63,4.5,3.33
1.82,4.72,4.0
1.32,4.1,4.0
1.72,4.88,3.33
1.87,5.0,3.33
1.65,4.87,1.33
1.82,4.73,3.0
3.2,5.0,4.67
2.47,5.0,4.0
2.19,5.0,3.33
1.67,4.48,1.67
1.6,4.41,2.67
1.52,4.35,2.33
1.37,4.17,3.0
2.6,5.0,4.33
3.28,5.0,4.33
1.42,4.21,3.67
1.79,4.71,3.67
1.88,4.61,4.67
1.87,5.0,4.0
1.87,5.0,5.0
1.87,5.0,4.33
1.47,4.25,3.67
1.02,4.44,1.67
2.94,5.0,5.0
1.24,4.05,3.67
2.57,5.0,4.0
2.56,5.0,4.33
1.65,4.87,2.0
2.82,5.0,4.0
1.21,3.89,3.33
1.72,4.54,3.67
1.02,3.66,1.67
3.02,5.0,4.67
1.46,4.61,2.67
1.76,4.69,2.33
3.21,5.0,4.0
1.97,4.97,3.67
1.32,4.06,1.33
1.71,4.61,4.67
1.82,4.58,5.0
4.05,5.0,4.67
1.23,3.97,4.0
2.64,5.0,3.67
1.53,4.38,4.33
2.05,5.0,1.67
1.02,4.42,4.67
1.29,4.07,1.67
1.79,4.71,1.33
3.29,5.0,3.0
1.6,4.47,3.33
1.87,5.0,3.67
1.01,3.68,2.33
1.58,4.49,3.67
3.43,5.0,4.33
1.62,4.5,4.0
2.9,5.0,3.33
1.23,4.06,3.33
1.93,5.0,5.0
1.78,4.69,4.33
1.01,3.68,1.33
1.87,5.0,2.0
1.51,4.35,2.67
1.36,4.14,2.33
1.94,4.92,2.67
1.8,4.58,2.67
1.74,4.69,2.67
2.99,5.0,4.0
1.46,4.35,1.67
3.29,5.0,3.67
1.73,4.64,5.0
1.82,4.73,4.0
1.62,4.83,5.0
3.14,5.0,3.67
1.01,3.69,2.33
2.06,5.0,3.33
2.84,5.0,4.0
1.61,4.82,2.0
2.96,5.0,4.33
1.59,4.42,2.67
2.84,5.0,5.0
1.8,4.39,3.67
1.81,4.4,3.67
3.52,5.0,4.67
1.58,4.78,3.0
1.7,4.52,2.67
1.87,5.0,3.67
1.0,3.71,2.33
1.87,5.0,3.33
1.68,4.49,2.67
2.83,5.0,4.0
1.87,5.0,1.67
2.04,5.0,2.67
1.44,4.27,3.0
1.63,4.85,3.0
1.87,5.0,4.0
3.25,5.0,3.67
1.91,5.0,5.0
2.53,5.0,4.0
1.18,3.8,2.0
1.87,5.0,3.0
2.58,5.0,5.0
1.83,4.73,4.67
1.55,4.4,3.67
3.29,5.0,4.67
2.58,5.0,4.0
1.5,4.35,2.67
1.82,4.4,3.67
3.31,5.0,4.33
2.96,5.0,4.33
1.54,4.41,4.0
1.53,4.73,3.67
1.5,4.37,1.67
1.87,5.0,3.67
3.41,5.0,4.33
1.81,4.71,4.0
2.81,5.0,4.33
1.01,3.67,4.33
2.49,5.0,4.0
1.86,4.9,3.33
1.87,5.0,3.0
1.55,4.38,2.33
2.72,5.0,4.67
1.62,4.53,2.33
1.47,4.3,5.0
1.69,4.53,2.0
1.1,3.58,1.0
2.52,5.0,4.33
1.91,4.92,2.67
1.95,5.0,2.0
1.87,5.0,3.67
1.51,4.71,1.67
3.04,5.0,4.33
3.13,5.0,3.67
1.79,4.69,3.67
1.59,4.79,4.33
1.87,5.0,3.67
2.03,5.0,4.33
1.94,5.0,3.0
1.0,3.7,2.0
1.54,4.41,2.67
3.05,5.0,4.33
3.23,5.0,5.0
1.79,4.38,4.67
3.07,5.0,5.0
1.62,4.47,2.33
1.87,5.0,1.67
1.87,5.0,2.67
2.92,5.0,4.33
1.87,5.0,2.0
2.51,5.0,4.33
1.5,4.39,3.67
1.81,4.73,2.67
1.55,4.41,2.67
1.49,4.69,3.0
1.85,5.0,4.0
3.2,5.0,4.33
1.85,5.0,3.67
1.95,4.95,3.33
1.81,4.83,3.33
1.87,5.0,3.67
1.95,4.92,3.67
2.16,5.0,3.67
1.76,4.7,1.67
1.01,3.66,1.33
1.23,3.97,4.0
1.99,5.0,2.33
1.73,4.66,2.67
1.59,4.46,3.33
1.61,4.49,2.67
1.24,4.01,4.33
1.88,4.91,4.33
2.73,5.0,5.0
1.49,4.24,4.33
1.64,4.85,3.0
1.48,4.37,4.33
1.62,4.46,2.33
1.72,4.63,3.0
1.01,3.66,1.67
2.75,5.0,4.33
3.31,5.0,4.67
1.58,4.41,3.0
2.89,5.0,4.33
1.33,4.06,4.67
1.4,4.23,3.0
1.0,3.69,1.67
1.18,3.7,2.0
1.87,5.0,3.67
1.52,4.37,2.33
1.8,4.56,2.33
3.42,5.0,4.0
2.59,5.0,3.67
1.01,3.66,2.0
1.01,3.68,2.0
2.81,5.0,3.67
3.12,5.0,3.67
3.05,5.0,4.33
3.29,5.0,4.33
1.44,4.3,3.67
2.39,5.0,4.33
1.57,4.75,2.33
1.78,4.71,3.0
3.02,5.0,4.33
2.38,5.0,3.0
2.37,5.0,3.0
1.51,4.36,2.33
1.47,4.41,3.67
1.82,4.72,3.67
2.98,5.0,4.33
2.17,5.0,4.67
1.57,4.43,3.33
1.61,4.48,5.0
1.42,4.24,3.0
1.82,4.89,3.67
2.27,5.0,3.67
1.87,5.0,4.0
1.81,4.38,3.67
2.8,5.0,4.67
1.01,3.68,2.0
3.28,5.0,4.33
1.01,3.68,2.0
2.61,5.0,3.67
1.63,4.49,2.33
1.85,4.9,3.0
1.87,5.0,3.33
1.83,4.71,4.33
3.14,5.0,5.0
1.89,4.91,4.0
2.67,5.0,4.67
1.62,4.51,4.0
1.61,4.82,1.67
1.61,4.49,2.33
2.75,5.0,4.33
1.53,4.72,3.33
1.8,4.71,3.67
1.65,4.87,5.0
1.7,4.51,3.67
1.52,4.37,2.67
2.41,5.0,4.33
1.56,4.4,2.67
1.53,4.38,3.0
1.47,4.66,4.33
1.48,4.36,2.33
1.46,4.36,1.67
1.2,3.81,2.0
1.87,5.0,2.33
1.74,4.67,3.33
3.33,5.0,4.67
1.26,3.99,2.67
3.3,5.0,4.33
1.02,4.43,1.67
1.22,3.93,2.0
