y_qlow,y_qup,y_test
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,4.67
3.84,5.0,5.0
3.54,5.0,5.0
3.52,5.0,3.33
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.9,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,4.67
4.03,5.0,5.0
3.87,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,3.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,4.33
4.12,5.0,4.0
3.67,5.0,5.0
3.82,5.0,5.0
3.67,5.0,1.67
3.67,5.0,5.0
3.87,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,4.33
3.67,5.0,3.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,4.67
3.49,5.0,5.0
3.67,5.0,4.33
3.67,5.0,5.0
3.87,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,4.67
3.67,5.0,4.67
2.6,5.0,3.67
3.67,5.0,2.0
3.86,5.0,5.0
3.88,5.0,4.67
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,4.33
3.67,5.0,1.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,4.33
3.67,5.0,5.0
3.67,5.0,5.0
3.35,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.92,5.0,5.0
3.67,5.0,2.67
3.67,5.0,5.0
3.87,5.0,3.0
3.67,5.0,5.0
3.67,5.0,3.67
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.94,5.0,5.0
3.67,5.0,4.67
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.67,5.0,5.0
3.88,5.0,5.0
